"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=2020-01-01&before=2022-12-31&filename=Boysen%20Reservoir%20Dam%20and%20Powerplant%20Observed%20Daily%20Instantaneous%20Lake%2FReservoir%20Elevation%20ft%20%282020-01-01%20-%202022-12-31%29&itemId=196&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2024-02-06","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Boysen Reservoir Dam and Powerplant","WY","(-108.1769, 43.4)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.86","ft","daily","instant","2020-01-01 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.81","ft","daily","instant","2020-01-02 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.81","ft","daily","instant","2020-01-03 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.74","ft","daily","instant","2020-01-04 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.71","ft","daily","instant","2020-01-05 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.67","ft","daily","instant","2020-01-06 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.62","ft","daily","instant","2020-01-07 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.62","ft","daily","instant","2020-01-08 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.62","ft","daily","instant","2020-01-09 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.55","ft","daily","instant","2020-01-10 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.49","ft","daily","instant","2020-01-11 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.46","ft","daily","instant","2020-01-12 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.42","ft","daily","instant","2020-01-13 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.37","ft","daily","instant","2020-01-14 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.34","ft","daily","instant","2020-01-15 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.31","ft","daily","instant","2020-01-16 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.24","ft","daily","instant","2020-01-17 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.2","ft","daily","instant","2020-01-18 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.16","ft","daily","instant","2020-01-19 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.12","ft","daily","instant","2020-01-20 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.08","ft","daily","instant","2020-01-21 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718.03","ft","daily","instant","2020-01-22 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4718","ft","daily","instant","2020-01-23 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.98","ft","daily","instant","2020-01-24 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.93","ft","daily","instant","2020-01-25 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.9","ft","daily","instant","2020-01-26 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.86","ft","daily","instant","2020-01-27 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.84","ft","daily","instant","2020-01-28 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.82","ft","daily","instant","2020-01-29 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.78","ft","daily","instant","2020-01-30 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.74","ft","daily","instant","2020-01-31 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.72","ft","daily","instant","2020-02-01 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.67","ft","daily","instant","2020-02-02 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.67","ft","daily","instant","2020-02-03 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.63","ft","daily","instant","2020-02-04 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.6","ft","daily","instant","2020-02-05 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.55","ft","daily","instant","2020-02-06 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.49","ft","daily","instant","2020-02-07 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.52","ft","daily","instant","2020-02-08 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.43","ft","daily","instant","2020-02-09 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.41","ft","daily","instant","2020-02-10 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.38","ft","daily","instant","2020-02-11 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.37","ft","daily","instant","2020-02-12 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.32","ft","daily","instant","2020-02-13 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.27","ft","daily","instant","2020-02-14 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.25","ft","daily","instant","2020-02-15 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.22","ft","daily","instant","2020-02-16 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.18","ft","daily","instant","2020-02-17 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.15","ft","daily","instant","2020-02-18 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.12","ft","daily","instant","2020-02-19 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.12","ft","daily","instant","2020-02-19 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.08","ft","daily","instant","2020-02-20 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.08","ft","daily","instant","2020-02-20 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.04","ft","daily","instant","2020-02-21 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717.04","ft","daily","instant","2020-02-21 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717","ft","daily","instant","2020-02-22 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4717","ft","daily","instant","2020-02-22 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.96","ft","daily","instant","2020-02-23 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.96","ft","daily","instant","2020-02-23 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.92","ft","daily","instant","2020-02-24 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.92","ft","daily","instant","2020-02-24 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.88","ft","daily","instant","2020-02-25 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.88","ft","daily","instant","2020-02-25 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.84","ft","daily","instant","2020-02-26 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.84","ft","daily","instant","2020-02-26 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.8","ft","daily","instant","2020-02-27 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.8","ft","daily","instant","2020-02-27 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.76","ft","daily","instant","2020-02-28 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.76","ft","daily","instant","2020-02-28 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.74","ft","daily","instant","2020-02-29 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.74","ft","daily","instant","2020-02-29 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.68","ft","daily","instant","2020-03-01 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.68","ft","daily","instant","2020-03-01 19:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.64","ft","daily","instant","2020-03-02 07:00:00"
"Boysen Reservoir Dam and Powerplant","Lake/Reservoir Elevation","4716.64","ft","daily","instant","2020-03-02 19:00:00"
