ChemSampID,StationID,WaterbodyName,CommonName,Latitude,Longitude,WaterbodySize_Acres,HUC12,Section,Quarter,Range,Town,Elevation,CollDate,ShortName_Revised,BelowDet,ChemValue,ChemUnits,Comments,SurfaceBottom,MaximumDepth,SampleDepth,WBTypeID,RepNum
65252,WYDEQ_RES_01,"Miller Lake  Littoral, South Shore",Miller Lake,41.067736,-106.157597,7.64255,101800100204,,,,,9105.457,7/18/2002,Conductance,0,90,µS/cm,,,,0.5,L,0
65252,WYDEQ_RES_01,"Miller Lake  Littoral, South Shore",Miller Lake,41.067736,-106.157597,7.64255,101800100204,,,,,9105.457,7/18/2002,Nitrate plus Nitrite as N,1,0.1,mg/l,,,,0.5,L,0
65252,WYDEQ_RES_01,"Miller Lake  Littoral, South Shore",Miller Lake,41.067736,-106.157597,7.64255,101800100204,,,,,9105.457,7/18/2002,"DO, mg/L",0,8.8,mg/l,,,,0.5,L,0
65252,WYDEQ_RES_01,"Miller Lake  Littoral, South Shore",Miller Lake,41.067736,-106.157597,7.64255,101800100204,,,,,9105.457,7/18/2002,pH,0,9.25,SU,,,,0.5,L,0
65252,WYDEQ_RES_01,"Miller Lake  Littoral, South Shore",Miller Lake,41.067736,-106.157597,7.64255,101800100204,,,,,9105.457,7/18/2002,Temp,0,18.8,°C,,,,0.5,L,0
65252,WYDEQ_RES_01,"Miller Lake  Littoral, South Shore",Miller Lake,41.067736,-106.157597,7.64255,101800100204,,,,,9105.457,7/18/2002,Total Ammonia as N,1,0.1,mg/l,,,,0.5,L,0
65252,WYDEQ_RES_01,"Miller Lake  Littoral, South Shore",Miller Lake,41.067736,-106.157597,7.64255,101800100204,,,,,9105.457,7/18/2002,Phosphorus as P (total),1,0.1,mg/l,,,,0.5,L,0
65252,WYDEQ_RES_01,"Miller Lake  Littoral, South Shore",Miller Lake,41.067736,-106.157597,7.64255,101800100204,,,,,9105.457,7/18/2002,Secchi Depth,0,1.2,m,,,,0.5,L,0
65252,WYDEQ_RES_01,"Miller Lake  Littoral, South Shore",Miller Lake,41.067736,-106.157597,7.64255,101800100204,,,,,9105.457,7/18/2002,Max Depth at Sample Collection Site,0,1.2,m,,,,0.5,L,0
65253,WYDEQ_RES_02,"Miller Lake  Littoral, North Shore",Miller Lake,41.067972,-106.157694,7.64255,101800100204,,,,,9105.457,7/18/2002,Chlorophyll a (phytoplankton),0,18.2,µg/l,,,,0.5,L,0
65254,WYDEQ_RES_02,"Miller Lake  Littoral, North Shore",Miller Lake,41.067972,-106.157694,7.64255,101800100204,,,,,9105.457,7/18/2002,Conductance,0,90,µS/cm,,,,0.5,L,0
