NOTE 1: HCB-only samples are identified as 'HCB-SurfGrab' under CollMeth and were only analyzed for cyanobacteria,,,,,,,,,,,,,,,,,,,,,,,
"NOTE 2: All 'Phyto_Res_VanDorn' and 'Phyto_Res_Net' samples identified under CollMeth were analyzed for the entire phytoplankton assemblage (e.g., green algae, diatoms, cyanobacteria, cryptomonads, etc.)",,,,,,,,,,,,,,,,,,,,,,,
NOTE 3: StationID's for 'Phyto_Res_VanDorn' and 'Phyto_Res_Net' samples correspond to StationIDs and associated chemical and physical data in the 'ChemPhysData_2002-2021' worksheet,,,,,,,,,,,,,,,,,,,,,,,
NOTE 4: HCB-only samples identified as 'HCB-SurfGrab'  under CollMeth do not have associated chemical and physical data in the 'ChemPhysData_2002-2021' worksheet,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
PerSampID,StationID,CollMeth,SECTION,QUARTER,RANGE,Town,WaterbodySize_Acres,Lat_Dec,Long_Dec,WaterbodyName,HUC_12,RepNum,CollDate,CollTime,PerTaxaID,Genus/Species/Variety,Individuals (Raw Cnt),Density (cells/L),Family,Genus,Class,Order,Division
1588,WYDEQ_RES_315,HCB-SurfGrab,11,NWNW,106,26,2500,42.249,-109.429,"Big Sandy Reservoir, Dam",140401040110,0,09/11/2018,11:41,ND306,Dolichospermum lemmermannii,3840,2975439305,,,,,
1588,WYDEQ_RES_315,HCB-SurfGrab,11,NWNW,106,26,2500,42.249,-109.429,"Big Sandy Reservoir, Dam",140401040110,0,09/11/2018,11:41,ND306,Dolichospermum lemmermannii,3424,3316375059,,,,,
1588,WYDEQ_RES_315,HCB-SurfGrab,11,NWNW,106,26,2500,42.249,-109.429,"Big Sandy Reservoir, Dam",140401040110,0,09/11/2018,11:41,ND306,Dolichospermum lemmermannii,3488,3378363378,,,,,
1588,WYDEQ_RES_315,HCB-SurfGrab,11,NWNW,106,26,2500,42.249,-109.429,"Big Sandy Reservoir, Dam",140401040110,0,09/11/2018,11:41,ND306,Dolichospermum lemmermannii,3840,2975439305,,,,,
1588,WYDEQ_RES_315,HCB-SurfGrab,11,NWNW,106,26,2500,42.249,-109.429,"Big Sandy Reservoir, Dam",140401040110,0,09/11/2018,11:41,ND306,Dolichospermum lemmermannii,3424,3316375059,,,,,
1588,WYDEQ_RES_315,HCB-SurfGrab,11,NWNW,106,26,2500,42.249,-109.429,"Big Sandy Reservoir, Dam",140401040110,0,09/11/2018,11:41,ND306,Dolichospermum lemmermannii,3488,3378363378,,,,,
1589,WYDEQ_RES_311,HCB-SurfGrab,33,NENE,83,30,2267,42.53121,-106.77801,"Alcova Reservoir, Kids Beach",101800070101,0,09/18/2018,7:55,1844,Asterionella sp.,6,19371349.65,Fragilariaceae,Asterionella,Fragilariophyceae,Fragilariales,Bacillariophyta
1589,WYDEQ_RES_311,HCB-SurfGrab,33,NENE,83,30,2267,42.53121,-106.77801,"Alcova Reservoir, Kids Beach",101800070101,0,09/18/2018,7:55,ND205,Aphanizomenon flos-aquae,1485,5993011296,Nostocaceae,Aphanizomenon,Cyanophyceae,Nostocales,Cyanophyta
1589,WYDEQ_RES_311,HCB-SurfGrab,33,NENE,83,30,2267,42.53121,-106.77801,"Alcova Reservoir, Kids Beach",101800070101,0,09/18/2018,7:55,ND205,Aphanizomenon flos-aquae,1215,6537830505,Nostocaceae,Aphanizomenon,Cyanophyceae,Nostocales,Cyanophyta
1589,WYDEQ_RES_311,HCB-SurfGrab,33,NENE,83,30,2267,42.53121,-106.77801,"Alcova Reservoir, Kids Beach",101800070101,0,09/18/2018,7:55,ND205,Aphanizomenon flos-aquae,1605,5181836030,Nostocaceae,Aphanizomenon,Cyanophyceae,Nostocales,Cyanophyta
1589,WYDEQ_RES_311,HCB-SurfGrab,33,NENE,83,30,2267,42.53121,-106.77801,"Alcova Reservoir, Kids Beach",101800070101,0,09/18/2018,7:55,ND22,Pseudanabaena,594,2397204519,Nostocaceae,Pseudanabaena,Cyanophyceae,Nostocales,Cyanophyta
1589,WYDEQ_RES_311,HCB-SurfGrab,33,NENE,83,30,2267,42.53121,-106.77801,"Alcova Reservoir, Kids Beach",101800070101,0,09/18/2018,7:55,ND22,Pseudanabaena,459,2469847080,Nostocaceae,Pseudanabaena,Cyanophyceae,Nostocales,Cyanophyta
1589,WYDEQ_RES_311,HCB-SurfGrab,33,NENE,83,30,2267,42.53121,-106.77801,"Alcova Reservoir, Kids Beach",101800070101,0,09/18/2018,7:55,ND22,Pseudanabaena,351,1133223954,Nostocaceae,Pseudanabaena,Cyanophyceae,Nostocales,Cyanophyta
1589,WYDEQ_RES_311,HCB-SurfGrab,33,NENE,83,30,2267,42.53121,-106.77801,"Alcova Reservoir, Kids Beach",101800070101,0,09/18/2018,7:55,ND245,Dolichospermum,80,322855827.4,Nostocaceae,Dolichospermum,Cyanophyceae,Nostocales,Cyanophyta
1589,WYDEQ_RES_311,HCB-SurfGrab,33,NENE,83,30,2267,42.53121,-106.77801,"Alcova Reservoir, Kids Beach",101800070101,0,09/18/2018,7:55,ND245,Dolichospermum,80,430474436.6,Nostocaceae,Dolichospermum,Cyanophyceae,Nostocales,Cyanophyta
