Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
A & M Reservoir - D,,,,,,,,,,
,6/11/2013,0,1638,16.69,8.88,217.6,8.69,114.5,337,
,,0.5,1638,16.69,8.63,218.9,8.7,114.5,339,
,,1,1639,16.7,8.67,217.8,8.71,114.8,345,
,,1.5,1642,16.65,8.58,217.9,8.72,114.6,351,
,,2,1643,16.67,8.9,217.7,8.72,114.9,356,
,,2.5,1645,16.68,8.91,217.9,8.71,114.8,358,
,,3,1645,16.7,8.86,218,8.7,114.1,360,
,,4,1646,16.6,8.78,218,8.62,113.8,360,
,,5,1647,13.5,8.72,219.8,6.23,76.4,290,
,,6,1648,11.82,8.58,227,5.3,62.3,343,
,,,,,,,,,,
,7/22/2013,0,1416,19.8,9.6,218.1,7.34,104.9,259,
,,0.5,1416,19.9,9.83,218.8,7.39,105.4,257,
,,1,1417,19.9,9.87,218.8,7.58,107.9,254,
,,1.5,1417,19.7,9.83,219.2,7.74,109.8,253,
,,2,1418,19.4,9.75,217.9,7.13,101.5,249,
,,2.5,1419,19.3,9.78,216.6,6.8,95.5,251,
,,3,1421,19.2,9.8,216.4,6.35,89.2,251,
,,3.5,1422,19.1,9.73,215.2,6.17,86.7,246,
,,4,1423,18.7,9.65,213,4.29,59.8,184,
,,5,1424,17.75,9.42,212.1,0.2,2.3,-53,
,,6,1426,15.9,9.24,220.1,0.13,1.7,-11,
,,,,,,,,,,
,9/9/2013,0,1045,18.2,9.36,223,6.57,90.6,196,
,,0.5,1046,18.2,9.35,223,6.56,90.5,197,
,,1,1047,18.2,9.34,223,6.56,90.4,198,
,,1.5,1047,18.15,9.38,223,6.53,90,198,
,,2,1048,18.1,9.38,222,6.51,89.7,198,
,,2.5,1049,18.1,9.37,222,6.42,88.4,199,
,,3,1051,17.95,9.35,222,6.02,82.9,192,
,,4,1053,17.7,9.13,225,2.63,35.6,187,
,,5,1055,17.35,9.09,226,2.95,40,52,
,,6,1057,16.8,8.81,233,0.15,2,-49,
,,7,1058,16,18.6,236,0.11,1.4,-83,
