Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Alsop Lake - D,,,,,,,,,,
,6/18/2013,0,1109,17.29,8.64,2919,7.79,105.2,307,
,,0.5,1109,17.31,8.94,2923,7.82,105.6,305,
,,1,1110,17.24,8.82,2923,7.79,105.2,304,
,,1.5,1111,17.21,8.79,2920,7.82,105.6,303,
,,2,1112,17.15,8.79,2922,8.07,108.9,303,
,,2.5,1113,17.11,8.77,2923,8.18,110.2,302,
,,3,1114,16.64,8.79,2923,8.15,108.6,301,
,,3.5,1115,16.43,8.79,2918,8.03,106.4,299,
,,,,,,,,,,
,7/30/2013,0,1317,20.17,8.93,3175,6.2,88.4,246,
,,0.5,1319,19.31,8.97,3174,5.68,79.3,246,
,,1,1321,18.85,9.13,3171,5.33,73.8,245,
,,1.5,1323,18.33,9.13,3164,5.4,74.1,245,
,,2,1325,18.17,9,3162,4.84,66,246,
,,2.5,1326,18.05,8.99,3159,4.38,59.7,246,
,,3,1327,17.83,8.99,3160,5.05,68.7,246,
,,,,,,,,,,
,9/11/2013,0,920,17.1,9.16,3353,5.25,70.2,285,
,,0.5,921,17.1,9.15,3356,5.21,69.6,285,
,,1,922,17.1,9.15,3358,5.18,69.2,284,
,,1.5,923,17.1,9.14,3360,5.14,68.7,284,
,,2,924,17.1,9.14,3361,5.08,68,284,
,,2.5,925,17.05,9.13,3360,4.5,59.8,283,
,,3,926,17,9.13,3362,4.35,58.1,281,
,,,,,,,,,,
,6/2/2014,0,1255,17.6,7.34,2206,5.73,78.7,344,
,,0.5,1256,17.4,7.8,2199,5.62,77.3,335,
,,1,1258,16.9,7.87,2195,5.47,74.4,328,
,,1.5,1259,16.1,7.84,2195,5.31,71,326,
,,2,1300,15.96,7.85,2192,5.3,70.5,324,
,,2.5,1302,15.9,7.86,2188,5.22,69.5,323,
,,3,1304,15.8,7.87,2191,4.83,64.1,321,
,,4,1306,15.7,7.9,2192,4.34,57.4,312,
,,4.5,1309,15.6,7.9,2187,4.34,57.6,99,
,,,,,,,,,,
,7/28/2014,0,1202,22.1,8.85,2416,7.36,109.4,249,
,,0.5,1203,21.82,8.85,2415,7.37,109,247,
,,1,1204,20.82,8.86,2408,7.04,102,245,
,,1.5,1205,20.35,8.85,2411,6.66,95.3,245,
,,2,1205,20.07,8.84,2410,6.74,96.3,244,
,,2.5,1207,19.6,8.79,2405,4.66,66.3,239,
,,3,1208,19.27,8.74,2402,2.38,33.4,240,
,,4,1209,18.52,8.64,2405,0.27,3.6,-91,
,,,,,,,,,,
,9/16/2014,0,1211,13.6,9.3,2514,8.3,103.7,238,
,,0.5,,13.6,9.32,2517,8.3,104.1,240,
,,1,,13.6,9.87,2516,8.31,104.1,234,
,,1.5,,13.5,9.48,2511,8.32,104.3,238,
,,2,,13.6,9.39,2511,8.31,104.2,242,
,,2.5,,13.5,9.37,2512,8.32,104.3,243,
,,3,,13.5,9.37,2513,8.32,104.2,244,
,,3.5,,13.5,9.38,2518,8.32,104.1,246,
,,4,,13.5,9.39,2514,8.3,103.9,246,
,,4.3,1223,13.5,9.39,2512,8.08,101,245,
,,,,,,,,,,
