Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Bell Reservoir - D,,,,,,,,,
,6/19/2019,0.0,0910,15.20,7.93,380.4,7.68,97.40,412
,,0.5,,15.20,8.01,388.2,7.69,97.30,410
,,1.0,,15.20,8.08,387.9,7.70,97.60,409
,,1.5,,15.20,8.12,388.2,7.68,97.30,409
,,2.0,,15.20,8.14,387.9,7.67,97.40,409
,,2.5,,15.10,8.16,388.4,7.68,97.40,409
,,3.0,,15.10,8.17,388.0,7.67,97.20,409
,,4.0,,15.10,8.19,387.8,7.69,97.40,409
,,5.0,,13.60,7.94,388.1,5.33,65.00,413
,,6.0,,12.30,7.80,389.2,3.94,47.00,415
,,7.0,,10.50,7.70,377.1,2.50,27.90,417
,,8.5,,9.75,7.63,375.4,1.40,15.70,419
,,,,,,,,,
,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
,8/6/2019,0.0,0830,20.40,8.19,376.8,7.01,97.30,383
,,0.5,,20.50,8.20,375.5,7.02,97.40,381
,,1.0,,20.50,8.21,375.2,7.03,97.40,380
,,1.5,,20.50,8.21,375.1,7.06,97.90,379
,,2.0,,20.50,8.23,375.3,7.07,98.00,378
,,2.5,,20.40,8.23,375.3,7.06,97.80,377
,,3.0,,20.40,8.23,375.1,7.07,97.80,376
,,4.0,,20.40,8.24,374.9,7.06,97.90,375
,,5.0,,19.60,7.92,384.4,4.86,66.60,383
,,6.0,,17.60,7.56,403.9,1.21,15.90,392
,,7.0,,15.70,7.82,419.3,0.21,2.60,121
,,7.5,,,,,,,
,,,,,,,,,
,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
,9/9/2019,0.0,1620,17.80,8.77,358.9,7.89,104.90,271
,,0.5,,17.80,8.79,361.5,7.90,105.20,274
,,1.0,,17.80,8.81,358.6,7.96,106.00,275
,,1.5,,17.70,8.82,359.0,7.97,105.90,276
,,2.0,,17.70,8.84,373.4,7.98,106.00,276
,,2.5,,17.70,8.82,373.8,7.99,106.10,277
,,3.0,,17.70,8.84,360.9,7.99,106.10,277
,,4.0,,17.60,8.82,360.9,7.81,103.40,279
,,5.0,,17.60,8.86,360.8,7.70,102.10,277
,,6.0,,16.40,8.46,357.0,4.59,59.40,287
,,7.0,,15.70,8.30,348.8,2.89,36.50,291
,,7.6,,14.90,8.17,341.2,1.22,14.90,294
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
