Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Boulder Lake- RTPD,,,,,,,,,
,6/11/2019,0,8:40,8.41,7.4,19.8,9.09,100.4,374
,,0.5,,8.19,7.32,19.9,9.07,99.7,380
,,1,,8.03,7.3,19.9,9.1,99.6,385
,,1.5,,7.69,7.26,19.8,9.12,99.1,393
,,2,,7.52,7.26,18.6,9.18,99.4,395
,,2.5,,7.44,7.25,18.4,9.22,99.6,398
,,3,,7.43,7.25,18.6,9.23,99.8,400
,,4,,7.39,7.24,18.4,9.26,99.7,402
,,5,,6.98,7.21,19.7,9.09,97,405
,,6,,6.94,7.21,19.7,9.06,96.7,407
,,7,,6.9,7.2,19.6,9.05,96.5,410
,,8,,6.78,7.18,19.2,9.18,97.4,413
,,9,,6.45,7.17,19,9.22,97.1,415
,,10,,6.35,7.15,19.5,9.15,96.1,417
,,11,,6.26,7.14,19.4,9.19,96.3,419
,,12,,6.11,7.14,19.6,9.13,95.1,421
,,13,,6.05,7.14,19.3,9.16,95.5,422
,,14,,6.04,7.14,19.5,9.13,94.9,424
,,15,,5.95,7.14,19.5,9.17,95.4,425
,,20,,5.84,7.15,18.2,9.3,96.5,425
,,25,,5.56,7.1,19.8,9.12,93.7,429
,,30,,4.78,7.07,20.9,8.7,87.7,435
,,35,,4.76,7.03,21,8.65,87.2,438
,,40,,4.67,7.02,21.2,8.62,86.7,439
,,42.7*,,,,,,,
,,*bottom,,,,,,,
,7/15/2019,,9:18,,,,,,
,,0,,15.63,7.05,15.3,7.64,100.1,373
,,0.5,,15.32,7.03,15.3,7.6,99,372
,,1,,15.23,6.96,15.1,7.61,98.8,375
,,1.5,,15.1,6.95,15.1,7.66,99.4,375
,,2,,14.8,6.97,15.3,7.89,101.7,375
,,2.5,,14.74,7,15.3,7.97,102.2,376
,,3,,14.04,6.94,15.4,7.99,100.7,381
,,4,,12.54,6.89,15.9,8.13,99.5,394
,,5,,12.24,6.84,16.1,8.13,98.5,394
,,6,,11.02,6.79,16.4,8.18,96.9,397
,,7,,10.09,6.64,16.8,8.28,95.5,403
,,8,,9.79,6.63,17,8.27,94.9,403
,,9,,9.5,6.61,17,8.27,94.3,405
,,10,,9.23,6.6,17,8.31,93.9,405
,,11,,9.04,6.58,17.3,8.29,93.3,406
,,12,,8.79,6.56,17.3,8.31,93.2,408
,,13,,8.46,6.53,17.5,8.31,92.3,410
,,14,,8.33,6.53,17.6,8.36,92.6,409
,,15,,8.23,6.53,17.6,8.35,92.2,412
,,20,,7.56,6.52,18,8.43,91.5,412
,,25,,7.08,6.50,18.1,8.45,90.8,414
,,30,,5.78,6.46,19.3,8.44,87.7,415
,,40,,5.17,6.44,19.7,8.27,84.5,417
,,,,,,,,,
,9/9/2019,0,9:50,16.01,7.41,18.1,7.46,99.0,467
,,0.5,,16.05,7.47,18.0,7.44,99.0,461
,,1,,16.00,7.45,18.0,7.43,98.8,459
,,1.5,,16.00,7.45,18.0,7.46,99.1,457
,,2,,15.99,7.46,18.0,7.44,99.0,454
,,2.5,,16.00,7.46,18.1,7.46,99.1,452
,,3,,15.98,7.47,18.0,7.42,98.6,448
,,4,,15.98,7.44,18.1,7.42,98.6,449
,,5,,15.96,7.46,18.0,7.41,98.3,446
,,6,,15.95,7.44,18.0,7.41,98.5,446
,,7,,15.94,7.46,18.1,7.37,97.8,444
,,8,,15.87,7.42,18.1,7.34,97.8,444
,,9,,15.19,7.40,18.3,7.27,95.3,453
,,10,,13.96,7.21,17.7,7.41,94.1,458
,,11,,12.44,7.12,17.7,7.47,91.7,463
,,12,,10.94,6.99,17.8,7.44,87.6,467
,,13,,10.18,6.89,17.8,7.41,86.4,470
,,14,,9.54,6.85,17.9,7.48,85.7,471
,,15,,9.00,6.81,17.9,7.50,85.0,472
,,20,,7.86,6.80,18.3,7.71,84.9,473
,,25,,7.02,6.75,18.5,7.79,84.0,475
,,30,,5.91,6.74,19.4,7.90,83.0,476
,,37,,5.42,6.73,19.7,7.75,80.2,473
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
