Date,Time,Depth (M),Temp (?C),pH,Cond (µg/cm),DO (mg/L),%DO,ORP
5/27/2020,1100,0,14.52,8.33,513.6,7.85,91.5,245.3
,,0.5,14.53,8.35,514.1,7.84,91.5,245
,,1,14.55,8.36,513.8,7.83,91.4,246
,,1.5,14.56,8.34,514.6,7.82,91.2,245.2
,,,,,,,,
6/24/2020,1045,0,23.35,8.86,412.7,9.65,135.1,218.3
,,0.5,22.76,8.89,431.2,9.97,137.9,219.5
,,1,22.13,8.87,444.3,10.11,137.8,220.8
,,1.5,20.12,8.6,426.3,8.61,113.1,226.7
,,2,19.57,8.64,406.7,8.69,112.7,227.1
,,2.5,19.13,8.47,427.7,8.12,104,233.9
,,3,18.92,8.32,450.8,7.84,100.1,237.9
,,3.5,18.67,8.23,460.1,7.61,97,241.7
,,,,,,,,
7/15/2020,1130,0,22.39,8.59,621.3,8.55,117.14,157.6
,,0.5,22.2,8.6,621.22,8.58,116.59,156.5
,,1,21.8,8.61,620.6,8.7,117.11,155.7
,,1.5,21.33,8.6,621.9,8.68,116.5,155.9
,,2,21.27,8.59,623,8.56,114.66,155.4
,,2.5,21.15,8.57,623.79,8.46,113.19,155.1
,,3,21.18,8.54,624.37,8.38,111.95,157.7
,,3.7,21.09,8.42,624.9,8.13,108.21,161.2
,,,,,,,,
8/26/2020,1100,0,22.49,8.77,670.87,6.67,91.81,90.8
,,0.5,22.18,8.76,670.24,6.54,89.45,94.6
,,1,21.82,8.76,669.17,6.42,87.02,97.3
,,1.5,21.6,8.75,668.2,6.28,84.89,98.7
,,2,21.47,8.74,669.62,6.4,86.42,101.5
,,2.5,21.28,8.48,720.76,5.48,73.03,107.3
,,,,,,,,
9/22/2020,1050,0,17.07,8.54,525.19,8.27,101.54,92.9
,,0.5,17.08,8.54,527.7,8.28,101.57,93.6
,,1,17.06,8.54,529,8.27,101.46,94.6
,,1.5,17.01,8.52,544.15,8.26,101.26,95.7
,,2,16.93,8.52,544.31,8.29,101.48,97.6
,,2.5,16.83,8.51,543.82,8.59,104.96,99.1
,,,,,,,,
10/13/2020,1035,0,12.13,8.58,588.41,9.54,105.31,155.21
,,0.5,12.3,8.59,595.45,9.44,104.44,155.8
,,1,12.26,8.59,589.24,9.38,103.79,156.9
,,1.5,12.21,8.57,617.83,9.31,102.92,158.3
,,2,12.18,8.54,616.18,9.26,102.3,161.1
,,2.5,12.09,8.48,611.55,9.17,101.11,163.7
,,,,,,,,
5/18/2021,,0,17.2,8.5,585.09,9.2,114.1,167.9
,,0.5,15.7,8.6,583.91,9.4,113.6,169.2
,,1,15.1,8.6,588.93,9.4,112.1,170.9
,,1.5,14.6,8.6,592.18,9.4,110.4,172.4
,,2,14,8.5,597.12,9.4,109.9,174
,,2.5,13.8,8.5,598.08,9.4,108.8,176.7
,,3,13,8.4,604.86,9.1,103.2,181.7
,,4,12.4,8.3,607.33,9,101,190.4
,,5,12.1,8.2,609.48,8.6,96,194.2
,,,,,,,,
6/22/2021,1341,4.332081,18.36695,8.162193,483.8934,6.021447,76.60954,-6.365014
,,4.332144,18.3672,8.161888,483.9379,6.020064,76.59839,-6.347932
,,4.169453,18.31418,8.173991,482.8722,6.03367,76.69604,-6.287241
,,4.161869,18.31166,8.174457,482.8385,6.0338,76.69832,-6.278921
,,4.154285,18.30913,8.174921,482.8047,6.033928,76.70059,-6.270601
,,4.146701,18.30661,8.175385,482.771,6.034057,76.70287,-6.262281
,,3.522913,18.31338,8.1772,482.5066,6.075449,77.23547,-5.940205
,,3.491679,18.31263,8.17752,482.4739,6.077563,77.26122,-5.924368
,,3.460444,18.31187,8.17784,482.4412,6.079677,77.28697,-5.908532
,,2.89205,18.44662,8.171337,482.0736,6.157571,78.49535,-5.931864
,,2.854518,18.45286,8.171078,482.0517,6.161887,78.56031,-5.926847
,,2.816986,18.45911,8.170818,482.0298,6.166202,78.62527,-5.921831
,,2.779453,18.46535,8.17056,482.008,6.170517,78.69024,-5.916814
,,2.175657,18.69606,8.19991,472.2351,6.20374,79.49001,-7.247558
,,2.137108,18.70913,8.201128,471.7823,6.206748,79.54959,-7.308555
,,2.098558,18.72219,8.202346,471.3294,6.209757,79.60918,-7.369552
,,1.151639,19.23978,8.239178,450.8986,6.221554,80.60374,-8.711961
,,1.096186,19.26819,8.241443,449.764,6.22272,80.66492,-8.799191
,,1.040732,19.2966,8.243707,448.6295,6.223885,80.72611,-8.886421
,,0.985279,19.32501,8.245972,447.495,6.22505,80.7873,-8.973652
,,0.450989,19.75536,8.253539,336.1371,6.331062,82.85844,-12.27968
,,0.407922,19.78522,8.254608,330.6299,6.336163,82.97298,-12.45769
,,0.364855,19.81508,8.255677,325.1227,6.341263,83.08752,-12.6357
,,0.082632,20.51918,8.241298,309.5237,6.462886,85.89021,-14.25156
,,0.0593466,20.56059,8.240755,306.7301,6.470632,86.06176,-14.38948
,,0.0360613,20.602,8.240212,303.9365,6.478378,86.23331,-14.52741
,,0.012776,20.64341,8.23967,301.1429,6.486124,86.40486,-14.66533
,,0.0059973,21.34981,8.250488,182.7371,6.528449,90.01069,-16.84442
,,-1E-07,21.39659,8.250704,176.9419,6.532841,90.23363,-16.97769
,,,,,,,,
7/21/2021,1122,3.891219,22.82573,8.393058,475.0057,7.059921,97.53655,35.92093
,,3.880679,22.83809,8.390433,474.9038,7.056731,97.51569,36.13163
,,3.879949,22.83866,8.390252,474.8988,7.056461,97.513,36.14585
,,3.879219,22.83922,8.39007,474.8939,7.056191,97.51031,36.16007
,,3.878489,22.83978,8.389889,474.8889,7.055922,97.50762,36.1743
,,3.305229,22.83012,8.38429,474.9246,7.060656,97.55681,36.48402
,,3.277609,22.8299,8.383967,474.9243,7.060816,97.5587,36.50315
,,3.249999,22.82968,8.383646,474.924,7.060975,97.56059,36.52228
,,2.925889,22.8324,8.384356,474.6868,7.064314,97.61396,36.53625
,,2.898699,22.83234,8.384278,474.6759,7.064569,97.6175,36.54322
,,2.871499,22.83228,8.384199,474.6651,7.064822,97.62104,36.5502
,,2.844309,22.83222,8.384121,474.6543,7.065076,97.62458,36.55718
,,2.379179,22.85053,8.396864,474.3088,7.073596,97.91233,36.36047
,,2.349909,22.85144,8.39747,474.2876,7.074071,97.927,36.35189
,,2.320649,22.85235,8.398077,474.2664,7.074546,97.94167,36.34332
,,1.849109,22.86263,8.413172,474.3078,7.101749,98.20811,35.84795
,,1.817299,22.86347,8.414124,474.3026,7.103185,98.2263,35.82125
,,1.785489,22.86432,8.415077,474.2973,7.104621,98.24449,35.79455
,,1.753679,22.86516,8.416029,474.2921,7.106058,98.26268,35.76785
,,1.305159,22.88637,8.426584,474.9337,7.147975,98.87411,34.99557
,,1.274479,22.88758,8.427384,474.9635,7.150451,98.90786,34.95005
,,1.243799,22.88878,8.428185,474.9933,7.152928,98.9416,34.90453
,,0.977169,22.91398,8.447664,474.824,7.207808,99.74993,34.48132
,,0.955589,22.91557,8.448784,474.8285,7.211178,99.79945,34.44637
,,0.934019,22.91716,8.449904,474.833,7.214547,99.84896,34.41143
,,0.504343,22.93729,8.482451,475.3588,7.237092,100.2,33.12415
,,0.478341,22.93874,8.4844,475.3813,7.239214,100.2322,33.05349
,,0.452339,22.94019,8.486347,475.4039,7.241335,100.2643,32.98282
,,0.426337,22.94164,8.488296,475.4265,7.243457,100.2964,32.91216
,,0,23.03102,8.518089,475.9335,7.309721,101.3924,31.3993
,,,,,,,,
8/11/2021,1043,3.408597,21.10426,8.315573,504.6023,8.058777,107.8593,74.87074
,,3.446407,21.10812,8.31101,504.6232,8.052161,107.779,75.16568
,,3.194247,21.11513,8.304821,504.5855,8.045072,107.7079,75.40169
,,3.170767,21.11593,8.304062,504.5825,8.04417,107.6985,75.43454
,,2.857757,21.09638,8.300858,504.7325,8.038994,107.5822,75.62704
,,2.818487,21.09477,8.300333,504.7453,8.038256,107.5688,75.65343
,,2.269947,21.09634,8.29544,504.8452,8.038519,107.5753,76.0666
,,1.713857,21.18058,8.284567,506.1981,8.0555,107.983,76.30036
,,1.641157,21.18903,8.283332,506.335,8.057199,108.0239,76.33692
,,1.336147,21.27373,8.278051,506.2079,8.030838,107.8508,76.4343
,,1.287737,21.28494,8.277154,506.2467,8.028982,107.8499,76.45126
,,0.832357,21.30245,8.272962,506.893,8.020166,107.7688,76.43237
,,0.297507,21.37506,8.275076,507.2946,7.995891,107.5914,76.31741
,,0.229818,21.38265,8.275155,507.3571,7.993271,107.5718,76.30521
,,0,21.44412,8.279383,507.6894,7.957563,107.2266,75.86728
,,,,,,,,
9/15/2021,1020,4.048209,18.26246,8.864519,452.7192,7.795147,98.75758,0.8764518
,,4.058919,18.23981,8.864324,452.6776,7.782134,98.54557,0.866348
,,4.056709,18.19991,8.862623,452.8098,7.700366,97.42568,0.8600571
,,4.056709,18.19069,8.862487,452.8593,7.68889,97.26112,0.8553047
,,3.706429,18.188,8.859029,452.8478,7.646645,96.72132,1.321333
,,3.574579,18.25232,8.854917,455.3379,7.601307,96.27846,1.464991
,,3.550149,18.25832,8.854409,455.5768,7.595544,96.21775,1.494374
,,3.344749,18.39495,8.853419,455.9969,7.582065,96.24164,1.794699
,,3.321009,18.41022,8.853179,456.1287,7.57919,96.22843,1.827668
,,3.092749,18.49767,8.853914,456.4821,7.557124,96.19913,2.091522
,,2.982469,18.56096,8.848549,457.1578,7.559136,96.3528,2.293475
,,2.964299,18.56991,8.84805,457.2366,7.558582,96.36646,2.321648
,,2.766839,18.61015,8.843328,458.9555,7.569732,96.58826,2.668694
,,2.744549,18.61616,8.842681,459.1415,7.570893,96.61494,2.708411
,,2.614429,18.69056,8.842064,459.6286,7.56388,96.67555,3.234022
,,2.541889,18.72177,8.835732,459.7115,7.584149,96.996,3.349289
,,2.530679,18.72729,8.835102,459.7339,7.585859,97.02886,3.377883
,,2.290689,18.73956,8.830978,459.5486,7.587859,97.07873,3.845784
,,2.265679,18.74176,8.830356,459.5331,7.588815,97.09528,3.893178
,,2.072579,18.76365,8.823845,460.6422,7.594296,97.20728,4.128296
,,1.827269,18.83401,8.825597,463.5272,7.584385,97.22139,4.503184
,,1.797279,18.84158,8.825549,463.8452,7.58362,97.22668,4.546799
,,1.505799,18.8849,8.834833,465.038,7.625723,97.85677,4.913058
,,1.469409,18.8916,8.83579,465.2571,7.629329,97.91676,4.961237
,,1.323149,18.94125,8.842757,465.2592,7.733194,99.35004,4.925556
,,0.993129,18.98309,8.85279,465.9104,7.785579,100.1088,5.341672
,,0.956319,18.98879,8.853988,465.9742,7.794045,100.2291,5.38091
,,0.541497,19.02041,8.857215,465.6674,7.92297,101.9496,5.709909
,,0.490051,19.02487,8.857882,465.6624,7.936954,102.1384,5.756826
,,0.310601,19.04483,8.85954,465.9482,8.042848,103.6485,5.739392
,,0.032759,19.10183,8.85746,466.1267,8.114804,104.6077,6.841841
,,0,19.10806,8.857313,466.1548,8.125226,104.75,6.948952
,,,,,,,,
10/5/2021,1006,3.241601,15.49084,8.323741,798.041,8.739916,103.5876,-32.21532
,,3.239151,15.4806,8.321564,802.9775,8.715703,103.2789,-32.17344
,,3.244371,15.42083,8.308599,809.0446,8.640707,102.2599,-32.05462
,,3.244281,15.4103,8.306996,810.9005,8.627414,102.0794,-32.03607
,,2.744291,15.40122,8.295933,801.205,8.442893,99.87603,-31.36215
,,2.549581,15.5349,8.307177,663.6227,8.294856,98.3588,-31.362
,,2.513821,15.54743,8.307893,650.0762,8.274316,98.13758,-31.33907
,,2.217211,15.63672,8.373453,579.1309,8.240245,97.86045,-31.10988
,,2.182841,15.6501,8.380054,567.3784,8.231851,97.78172,-31.08933
,,1.849151,15.82184,8.419584,524.1277,8.209055,97.90099,-31.85156
,,1.681901,15.89204,8.43329,508.9929,8.294209,99.06483,-32.12449
,,1.654841,15.90456,8.43584,506.1091,8.301757,99.18231,-32.177
,,1.254231,15.90458,8.43885,504.9385,8.38764,101.198,-31.99795
,,1.210671,15.90688,8.439557,504.3627,8.399058,101.4329,-31.98993
,,0.814385,15.92951,8.436166,502.9984,8.558668,102.3924,-31.30903
,,0.64733,15.9909,8.434811,502.1405,8.684262,103.9833,-30.9488
,,0.618192,15.99771,8.434566,502.0043,8.701848,104.1688,-30.89106
,,0.274198,15.9979,8.423046,501.4017,8.761078,105.4444,-29.82195
,,0.236274,16.00021,8.421915,501.3153,8.771118,105.6226,-29.70883
,,0,16.01403,8.413184,498.1497,8.851516,106.0468,-30.60481
