Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Boysen Reservoir - LPD,,,,,,,,,,
,6/12/2013,0,7:35,15.17,8.54,682.8,9.72,115.3,311,
,,0.5,7:35,15.18,8.55,682.6,9.71,115.2,311,
,,1,7:35,15.08,8.53,682.5,9.59,113.1,311,
,,1.5,7:35,14.93,8.5,681.7,9.36,109.9,312,
,,2,7:35,14.8,8.49,681.1,9.2,108.1,312,
,,2.5,7:35,14.74,8.49,681.5,9.21,108.4,312,
,,3,7:35,14.72,8.49,681.3,9.21,108.1,312,
,,4,7:35,14.67,8.48,681.4,9.16,107.1,312,
,,5,7:35,14.58,8.47,681.3,9.1,106.3,313,
,,6,7:35,14.21,8.48,685.1,9.22,107.4,313,
,,7,7:35,14.12,8.46,685.2,9.24,107.1,313,
,,8,7:35,14.09,8.44,684.7,9.07,104.3,314,
,,9,7:35,14.06,8.45,685.6,8.98,104.4,314,
,,10,7:35,13.98,8.41,684.1,8.69,100.3,314,
,,11,7:35,13.9,8.39,684.5,8.53,98.2,315,
,,12,7:35,13.75,8.37,685.9,8.35,96.1,315,
,,13,7:35,13.71,8.36,686.1,8.34,95.9,315,
,,14,7:35,13.71,8.36,685.2,8.28,95.1,315,
,,15,7:35,13.68,8.35,685.3,8.19,95,315,
,,20,7:35,12.95,8.28,690.2,7.76,87.3,317,
,,25,7:35,11.84,8.16,698.1,6.56,72.2,319,
,,26,7:54,11.73,8.14,699,6.39,70.4,319,
,,,,,,,,,,
,7/17/2013,0,9:16,21.49,8.49,642.5,6.79,91.6,347,
,,0.5,9:16,21.4,8.46,642.9,6.77,90.8,349,
,,1,9:17,21.24,8.47,642.9,6.66,89.4,346,
,,1.5,9:18,21.11,8.46,643.6,6.61,88.2,346,
,,2,9:19,21.05,8.46,643.5,6.58,87.9,346,
,,2.5,9:19,21,8.46,643.8,6.55,87.3,346,
,,3,9:20,20.92,8.44,644.1,6.52,86.4,347,
,,4,9:20,20.46,8.4,645.7,6.32,83,348,
,,5,9:21,20.13,8.37,646.8,6.08,79.5,348,
,,6,9:22,19.8,8.33,647.5,5.9,76.6,349,
,,7,9:23,19.41,8.3,649,5.69,73.2,350,
,,8,9:24,19.24,8.29,650,5.61,72.3,350,
,,9,9:24,18.74,8.24,652.4,5.42,68.6,351,
,,10,9:25,18.57,8.22,652.1,5.29,67,351,
,,11,9:26,18.4,8.2,652.7,5.18,65.4,351,
,,12,9:26,18.36,8.2,652.5,5.14,64.9,352,
,,13,9:27,18.29,8.19,653.2,5.11,64.4,352,
,,14,9:27,18.21,8.19,653.2,5.03,63.3,352,
,,15,9:28,17.76,8.14,655.6,4.94,61.2,352,
,,20,9:29,15.82,7.93,670,3.83,45.2,328,
