Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,,
Boysen Reservoir - RPD,,,,,,,,,,,
,6/12/2013,0,6:55,18.25,8.27,441.3,7.51,95.2,286,,
,,0.5,6:55,18.29,8.26,440.3,7.5,95.1,287,,
,,1,6:55,18.31,8.26,440.1,7.49,95,290,,
,,1.5,6:55,18.3,8.26,439.7,7.49,94.8,291,,
,,2,6:55,18.3,8.26,440.1,7.5,94.8,291,,
,,2.5,6:55,18.3,8.26,442.7,7.49,95.1,292,,
,,3,6:55,18.3,8.26,442.1,7.49,94.9,293,,
,,4,6:55,17.23,8.41,583.1,8.32,103.1,295,,
,,5,6:55,16.71,8.41,610.5,8.56,105.1,296,,
,,6,6:55,16.68,8.4,609,8.52,104.4,296,,
,,7,6:55,16.32,8.35,612,8.2,99.5,297,,
,,8,6:55,16.01,8.33,622.4,7.98,96.2,298,,
,,9,6:55,15.46,8.27,630.5,7.59,89.6,299,,
,,10,6:55,14.92,8.16,631.9,6.73,79,301,,
,,,,,,,,,,,
,7/17/2013,0,8:30,23.66,8.57,593,7.11,99.8,378,,
,,0.5,8:31,23.66,8.54,593,7.09,99.6,378,,
,,1,8:32,23.66,8.53,592.9,7.1,99.5,378,,
,,1.5,8:33,23.65,8.53,592.5,7.07,99.1,376,,
,,2,8:34,23.65,8.53,592.9,7.06,99,375,,
,,2.5,8:34,23.62,8.52,591.5,7.03,98.4,374,,
,,3,8:35,23.6,8.5,590.4,6.98,97.8,373,,
,,4,8:37,23.54,8.49,588.9,6.86,96.1,372,,
,,5,8:37,23.51,8.48,586,6.84,95.7,372,,
,,6,8:38,23.45,8.47,582.2,6.81,95.2,371,,
,,7,8:39,23.35,8.44,579.7,6.72,93.5,372,,
,,8,8:39,23.24,8.41,576.5,6.58,90.9,372,,
,,9,8:40,22.99,8.37,573.5,6.23,86,372,,
,,,,,,,,,,,
,9/18/2013,0,7:32,19.57,8.19,657.3,7.21,94.8,377,,
,,0.5,7:32,19.6,8.17,657,7.14,93.9,379,,
,,1,7:33,19.61,8.17,656.9,7.1,93.7,380,,
,,1.5,7:33,19.61,8.17,657.1,7.11,93.7,381,,
,,2,7:34,19.62,8.17,657.1,7.11,93.7,382,,
,,2.5,7:34,19.63,8.17,657.1,7.12,93.7,382,,
,,3,7:35,19.61,8.17,657.3,7.11,93.7,382,,
,,4,7:36,19.62,8.17,657.1,7.12,93.7,383,,
,,5,7:36,19.63,8.16,657,7.13,93.9,383,,
,,6,7:37,19.63,8.15,657.6,7.08,93.1,383,,
,,7,7:38,19.53,8.11,660.7,6.74,88.6,384,,
,,8,7:39,18.38,7.8,707,4.81,60.7,388,,
,,,,,,,,,,,
,6/9/2014,0,9:20,16.5,7.96,349,7.3,88.1,332,,
,,0.5,,16.1,7.84,349.2,7.19,86.8,335,,
,,1,,16,7.91,348,7.23,86.9,336,,
,,1.5,,16,8.01,349,7.17,86.3,335,,
,,2,,15.9,7.98,351,7.19,86.4,336,,
,,2.5,,15.9,8,352,7.15,86.1,337,,
,,3,,15.9,7.97,353,7.18,86.2,337,,
,,4,,15.9,7.96,358,7.17,85.9,338,,
,,5,,15.8,7.96,380,7.13,85.5,339,,
,,6,,15.8,7.99,411,7.12,85.1,340,,
,,7,,15.7,8.02,425,6.92,82.6,340,,
,,8,,15.7,8.02,430,6.89,82.2,340,,
,,9,,15.7,8.04,431,6.86,82,340,,
,,10,,15.6,8.04,437,6.81,81.2,340,,
,,11,,15.6,8.05,456,6.79,80.8,340,,
,,12,,15.5,8.06,468,6.74,80.2,340,,
,,13,,15.4,8.09,512,6.54,77.6,341,,
,,14,,15.3,8.13,549,6.66,79.1,341,,
,,,,,,,,,,,
,7/14/2014,0,834,22.77,8.28,280.7,7.75,106.2,383,,
,,0.5,,22.79,8.27,280.7,7.67,105.4,385,,
,,1,,22.8,8.25,280.6,7.65,105.1,388,,
,,1.5,,22.8,8.23,280.5,7.68,105.5,390,,
,,2,,22.68,8.18,276.4,7.46,102.2,392,,
,,2.5,,22.09,8.06,251.4,7.04,92.4,394,,
,,3,,22,7.95,260.9,6.68,90.5,396,,
,,4,,21.91,7.97,281.6,6.77,91.6,397,,
,,5,,21.73,7.93,289.1,6.51,87.1,399,,
,,6,,21.41,7.93,325.5,6.2,82.8,400,,
,,7,,20.94,7.77,317.2,5.15,68.3,404,,
,,8,,20.05,7.8,370.3,5.65,73.8,404,,
,,9,,19.13,7.91,417.9,5.7,72.9,405,,
,,10,,18.61,7.96,436.8,5.8,73.5,405,,
,,11,,18.17,7.94,441,5.48,68,406,,
,,12,,17.86,7.88,453.8,4.71,59.8,406,,
,,13,,17.21,7.71,457.8,2.61,31.5,411,,
,,,,,,,,,,,
,9/8/2014,0,906,18.9,8.37,448,7.78,99.6,308,,
,,0.5,,18.9,8.32,448,7.74,99.5,311,,
,,1,,18.8,8.34,448,7.73,99.1,313,,
,,1.5,,18.9,8.34,448,7.74,99.2,316,,
,,2,,18.8,8.33,449,7.69,98.7,317,,
,,2.5,,18.9,8.33,447,7.7,98.9,318,,
,,3,,18.9,8.32,449,7.7,98.8,319,,
,,4,,18.9,8.31,448,7.69,98.8,321,,
,,5,,18.9,8.31,448,7.69,98.7,322,,
,,6,,18.9,8.31,450,7.67,98.3,323,,
,,7,,18.8,8.3,448,7.66,98.4,323,,
,,8,,18.8,8.3,448,7.68,98.6,324,,
,,9,,18.8,8.29,450,7.71,99,324,,
,,10,,18.8,8.29,453,7.7,98.5,325,,
,,11,,18.7,8.25,464,7.37,93.5,327,,
,,12,,18.2,8.14,483,6.19,77.6,329,,
,,,,,,,,,,,
,6/15/2015,0,853,19.2,7.99,282,7.01,89.7,397,,
,,0.5,,19.2,8.07,281,7,89.5,392,,
,,1,,19.2,8.07,281,6.99,89.5,390,,
,,1.5,,19.2,8.07,282,7,89.5,389,,
,,2,,19.2,8.08,282,6.97,89.3,388,,
,,2.5,,19.2,8.08,281,6.98,89.4,386,,
,,3,,19.2,8.09,281,6.95,89,385,,
,,4,,19.2,8.09,281,6.93,88.7,384,,
,,5,,19.2,8.09,281,6.95,89,384,,
,,6,,19.2,8.09,284,6.92,88.7,383,,
,,7,,19.2,8.09,285,6.93,88.8,383,,
,,8,,19.2,8.09,286,6.91,88.6,383,,
,,9,,19.1,8.07,271,6.87,87.9,383,,
,,10,,19,8.05,262,6.84,87.4,384,,
,,11,,19,8.03,257,6.77,86.3,385,,
,,12,,18.9,8.02,263,6.68,85.2,385,,
,,13,,18.8,8.03,275,6.7,,,,"Battery died half way through, missing values approximated as 85 and 385. "
,,,,,,,,,,,
,7/20/2015,0,850,21,8.28,375,6.51,86.6,342,,
,,0.5,,21,8.3,375,6.65,88.6,345,,
,,1,,20.94,8.25,375,6.39,84.8,348,,
,,1.5,,20.93,8.24,375,6.32,84,350,,
,,2,,20.93,8.24,375,6.25,83.1,353,,
,,2.5,,20.88,8.22,376,6.13,81.4,355,,
,,3,,20.87,8.2,376,3.03,80.1,355,,
,,4,,20.84,8.19,379,5.85,77.6,359,,
,,5,,20.8,8.19,380,5.9,78.2,361,,
,,6,,20.76,8.2,379,5.93,78.7,362,,
,,7,,20.71,8.2,381,5.98,79.2,364,,
,,8,,20.69,8.2,383,5.98,79.1,366,,
,,9,,20.43,8.19,431,5.68,74.7,367,,
,,10,,20.34,8.22,440,5.74,75.3,368,,
,,11,,19.08,7.93,413,4.71,60.4,369,,
,,12,,17.94,7.78,439,3.58,44.9,367,,
