Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Boysen Reservoir - TPD,,,,,,,,,
,6/12/2013,0,6:26,17.45,8.19,554.2,7.99,99.5,277
,,0.5,6:26,17.47,8.21,553.1,8,99.5,278
,,1,6:26,17.48,8.22,552.5,8.01,99.8,280
,,1.5,6:26,17.47,8.24,553.1,8.06,100.4,280
,,2,6:26,17.48,8.26,553.5,8.03,99.9,281
,,2.5,6:26,17.48,8.27,555.3,8.05,100,282
,,3,6:26,17.46,8.28,557.1,8.03,100,283
,,4,6:26,17.3,8.31,569.3,8.06,100.1,283
,,5,6:26,16.87,8.32,594.7,8.17,100.4,284
,,6,6:26,16.14,8.33,633.7,8.26,99.8,285
,,7,6:26,15.83,8.37,659.8,8.58,103.2,285
,,8,6:26,15.8,8.4,666.9,8.74,105.2,285
,,9,6:26,15.58,8.38,667.4,8.59,102.7,286
,,10,6:26,15.42,8.36,668.2,8.38,99.9,286
,,11,6:26,15.28,8.35,668.3,8.31,99,287
,,12,6:26,15.11,8.37,676,8.46,100.1,288
,,13,6:26,15,8.33,675.4,8.18,96.2,288
,,,,,,,,,
,7/17/2013,0,8:00,22.81,8.53,609.1,7.21,99.5,376
,,0.5,8:00,22.83,8.51,609,7.23,99.9,376
,,1,8:01,22.84,8.52,609.1,7.22,99.7,374
,,1.5,8:02,22.84,8.51,609.1,7.24,100,373
,,2,8:03,22.84,8.5,609.6,7.19,99.5,373
,,2.5,8:06,22.84,8.51,609.9,7.24,100.1,369
,,3,8:11,22.84,8.5,609,7.21,99.5,366
,,4,8:12,22.83,8.5,609.1,7.18,99.1,366
,,5,8:12,22.79,8.48,609,7.09,97.7,366
,,6,8:13,22.77,8.46,607.4,6.98,96.2,366
,,7,8:14,22.74,8.45,606.3,6.9,95.1,366
,,8,8:15,22.7,8.45,608.3,6.94,95.6,365
,,9,8:15,22.67,8.44,608.9,6.9,95.1,365
,,10,8:15,22.56,8.44,609.8,6.87,95.2,365
,,11,8:16,22.45,8.43,611.2,6.72,92,365
,,12,8:17,22.35,8.41,613.8,6.6,90.3,365
,,13,8:17,21.73,8.27,617.7,5.72,76.4,368
,,,,,,,,,
,9/18/2013,0,7:06,19.84,8.11,656.2,6.56,86.7,404
,,0.5,7:06,19.97,8.1,655.2,6.58,85.9,405
,,1,7:07,20,8.11,655.1,6.48,86,405
,,1.5,7:07,20.03,8.11,655.4,6.45,85.8,405
,,2,7:07,20.02,8.12,655.6,6.47,86.1,405
,,2.5,7:08,20.02,8.11,655,6.46,85.8,405
,,3,7:08,20.03,8.12,655.2,6.49,86.2,404
,,4,7:09,20.03,8.12,654.9,6.46,86,404
,,5,7:10,20.03,8.12,655,6.47,85.9,404
,,6,7:10,20.04,8.12,655.6,6.48,86,404
,,7,7:11,20.04,8.12,655.1,6.48,86,404
,,8,7:11,20.04,8.12,655,6.48,86.1,403
,,9,7:12,20.04,8.12,654.9,6.49,86.1,403
,,10,7:13,20.02,8.11,655.7,6.36,84.4,403
,,11,7:13,19.89,8.07,658.6,6.03,79.9,404
,,,,,,,,,
,6/9/2014,0,956,17.2,8.01,253,7.55,93,326
,,0.5,,16.6,7.97,251,7.55,91.8,328
,,1,,16.3,7.93,250,7.52,91,330
,,1.5,,16.2,7.93,250,7.47,90.3,330
,,2,,16.1,7.94,252,7.48,90.2,331
,,2.5,,16.1,7.91,252,7.46,89.9,331
,,3,,16.1,7.91,252,7.49,90.4,332
,,4,,16.1,7.89,255,7.48,90.2,333
,,5,,16.1,7.88,256,7.47,90.1,333
,,6,,16.1,7.88,259,7.46,89.9,334
,,7,,16.1,7.87,268,7.45,89.5,334
,,8,,16,7.87,261,7.4,89.1,334
,,9,,15.9,7.86,321,7.34,87.9,336
,,10,,15.9,7.91,405,7.29,87.5,337
,,11,,15.9,7.98,404,7.16,85.9,337
,,12,,15.9,7.99,405,7.12,85.4,336
,,,,,,,,,
,7/14/2014,0,811,22.7,8.31,308.6,7.7,105.6,414
,,0.5,,22.7,8.3,307.8,7.67,105.2,416
,,1,,22.69,8.32,308.7,7.71,105.8,415
,,1.5,,22.69,8.31,308.2,7.68,105.2,415
,,2,,22.67,8.3,308.8,7.69,105.4,415
,,2.5,,22.64,8.28,307.6,7.62,104.2,415
,,3,,22.37,8.18,297.8,7.22,97.5,417
,,4,,21.66,7.98,295.7,6.44,86.4,419
,,5,,20.99,8.03,354.9,6.55,86.8,420
,,6,,20.49,7.93,345.8,6.1,79.7,422
,,7,,19.87,7.98,417.2,5.98,79,422
,,8,,19.26,8.16,448,6.65,85.2,421
,,9,,18.95,8.17,454.9,6.54,83.1,421
,,10,,18.45,8.14,459.6,6.38,80.3,421
,,11,,18.02,8.09,455.7,6.09,76.1,421
,,12,,17.83,8.09,463.7,6.2,77.3,421
,,13,,17.54,8.04,461.7,5.81,72.3,421
,,14,,17.06,7.94,467.8,4.97,60.6,423
,,15,,16.92,7.84,470.8,4.17,49.2,424
,,16,,16.63,7.72,479.7,2.76,30,427
,,,,,,,,,
,9/8/2014,0,826,18.7,8.11,445,6.93,88.8,307
,,0.5,,18.7,8.15,445,6.96,89,311
,,1,,18.7,8.15,446,6.93,88.8,313
,,1.5,,18.7,8.19,446,6.94,88.9,314
,,2,,18.7,8.18,446,6.93,88.8,315
,,2.5,,18.7,8.19,446,6.94,88.9,316
,,3,,18.7,8.2,446,6.92,88.6,317
,,4,,18.7,8.19,446,6.92,88.5,318
,,5,,18.7,8.19,447,6.93,89,319
,,6,,18.7,8.19,445,6.93,88.8,321
,,7,,18.7,8.17,446,6.93,88.8,322
,,8,,18.7,8.17,446,6.89,88.2,322
,,9,,18.7,8.17,446,6.89,88.2,322
,,10,,18.7,8.16,445,6.82,87.4,323
,,11,,18.7,8.15,445,6.79,86.7,323
,,12,,18.6,8.14,446,6.64,84.8,324
,,13,,18.5,8.11,449,6.42,82,325
,,14,,18.5,8.08,458,6.12,77.8,326
,,15,,18.4,8.04,475,5.57,70.7,327
,,16,,18.2,7.99,508,4.81,60,329
,,,,,,,,,
,6/15/2015,0,802,19.1,7.94,365,7.22,92.3,379
,,0.5,,19.1,7.96,365,7.21,92.2,376
,,1,,19.1,7.98,366,7.22,92.1,374
,,1.5,,19.1,7.99,365,7.21,92.1,373
,,2,,19.1,8,366,7.21,92.3,372
,,2.5,,19.1,8,366,7.2,92.3,372
,,3,,19.1,8.01,367,7.24,92.4,372
,,4,,19.1,8.02,368,7.2,92.1,372
,,5,,19.1,8.02,367,7.21,92.2,372
,,6,,19.1,8.01,367,7.2,92,372
,,7,,19.1,8.03,367,7.18,92,372
,,8,,19.1,8.03,367,7.21,92.2,372
,,9,,19.1,8.04,367,7.19,92,372
,,10,,19.1,8.04,367,7.21,92.1,373
,,11,,19.1,8.04,367,7.22,92.4,372
,,12,,19.1,8.05,366,7.19,92,372
,,13,,19.1,8.06,365,7.2,92.2,372
,,14,,19.1,8.06,367,7.22,92.1,373
,,15,,19.1,8.09,385,7.27,93,373
,,17,,13.3,7.9,552,5.81,66.4,385
,,,,,,,,,
,7/20/2015,0,817,21.8,8.33,370,7.32,99.1,288
,,0.5,,21.8,8.33,370,7.3,98.7,289
,,1,,21.8,8.34,370,7.33,99.2,291
,,1.5,,21.8,8.34,370,7.29,98.8,293
,,2,,21.6,8.3,370,7.14,96.2,296
,,2.5,,21.6,8.3,371,7.09,95.6,299
,,3,,21.3,8.25,372,6.77,90.5,301
,,4,,21.1,8.23,373,6.69,89.1,303
,,5,,21,8.21,374,6.55,87.2,305
,,6,,21,8.19,374,6.42,85.5,307
,,7,,21,8.18,375,6.32,84.1,310
,,8,,20.79,8.12,379,6.04,80.1,312
,,9,,20.64,8.1,381,5.96,78.6,314
,,10,,20.28,8.09,384,5.94,78,316
,,11,,19.04,7.93,410,5.17,66.2,318
,,12,,18.97,7.93,412,5.14,65.5,319
,,13,,18.5,7.83,426,4.33,54.1,317
,,14,,17.2,7.74,454,3.55,43.6,315
,,15,,16.8,7.71,463,3.14,38.4,312
,,16,,16.5,7.68,471,2.63,31.9,308
,,,,,,,,,
,9/14/2015,0,852,18.7,8.5,457,7.53,97.1,330
,,0.5,,18.7,8.46,458,7.52,97,329
,,1,,18.7,8.47,457,7.52,96.9,329
,,1.5,,18.7,8.48,457,7.53,97.2,329
