Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,,,,
6/23/2020,0,13:58,7.91,7.35,49.6,9.44,109.8,,,,,
,0.5,,7.76,7.45,49.9,9.54,111,,,,,
,1,,7.75,7.5,49.6,9.74,113,,,,,
,1.5,,7.79,7.48,49.7,9.68,112.6,,,,,
,2,,7.74,7.52,49.5,9.84,114.1,,,,,
,2.5,,7.73,7.55,49.5,9.88,114.3,,,,,
,3,,7.69,7.57,49.5,9.94,115.1,,,,,
,4,,7.68,7.58,49.5,9.96,115.4,,,,,
,5,,7.58,7.52,49.5,9.8,113.4,,,,,
,6,,6.99,7.42,48.7,9.14,102.5,,,,,
,7,,6.03,7.23,49.1,7.85,86.2,,,,,
,8,,5.66,7.08,49.7,7.15,78.3,,,,,
,9,,5.26,6.99,49.9,6.49,70.5,,,,,
,10,,5.15,6.95,49.8,6.31,68.2,,,,,
,11,,5.02,6.91,50,6.17,66.4,,,,,
,12,,4.77,6.85,50.7,5.59,60.4,,,,,
,13,,4.67,6.81,51.2,5.32,56.8,,,,,
,14,,4.6,6.77,51.3,5.17,55.4,,,,,
,15,14:14,4.56,6.76,51.5,5.06,53.8,,,,,
,,,,,,,,,,,,
7/21/2020,0,11:23,15.94,8.82,21.76,8.34,116.38,,,,,
,0.5,,15.65,8.83,51.8,8.4,117.18,,,,,
,1,,15.07,8.86,54.12,8.61,119.01,,,,,
,1.5,,14.93,8.85,54.06,8.68,119.37,,,,,
,2,,14.75,8.72,54.69,8.54,116.88,,,,,
,2.5,,14.59,8.39,54.74,8.51,116.52,,,,,
,3,,14.57,8.4,54.77,8.47,115.4,,,,,
,4,,13.31,8.48,53.17,9.55,126.5,,,,,
,5,,11.79,8.64,52.25,10.56,135.5,,,,,
,6,,9.98,9.07,49.15,9.93,118.9,,,,,
,7,,7.98,8.33,48.6,7.8,89.08,,,,,
,8,,6.96,8.02,48.7,4.86,54.76,,,,,
,9,,6.35,8,49.21,3.59,40.44,,,,,
,10,,6.22,8.14,49.33,2.98,32.23,,,,,
,11,,5.94,8.29,49.37,2.85,31.56,,,,,
,12,,5.85,8.36,49.34,2.83,28,,,,,
,13,,5.62,8.44,52.25,0.56,6.18,,,,,
,14,,5.37,8.54,54.96,0.09,0.85,,,,,
,15,,5.34,8.65,56.87,0.03,0.27,,,,,
,15.5,12:00,5.33,8.77,59.81,0.01,0.09,,,,,
,,,,,,,,,,,,
8/25/2020,0,13:47,16.3,9.82,66.27,9.9,139.8,142.4,,,,
,0.5,,16.2,9.84,66.12,9.9,139.66,147.2,,,,
,1,,16.17,9.81,66.1,9.92,140.07,152.5,,,,
,1.5,,16.11,9.81,66.18,9.94,140.06,155.6,,,,
,2,,16.09,9.66,66.21,9.98,140.43,161.7,,,,
,2.5,,15.85,9.23,66.26,10.04,140.6,195.6,,,,
,3,,15.76,9.27,66.35,10.07,141.16,190.9,,,,
,4,,15.04,9.28,65.63,10.77,148.07,194.1,,,,
,5,,14.04,8.96,64.03,9.78,131.36,195.4,,,,
,6,,12.72,8.73,58.88,9.29,120.87,190,,,,
,7,,10.12,7.85,53.82,5.15,62.48,174,,,,
,8,,8.41,7.69,53.48,2.29,25.22,163.2,,,,
,9,,7.48,7.7,53.42,0.44,5.16,146.8,,,,
,10,,6.92,7.83,54.82,0.04,0.33,64.4,,,,
,11,,6.42,8,56.01,0,0,-5.3,,,,
,12,,5.97,8.22,59.91,0,0,-72.3,,,,
,13,,5.81,8.29,61.75,0,0.03,-107.8,,,,
,14,,5.7,8.44,64.39,0,0.04,-126.6,,,,
,15,,5.64,8.56,65.28,0,0,-143.4,,,,
,16,14:24,5.58,8.71,67.46,0,0,-160.2,,,,
,,,,,,,,,,,,
9/22/2020,0,13:40,10.8,10.19,81.31,11.96,149.65,144.2,,,,
,0.5,,10.65,10.19,75.25,11.91,148.7,149.4,,,,
,1,,10.51,10.14,74.29,11.63,144.07,152.5,,,,
,1.5,,10.53,10.07,73.6,11.47,142.7,163.8,,,,
,2,,10.42,9.63,73.29,11.2,137.73,174.1,,,,
,2.5,,10.31,9.72,71.82,10.89,134.53,175.1,,,,
,3,,10.25,9.59,60.73,10.85,133.97,167.6,,,,
,4,,10.2,9.58,58.89,10.44,128.6,170.9,,,,
,5,,10.11,9.45,58.15,9.01,110.71,172.5,,,,
,6,,9.91,9.47,59.75,7.46,90.47,145.7,,,,
,7,,9.84,9.78,61.6,6.71,81.8,129.8,,,,
,8,,9.46,9.66,62.89,5.52,65.98,120.6,,,,
,9,,8.31,8.13,63.63,0.06,0.67,27.3,,,,
,10,,8.06,8.09,64.98,0.04,0.45,-47.4,,,,
,11,,7.51,8.2,67.49,0,0,-107.2,,,,
,12,,7.07,8.33,68.64,0,0.03,-141.3,,,,
,13,,6.91,8.48,70.8,0,0.06,-150.6,,,,
,14,,6.48,8.56,72.27,0,0,-192,,,,
,15,,6.41,8.79,74.51,0,0,-201.5,,,,
,16,14:14,6.38,8.87,76.17,0,0,-212,,,,
,,,,,,,,,,,,
10/21/2020,0,10:40,5.28,9.16,60.87,9.6,106.31,-44.1,,,,
,0.5,,5.27,9.12,60.8,9.58,106.09,-34.6,,,,
,1,,5.27,9.1,60.83,9.57,106,-33.4,,,,
,1.5,,5.29,9.09,60.78,9.54,105.63,-27.3,,,,
,2,,5.27,9.04,60.74,9.49,104.81,-23.7,,,,
,2.5,,5.26,9,60.75,9.5,105.26,-22.1,,,,
,3,,5.26,9.1,60.7,9.48,104.96,-24,,,,
,4,,5.26,9.21,60.73,9.46,104.68,-32,,,,
,5,,5.28,9.45,60.7,9.44,104.42,-41.2,,,,
,6,,5.27,9.82,60.72,9.4,104.07,-62.4,,,,
,7,,5.26,10.05,60.69,9.38,103.74,-66.3,,,,
,8,,5.27,10.27,60.58,9.39,103.8,-81.6,,,,
