Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,,,,
6/23/2020,0,12:38,7.81,7.33,49.7,9.17,106.3,,,,,
,0.5,,6.88,7.27,49.6,8.72,98.7,,,,,
,1,,6.65,7.24,49.7,8.45,95.2,,,,,
,1.5,,6.53,7.16,49.4,8.19,92,,,,,
,2,,6.16,7.08,49.9,7.7,85.8,,,,,
,2.5,,6.01,7.03,49.6,7.49,83,,,,,
,3,,5.93,7.02,49.6,7.49,82.8,,,,,
,4,,5.71,6.99,50.1,7.17,78.6,,,,,
,5,,5.63,6.95,50.6,6.88,75.7,,,,,
,6,,5.59,6.91,50.5,6.81,74.8,,,,,
,7,,5.49,6.88,50.4,6.64,72.7,,,,,
,8,,5.39,6.88,50.6,6.54,71.4,,,,,
,9,,5.3,6.87,50.4,6.39,69.5,,,,,
,9.5,12:50,5.19,6.84,50.3,6.09,66.3,,,,,
,,,,,,,,,,,,
7/21/2020,0,9:50,15.16,8.81,54.3,8.46,116.61,,,,,
,0.5,,15.14,8.84,54.24,8.47,116.9,,,,,
,1,,15.19,8.83,54.14,8.45,116.76,,,,,
,1.5,,15.03,8.84,54.18,8.48,116.67,,,,,
,2,,14.9,8.78,54.46,8.47,116.08,,,,,
,2.5,,14.72,8.63,54.6,8.47,115.71,,,,,
,3,,14.63,8.41,54.61,8.49,115.88,,,,,
,4,,13.39,8.26,56.5,8.91,117.61,,,,,
,5,,12.01,8.6,52.92,10.52,135.69,,,,,
,6,,10.87,8.48,50.76,10.02,124.72,,,,,
,7,,8.63,8.35,49.01,8.71,107.96,,,,,
,8,,7.47,8,49.33,5.45,63.12,,,,,
,9,,7.12,8.03,49.2,4.67,53.41,,,,,
,10,,6.69,8.13,49.35,3.87,43.7,,,,,
,11,10:15,6.22,8.22,49.9,2.87,31.76,,,,,
,,,,,,,,,,,,
8/25/2020,0,11:02,15.91,9.82,66.1,9.81,137.4,141.1,,,,
,0.5,,15.84,9.71,66.13,9.84,137.74,148.2,,,,
,1,,15.81,9.66,66.09,9.86,137.73,157.6,,,,
,1.5,,15.56,9.52,66.15,9.92,138.28,163.2,,,,
,2,,15.48,9.43,65.94,9.98,138.65,173.3,,,,
,2.5,,15.45,9.36,65.91,10,138.69,176.6,,,,
,3,,15.43,9.39,65.91,9.98,138.44,175.5,,,,
,4,,15.36,9.57,65.79,9.9,136.97,161.1,,,,
,5,,13.61,9.65,66.7,9.42,125.22,147.6,,,,
,6,,12.07,9.35,58,8.77,112.34,141.7,,,,
,7,,9.25,8.13,54.76,3.17,38.15,143.1,,,,
,8,,8.04,7.91,53.97,1,11.6,129,,,,
,9,,6.75,8.03,55.36,0.01,0.07,0.2,,,,
,9.5,11:31,6.38,8.12,57.57,0,0,-71.5,,,,
,,,,,,,,,,,,
9/22/2020,0,10:30,10.31,10.09,76.25,11.18,138.9,137.7,,,,
,0.5,,10.32,10.09,76.23,11.27,138.9,138.9,,,,
,1,,10.29,9.99,75.99,11.1,137.06,150.9,,,,
,1.5,,10.29,9.63,75.81,11.05,136.19,167,,,,
,2,,10.28,9.52,75.73,10.99,135.64,169.6,,,,
,2.5,,10.28,9.55,75.7,10.96,135.2,168.2,,,,
,3,,10.28,9.62,76.63,10.93,134.9,165,,,,
,4,,10.27,9.75,75.47,10.86,133.9,156.3,,,,
,5,,10.25,10.09,75.02,10.69,131.75,136,,,,
