Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,,,,
6/23/2020,0,10:51,8.39,7.98,49.2,10.57,124.4,,,,,
,0.5,,8.28,7.99,49.2,10.59,124.6,,,,,
,1,,8.29,8.02,49.3,10.58,124.3,,,,,
,1.5,,8.2,7.98,49.5,10.6,124.2,,,,,
,2,,8.25,7.95,49.2,10.57,124.1,,,,,
,2.5,,8.17,7.94,49.5,10.55,123.6,,,,,
,3,,8.1,7.9,49.2,10.38,121.8,,,,,
,4,,7.65,7.63,49.2,9.63,111.1,,,,,
,5,,7.52,7.43,49.1,9.37,107.6,,,,,
,6,,6.4,7.22,49.9,7.56,82.7,,,,,
,6.6,11:02,5.83,7.03,49.8,6.87,75.8,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
7/21/2020,0,7:47,15.1,8.51,54,8.36,115.09,,,,,
,0.5,,15.07,8.8,53.89,8.4,115.48,,,,,
,1,,15.03,8.71,53.76,8.41,115.62,,,,,
,1.5,,14.8,8.48,54.03,8.75,119.63,,,,,
,2,,13.99,8.36,55.24,9.1,122.13,,,,,
,2.5,,13.57,8.31,56.09,9.27,123.57,,,,,
,3,,13.45,8.42,53.41,9.86,130.76,,,,,
,4,,12.69,8.66,53.15,10.17,132.81,,,,,
,5,,12.19,9.33,52.77,10.49,135.11,,,,,
,6,,11.18,9.52,51.69,10.65,133.91,,,,,
,7,,8.96,8.98,48.84,9.59,114.55,,,,,
,8,,8.33,8.94,48.75,8.95,104.64,,,,,
,9,,7.58,8.57,48.9,6.31,71.36,,,,,
,10,,7.35,8.53,48.9,5.01,57.1,,,,,
,11,,6.61,8.59,48.81,4.22,47.49,,,,,
,12,,6.27,8.71,49.37,2.96,32.35,,,,,
,12.5,8:20,6.04,8.7,49.96,2.33,25.67,,,,,
,,,,,,,,,,,,
8/25/2020,0,12:54,16.51,9.8,66.4,9.86,140.18,127.3,,,,
,0.5,,16.53,9.81,66.4,9.87,140,133.2,,,,
,1,,16.46,9.81,66.47,9.88,140.3,139.1,,,,
,1.5,,16.47,9.78,66.45,9.89,140.32,142,,,,
,2,,16.43,9.7,66.46,9.9,140.4,149.5,,,,
,2.5,,16.32,9.7,66.26,10.06,141.96,161.7,,,,
,3,,16,9.22,66.05,9.99,139.48,182.7,,,,
,4,,14.8,9.11,65.14,9.78,133.27,182.9,,,,
,5,,13.39,8.83,62.19,10.07,135.77,185.8,,,,
,6,,11.85,8.12,56.41,8.61,106.31,189.7,,,,
,7,,10.5,7.73,55.72,6.13,55.57,159,,,,
,8,13:19,9.32,7.73,54.88,3.11,37.51,154.2,,,,
,,,,,,,,,,,,
9/22/2020,0,12:15,10.57,10.15,76.48,11.27,139.77,52.3,,,,
,0.5,,10.57,10.15,76.37,11.21,138.59,54.5,,,,
,1,,10.47,10.14,75.71,10.98,135.7,58.7,,,,
,1.5,,10.47,10.07,75.78,10.94,135.18,65,,,,
,2,,10.4,10.07,75.76,10.82,134.05,71.4,,,,
,2.5,,10.34,9.59,75.19,10.56,130.87,101,,,,
,3,,10.22,9.3,73.5,9.71,119.5,110.6,,,,
,4,,10.1,9.39,73.78,9.75,120.1,109.1,,,,
,5,,10.05,9.5,73.66,9.73,119.34,105.3,,,,
,6,,9.87,9.3,71.76,7.72,94.07,101.9,,,,
,7,,9.53,8.45,70.67,4.53,53.43,92.3,,,,
,8,12:38,9.26,8.32,70.35,2.57,30.79,76.2,,,,
,,,,,,,,,,,,
10/21/2020,0,12:30,5.35,9.56,60.71,10.02,111.54,17.4,,,,
,0.5,,5.43,9.56,60.51,10,111.3,13,,,,
,1,,5.44,9.46,60.61,10.02,111.58,18,,,,
,1.5,,5.42,9.42,60.63,10.02,111.48,24.5,,,,
,2,,5.41,9.13,60.65,9.96,110.67,37.6,,,,
,2.5,,5.38,9.04,60.7,9.92,110.37,34.9,,,,
,3,,5.38,9.17,60.78,9.93,110.2,29.4,,,,
,4,,5.38,9.19,60.79,9.9,109.96,26.3,,,,
,5,,5.36,9.28,60.83,9.89,110.05,21.3,,,,
,6,,5.37,9.46,60.85,9.89,109.8,6.2,,,,
,7,,5.38,9.93,60.88,9.96,110.75,-15.7,,,,
,8,,5.39,10.26,60.88,10,111.22,-32.8,,,,
,9,,5.38,10.5,61.19,9.96,109.55,-56.6,,,,
,10,12:50,5.4,10.55,60.55,9.75,108.47,-64.7,,,,
,,,,,,,,,,,,
6/15/2021,0,10:10,10.01,6.63,52.02,6.24,76.31,250.6,,,,
,0.5,,9.96,6.57,51.99,6.21,76.01,252.6,,,,
,1,,9.35,6.54,51.98,6.11,73.94,254.4,,,,
