Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,,,,
6/23/2020,0,13:16,8.25,7.64,49.6,10,117.4,,,,,
,0.5,,8.1,7.66,49.5,10.1,118,,,,,
,1,,8.07,7.69,49.7,10.11,118.1,,,,,
,1.5,,7.99,7.69,49.6,10.12,117.9,,,,,
,2,,7.94,7.73,49.3,10.14,117.6,,,,,
,2.5,,7.4,7.64,49.8,9.87,113.7,,,,,
,3,,6.9,7.35,49.4,8.71,98.7,,,,,
,4,,6.09,7.22,50.2,8.05,88.8,,,,,
,5,,5.77,7.09,50.3,7.45,80.9,,,,,
,5.5,13:24,5.68,6.98,50.2,6.89,75.9,,,,,
,,,,,,,,,,,,
7/21/2020,0,10:35,15.61,8.83,53.7,8.31,116.08,,,,,
,0.5,,15.71,8.84,53.98,8.32,116.21,,,,,
,1,,15.49,8.83,53.91,8.38,116.52,,,,,
,1.5,,15.15,8.85,53.79,8.52,117.99,,,,,
,2,,15.06,8.85,54.04,8.57,118.16,,,,,
,2.5,,14.64,8.71,54.44,8.62,117.75,,,,,
,3,,14.23,8.48,54.89,8.73,118.09,,,,,
,4,,13.17,8.46,55.47,9.53,125.67,,,,,
,5,,11.01,8.4,51.65,10.25,128.47,,,,,
,6,,8.66,7.51,49.12,8.48,100.81,,,,,
,7,10:52,7.5,7.54,49.17,5.62,64.7,,,,,
,,,,,,,,,,,,
8/25/2020,0,10:18,15.87,9.81,66.29,9.81,137.29,113.9,,,,
,0.5,,15.87,9.78,66.23,9.83,137.45,120.6,,,,
,1,,15.77,9.46,66.24,9.79,136.79,138.4,,,,
,1.5,,15.72,9.37,65.98,9.63,134.09,149.7,,,,
,2,,15.69,9.25,65.98,9.85,134.7,157.9,,,,
,2.5,,15.59,9.18,65.8,9.48,131.87,162.6,,,,
,3,,15.43,9.16,65.8,9.64,133.08,164.2,,,,
,4,,14.71,9.3,65.6,9.95,137.2,147,,,,
,5,,12.54,9.14,61.42,8.81,115.2,136.6,,,,
,6,,12.04,8.98,68.22,8.18,104.33,129.7,,,,
,7,,10.94,8.47,56.32,6.7,82.93,125.54,,,,
