Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Buffalo Bill Reservoir  - LPD,,,,,,,,,
,,,,,,,,,
,6/23/2014,0,1034,14.07,7.86,106.1,9,105.5,398
,,0.5,,13.25,7.36,105.6,8.91,103.4,410
,,1,,13.29,7.6,106,8.88,102.9,410
,,1.5,,13.17,7.66,105.8,8.86,102.6,410
,,2,,13.12,7.72,105.8,8.82,101.8,410
,,2.5,,12.99,7.73,106,8.83,101.5,410
,,3,,12.98,7.76,105.9,8.8,101.4,409
,,4,,12.97,7.8,105.5,8.83,101.6,409
,,5,,12.95,7.79,105.9,8.78,100.9,410
,,6,,12.28,7.74,105.3,8.61,98.1,410
,,7,,11.87,7.68,104.6,8.56,95.7,410
,,8,,11.88,7.65,104.8,8.48,95.2,412
,,9,,11.62,7.62,102.8,8.5,94.8,412
,,10,,11.41,7.6,101.8,8.52,94.7,412
,,11,,11.38,7.59,101.4,8.53,94.7,412
,,12,,11.31,7.58,101.3,8.52,94.7,412
,,13,,11.23,7.57,101,8.51,94.2,412
,,14,,11.01,7.56,98.7,8.59,94.4,412
,,15,,10.92,7.55,98.4,8.6,94.5,412
,,20,,10.39,7.49,96,8.64,93.7,413
,,25,,10.2,7.45,94.8,8.62,93.1,415
,,30,,9.89,7.43,93.6,8.62,92.4,414
,,40,,9.09,7.35,95.3,8.41,88.7,416
,,50,,8.61,7.27,101.2,8.21,85.3,418
,,55,,8.53,6.75,102.3,7.53,78.7,165
,,58,,8.41,6.59,151.5,0.7,4.7,152
,,,,,,,,,
,7/29/2014,0,646,17.22,7.57,92.7,8.11,102.1,388
,,0.5,,17.25,7.59,92.7,8.12,102.3,390
,,1,,17.26,7.61,92.1,8.07,101.8,387
,,1.5,,17.26,7.63,92.4,8.1,102,391
,,2,,17.27,7.64,92.5,8.06,101.6,392
,,2.5,,17.14,7.63,92.6,8.07,101.2,393
,,3,,17.09,7.62,93.2,8.03,100.8,394
,,4,,17.01,7.62,93.1,8.01,100.5,395
,,5,,16.9,7.61,92.7,8.02,100.7,396
,,6,,16.93,7.61,92.9,7.99,100.1,396
,,7,,16.89,7.6,93.2,8,100,397
,,8,,16.85,7.57,92.4,8.01,99.8,398
,,9,,16.83,7.57,92.9,7.97,99.5,399
,,10,,16.67,7.55,92.2,7.98,99,399
,,11,,16.03,7.48,90.3,7.9,97.1,401
,,12,,15.34,7.47,87.8,8.01,96.7,402
,,13,,15.17,7.41,87.1,8.02,96.6,403
,,14,,15.04,7.39,86.7,8.03,96.3,404
,,15,,14.91,7.37,87.3,7.97,95.4,405
,,20,,13.72,7.33,85.5,8.06,93.9,408
,,25,,13,7.26,84.3,8.08,92.6,410
,,30,,12.14,7.2,84.3,8.01,90,412
,,40,,11.42,7.15,85.3,7.82,86.4,415
,,50,,11.01,7.07,85.6,7.5,82.4,417
,,60,,10.89,7.03,86.2,7.24,79.4,276
,,,,,,,,,
