Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Buffalo Bill Reservoir  - RPD,,,,,,,,,
,,,,,,,,,
,6/23/2014,0,1140,11.79,7.94,83.8,9.22,103.1,276
,,0.5,,11.24,7.83,80.7,9.28,102.4,282
,,1,,11.14,7.78,81.4,9.26,102.2,285
,,1.5,,10.92,7.75,80.7,9.25,101.9,287
,,2,,11,7.75,80.5,9.29,102,288
,,2.5,,10.77,7.74,79.2,9.31,101.9,289
,,3,,10.72,7.72,79.4,9.28,101.7,290
,,4,,10.54,7.7,78,9.34,101.6,292
,,5,,9.83,7.68,73.9,9.45,101.1,294
,,6,,8.48,7.64,65.1,9.68,99.1,296
,,6.8,,7.36,7.54,61.7,9.85,99.4,298
,,,,,,,,,
,7/29/2014,0,1028,19.17,7.83,90.7,8.18,107.2,381
,,0.5,,19.17,7.84,90.5,8.16,106.9,381
,,1,,18.71,7.78,88.9,8.04,105.1,384
,,1.5,,16.9,7.71,84.1,8.22,102.7,387
,,2,,16.55,7.61,84.2,8.19,101.5,390
,,2.5,,16.46,7.56,84.6,8.12,100.7,391
,,3,,16.23,7.53,85.3,8.08,99.4,392
,,4,,16.88,7.51,82.2,8.13,99.5,393
,,5,,15.61,7.47,84.5,8.06,97.9,394
,,6,,15.33,7.45,84.5,8.08,97.6,395
,,7,,15.22,7.43,84.4,8.05,97.2,396
,,8,,14.86,7.39,80.9,8.06,96.5,396
,,9,,14.61,7.34,89.8,8,95.2,398
,,,,,,,,,
,9/23/2014,0,830,11.7,7.59,117,8.72,98,368
,,0.5,,11.7,7.55,116,8.72,97.9,369
,,1,,11.7,7.54,117,8.73,97.9,369
,,1.5,,11.7,7.52,117,8.7,97.7,367
,,,,,,,,,
,6/8/2015,0,1652,11.45,7.7,95.6,8.52,95.2,202
,,0.5,,11.52,7.68,95.5,8.53,95.4,202
,,1,,11.3,7.69,96,8.53,94.8,203
,,1.5,,11.3,7.72,95.2,8.5,94.5,203
,,2,,11.03,7.77,93.5,8.55,94.5,203
,,2.5,,10.75,7.71,90.5,8.59,94.5,203
,,3,,9.99,7.68,79.8,8.74,94.1,203
,,4,,9.51,7.56,76.3,8.85,94.3,203
,,5,,9.25,7.64,75,8.9,94,203
,,6,,9.09,7.66,73.3,8.91,94,203
,,6.7,,9.05,7.65,72.9,8.88,93.7,203
,,,,,,,,,
,7/27/2015,0,1445,18.03,7.9,113,7.63,99.5,553
,,0.5,,18.02,7.86,113,7.64,99.5,555
,,1,,18,7.87,112,7.64,99.6,554
,,1.5,,17.99,7.88,113,7.63,99.4,554
,,2,,17.99,7.89,112,7.62,99.2,554
,,2.5,,18,7.9,112,7.63,99.4,554
,,3,,17.99,7.9,112,7.62,99.3,554
,,4,,17.98,7.9,112,7.61,99.1,554
,,5,,17.96,7.9,112,7.61,99.1,554
,,6,,17.79,7.91,113,7.63,98.8,555
,,,,,,,,,
,9/28/2015,0,1128,12.72,7.66,90.3,7.48,85.9,510
,,0.5,,12.74,7.67,153,7.47,85.9,513
,,1,,12.32,7.66,155,7.36,84.1,517
,,1.5,,11.68,7.63,156,7.35,82.2,519
