Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
,,,,,,,,
5/29/2018,0,10:30,8.78,7.5,31.7,9.41,106.6,378
,0.5,,8.76,7.42,31.9,9.25,104.9,375
,1,,8.48,7.36,33.8,9.32,104.9,375
,1.5,,8.23,7.16,48.9,8.43,93.6,375
,,,,,,,,
7/17/2018,0,7:55,16.8,7.46,39.2,8.18,109.7,305
,0.5,,16.75,7.47,39.2,8.14,109.1,306
,1,,16.32,7.07,40,7.39,98.1,313
,,,,,,,,
9/11/2018,0,10:52,10.75,6.93,41.6,8.82,104.5,332
,0.5,,10.4,6.66,41.3,8.73,102.7,334
,1,,9.84,6.83,40.9,9.27,107.5,334
,1.5,,9.88,7.42,41.2,10.7,124.6,334
