Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Crompton Reservoir - D,,,,,,,,,,
,6/26/2014,0,1200,18.97,10.14,629.7,11.65,162.5,253,
,,0.5,1202,18.73,10.22,629.3,11.86,163.6,239,
,,1,1203,18.19,10.22,629.2,11.89,163.2,232,
,,1.5,1204,17.94,10.24,630.2,11.87,161.6,225,
,,1.7,1207,17.85,10.25,632,12.16,167.2,206,
,,2,1206,17.55,10.25,626.8,12.33,165.5,217,
,,,,,,,,,,
,8/6/2014,0,1114,20.59,9.83,741.3,7.8,109.4,120,
,,0.5,1116,20.36,9.84,741.6,7.55,107.2,117,
,,1,1118,20.07,9.84,740.1,7.39,104.1,115,
,,1.25,1121,19.95,9.85,739,7.74,109.1,111,
,,1.5,1123,19.8,9.86,737.9,7.96,111.4,110,
,,,,,,,,,,
,,,,,,,,,,
,9/23/2014,0,1052,15.12,10.28,761.7,9.87,124.9,68,
,,0.5,1054,15.07,10.32,762.2,9.99,126.2,66,
,,1,1056,14.84,10.38,763.6,10.51,132.8,64,
,,1.5,1057,14.61,10.36,763.2,10.43,130.4,63,
