Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Crystal Reservoir - D,,,,,,,,,
,,,,,,,,,
,6/25/2015,0,10:27:00,19.67,8.32,147.6,7.74,108.7,112
,,0.5,10:28:00,19.64,8.39,147.4,7.73,108.6,109
,,1,10:30:00,19.65,8.43,147.5,7.72,108.4,106
,,1.5,10:31:00,19.58,8.45,147.6,7.73,108.4,103
,,2,10:33:00,19.42,8.44,147.5,7.74,108.5,101
,,2.5,10:34:00,19.39,8.45,147.5,7.72,107.8,100
,,3,10:36:00,18.68,8.33,147.8,7.69,106.1,102
,,4,10:39:00,16.01,8.02,147.4,7.68,100,111
,,5,10:41:00,15.76,7.93,147.2,7.41,95.5,111
,,6,10:43:00,14.82,7.85,146.1,7.32,92.7,113
,,7,10:44:00,13.81,7.76,145.3,7.15,88.7,115
,,8,10:46:00,12.43,7.73,144.8,7.85,94.7,117
,,9,10:47:00,10.91,7.68,143.2,9.78,113.7,119
,,10,10:49:00,10.38,7.64,142.9,10.68,122.6,118
,,11,10:51:00,10.28,7.6,142.9,11.08,126.4,117
,,12,10:52:00,10.20,7.57,143.1,11.24,128.4,116
,,13,10:53:00,10.12,7.55,143,11.16,126.6,116
,,14,10:54:00,10.03,7.54,143.4,11.07,125.8,116
,,15,10:56:00,9.95,7.51,143.6,10.8,122.3,116
,,17.4,10:58:00,9.66,7.42,145,8.33,93.5,29
,,,,,,,,,
,8/6/2015,0.222,10:08:30,19.08,8.06,156.2,7.16,99.8,136
,,0.551,10:10:13,19.1,8.09,156.1,7.16,99.9,134
,,1.066,10:11:58,19.09,8.1,156.2,7.16,99.8,132
,,1.428,10:13:34,19.1,8.11,156.1,7.16,99.9,130
,,2.083,10:15:03,19.1,8.12,156.1,7.17,99.9,128
,,2.574,10:16:45,19.1,8.13,156.1,7.14,99.6,127
,,3.115,10:17:57,19.09,8.12,156.1,7.14,99.5,126
,,3.925,10:19:14,19.06,8.13,156.1,7.14,99.4,125
,,5.054,10:20:45,19.04,8.14,156.1,7.13,99.2,124
,,6.083,10:21:38,19,8.12,156.1,7.09,98.6,124
,,6.938,10:23:02,17.47,7.92,155.1,5.98,80.6,141
,,8.168,10:25:01,16.68,7.7,154.6,6.02,79.7,145
,,9.221,10:26:31,15.88,7.61,154,6.15,80.1,146
,,10.048,10:27:48,15.41,7.54,153.4,6.82,87.8,147
,,11.187,10:29:32,14.44,7.47,151.9,7.52,94.8,148
,,11.983,10:31:40,13.95,7.39,151.7,9.07,113.1,149
,,12.813,10:33:03,13.65,7.35,151.5,9.44,116.9,148
,,13.95,10:34:18,13.27,7.31,150.5,9.03,110.8,149
,,14.898,10:36:07,12.63,7.24,150.9,9.97,120.7,152
,,15.884,10:37:17,12.29,7.2,150.1,8.84,106.2,152
,,,,,,,,,
,,,,,,,,,
,9/4/2015,0.172,9:29:13,17.20,8,146.4,7.73,103.9,195
,,0.504,9:30:36,17.19,7.98,146.4,7.74,104,194
,,0.99,9:32:08,17.21,7.96,146.4,7.73,104,193
,,1.505,9:33:31,17.20,7.95,146.4,7.74,104,193
,,2.003,9:34:35,17.18,7.96,146.4,7.72,103.7,191
,,2.529,9:35:50,17.20,7.95,146.4,7.71,103.6,191
,,2.971,9:37:00,17.17,7.95,146.4,7.73,103.8,191
,,3.954,9:38:12,17.17,7.95,146.4,7.72,103.7,190
,,5.057,9:39:29,17.17,7.94,146.4,7.72,103.6,190
,,6.047,9:41:00,17.16,7.93,146.5,7.72,103.6,190
,,7.02,9:43:02,17.15,7.92,146.5,7.69,103.2,189
,,8.009,9:44:40,17.15,7.92,146.6,7.69,103.2,189
,,8.995,9:46:38,17.11,7.84,146.8,7.73,103.5,191
,,10.047,9:48:24,17.05,7.8,147.1,7.69,102.9,192
,,11.024,9:50:36,16.84,7.78,147.9,7.7,102.5,195
,,12.12,9:53:44,16.61,7.48,149.6,8.23,109.1,206
,,13.172,9:56:15,16.33,7.33,151,8.57,112.9,213
,,14.185,9:58:43,15.78,7.14,152.6,8.12,105.7,222
,,15.155,10:01:29,15.47,7.03,153.4,8.57,110.8,228
,,16.985,10:04:20,15.17,6.92,154.8,7.12,91.4,126
,,,,,,,,,
