Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Elk Mountain Reservoir - D,,,,,,,,,,
,7/1/2014,0,1012,15.5,9.2,493.1,9.33,121.3,276,
,,0.5,1014,15,9.18,498,9.45,121.8,279,
,,1,1016,14.7,9.15,499.8,9.57,122.4,277,
,,,,,,,,,,
,7/22/2014,0,842,17.8,9.16,432.1,6.34,86.9,258,
,,0.5,843,17.7,9.27,432.1,6.78,92.2,258,
,,1,845,17.2,9.34,430.9,6.96,94,258,
,,,,,,,,,,
,9/9/2014,0,1009,14.9,9.29,969,6.27,81.6,217,
,,0.5,,14.9,9.37,970.1,6.18,80.4,217,
,,1,,14.9,9.39,970.3,5.35,69.5,211,
,,1.2,,14.8,9.39,971.1,5.05,65.4,208,
