Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Fontenelle Reservoir - TPD,,,,,,,,,
,,,,,,,,,
,6/16/2014,0,1625,15.26,7.55,240.2,6.86,88.8,382
,,0.5,,15.27,7.75,240.5,6.86,88.6,382
,,1,,15.22,7.85,241.8,6.82,88.2,380
,,1.5,,15.23,7.89,240.7,6.86,88.7,379
,,2,,15.23,7.9,241,6.83,88.3,378
,,2.5,,15.19,7.92,240.2,6.84,88.3,378
,,3,,15.17,7.87,240.5,6.83,88.3,377
,,4,,15.2,7.92,240.8,6.83,88.3,376
,,5,,15.13,7.88,240.5,6.81,87.9,377
,,6,,15.12,7.83,240.6,6.8,87.8,377
,,7,,14.99,7.84,241.2,6.73,86.8,377
,,8,,14.95,7.82,242.1,6.7,86.1,378
,,9,,14.93,7.82,242.6,6.67,85.7,378
,,10,,14.72,7.81,242.1,6.66,85,378
,,11,,13.39,7.83,221.5,7.24,89.9,378
,,12,,13.3,7.83,220.4,7.27,90.1,378
,,13,,13.27,7.83,220.2,7.28,90.2,378
,,,,,,,,,
,7/22/2014,0,615,19.63,8.13,269.4,7.19,99.2,377
,,0.5,,19.66,8.08,269.1,7.15,98.9,383
,,1,,19.68,8.07,269.1,7.1,98.3,385
,,1.5,,19.67,8.06,269.2,7.12,98.4,387
,,2,,19.67,8.07,269.6,7.11,98.3,387
,,2.5,,19.7,8.08,268.9,7.11,98.4,388
,,3,,19.71,8.1,268.9,7.1,98.2,388
,,4,,19.71,8.09,269,7.07,97.9,389
,,5,,19.7,8.08,269.5,7.09,98,390
,,6,,19.7,8.08,269.3,7.05,97.4,390
,,7,,19.69,8.08,268.8,7.03,97.3,390
,,8,,19.68,8.08,269.5,7.04,97.3,390
,,9,,19.65,8.06,268.8,6.93,95.8,391
,,10,,19.51,8.02,271,6.63,91.3,392
,,11,,19.35,8,270.4,6.53,89.5,392
,,12,,19.11,7.98,270.2,6.39,97.1,393
,,13,,18.72,7.91,271,5.98,80.9,394
,,14,,18.01,7.82,272.1,5.31,70.9,396
,,15,,17.58,7.76,273.2,5.01,66.3,398
,,18,,16.29,7.63,276.6,3.88,50,401
,,,,,,,,,
,9/15/2014,0,1448,17,8.32,301,7.32,95.8,420
,,0.5,,17,8.27,300,7.3,95.7,419
,,1,,16.8,8.32,301,7.29,95.2,418
,,1.5,,16.6,8.34,301,7.28,94.8,417
,,2,,16.3,8.36,300,7.3,94.5,416
,,2.5,,16.2,8.38,300,7.2,92.9,415
,,3,,16.1,8.39,300,7.26,93.3,414
,,4,,16,8.41,300,7.2,92.5,413
,,5,,16,8.4,301,7.17,92.2,412
,,6,,15.9,8.39,302,7.12,91.5,411
,,7,,15.9,8.41,301,7.19,92.2,411
,,8,,15.9,8.39,302,7.23,92.88,410
,,9,,15.9,8.4,301,7.28,93.3,409
,,10,,15.8,8.4,300,7.33,93.8,409
,,11,,15.7,8.41,302,7.38,94.5,408
,,12,,15.6,8.42,305,7.37,93.8,407
,,13,,15.6,8.43,306,7.33,93.3,407
,,14,,15.5,8.42,308,7.31,92.8,407
,,15,,15.4,8.41,310,7.29,92.4,407
,,18,,15.2,8.37,312,7.1,89.5,408
,,,,,,,,,
,6/16/2015,0,845,17.8,8.34,325,7.12,94.9,385
,,0.5,,17.8,8.37,325,7.17,95.3,385
,,1,,17.8,8.39,325,7.15,95.2,385
,,1.5,,17.7,8.4,325,7.12,94.5,386
,,2,,17.7,8.41,324,7.12,94.5,386
,,2.5,,17.7,8.41,323,7.11,94.6,387
,,3,,17.7,8.41,322,7.06,94,387
,,4,,17.7,8.41,322,7.07,93.9,388
