Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Fremont Lake - Intake,,,,,,,,,
,6/10/2019,0,15:29,8.77,7.28,19,9.04,100.9,453
,,0.5,,8.79,7.28,19.2,9.11,101.5,450
,,1,,8.71,7.28,19,9.09,101.1,448
,,1.5,,8.53,7.29,18.9,9.13,101,446
,,2,,8.32,7.32,19.2,9.1,101.2,445
,,2.5,,8.37,7.32,19.1,9.14,100.8,446
,,3,,8.12,7.32,19,9.14,100,446
,,4,,8,7.32,19.1,9.17,100.2,447
,,5,,7.96,7.32,19,9.18,100.3,447
,,6,,7.88,7.34,19,9.21,100.6,446
,,7,,7.78,7.37,19,9.21,100.2,447
,,8,,7.76,7.37,19,9.22,100.4,447
,,9,,7.7,7.36,19,9.21,100.1,448
,,10,,7.47,7.38,18.9,9.28,100.2,449
,,11,,7.12,7.34,18.8,9.29,99.5,451
,,12,,6.73,7.31,18.9,9.35,99.1,453
,,13,,6.64,7.28,18.9,9.3,98.5,455
,,14,,6.11,7.18,19,9.19,96,459
,,15,,5.89,7.14,18.9,9.19,95.4,462
,,20,,4.96,7.04,18.8,9.03,91.6,467
,,25,,4.69,6.91,18.8,8.83,88.7,473
,,30,,4.4,6.84,18.7,8.7,87.1,476
,,40,,4.11,6.74,18.8,8.48,84,480
,,,,,,,,,
,7/16/2019,0,10:49,17.19,7.49,19.4,8.03,109.8,414
,,0.5,,16,7.45,19.5,8.12,108.1,415
,,1,,15.9,7.47,19.6,8.12,108.1,416
,,1.5,,15.84,7.53,19.6,8.12,107.9,415
,,2,,15.81,7.52,19.5,8.15,108.1,416
,,2.5,,15.78,7.52,19.5,8.14,108,417
,,3,,15.75,7.5,19.5,8.13,107.8,419
,,4,,15.74,7.52,19.6,8.12,107.8,418
,,5,,15.72,7.5,19.5,8.16,108,419
,,6,,15.7,7.5,19.5,8.18,108.3,419
,,7,,15.64,7.51,19.5,8.21,108.3,420
,,8,,15.5,7.52,19.5,8.2,108.2,420
,,9,,15.24,7.53,19.4,8.33,109.2,420
,,10,,14.29,7.53,19.1,8.59,110.4,421
,,11,,12.37,7.56,18.5,9.26,113.9,422
,,12,,11.16,7.63,18,9.6,114.8,420
,,13,,9.6,7.59,18.1,9.76,112.1,423
,,14,,8.61,7.54,18.5,9.88,111.4,425
,,15,,7.46,7.48,18.6,9.85,107.6,429
,,20,,4.92,7.26,19.5,9.39,96.4,436
,,25,,4.77,7.1,19.4,9.07,92.5,443
,,30,,4.41,6.93,19.5,8.96,90.4,449
,,38,,4.32,6.3,19.5,8.88,89.6,452
,,,,,,,,,
,9/9/2019,0,18:10,16.91,7.86,18.6,7.12,98.3,395
,,0.5,,16.92,7.74,18.6,7.14,98.9,397
,,1,,16.93,7.70,18.6,7.16,98.8,399
,,1.5,,16.93,7.69,18.7,7.14,98.5,400
,,2,,16.93,7.69,18.6,7.18,99.1,400
,,2.5,,16.93,7.66,18.6,7.14,98.6,401
,,3,,16.92,7.64,18.6,7.16,98.6,403
,,4,,16.92,7.65,18.5,7.15,98.9,404
,,5,,16.92,7.65,18.6,7.14,98.6,405
,,6,,16.89,7.65,18.6,7.16,98.9,404
,,7,,16.69,7.67,18.6,7.22,99.2,405
,,8,,16.06,7.65,18.5,7.64,103.5,405
,,9,,14.51,7.71,18.2,8.56,112.7,405
,,10,,12.66,7.77,18.2,9.08,113.9,406
,,11,,11.04,7.80,18.6,9.34,112.1,405
,,12,,9.46,7.76,18.6,9.48,111.1,407
,,13,,8.44,7.69,18.8,9.50,107.7,410
,,14,,7.68,7.61,18.7,9.49,105.7,413
,,15,,7.09,7.54,18.9,9.33,102.5,416
,,20,,5.18,7.26,19.2,8.59,90.0,426
,,25,,4.66,7.12,19.3,8.32,86.1,430
,,30,,4.44,7.00,19.3,8.12,83.6,434
,,40,,4.34,6.88,19.3,8.01,82.4,437
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
