Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Fremont Lake - LPD,,,,,,,,,
,6/10/2019,0,12:32,9.58,6.97,19.2,9.12,103.8,468
,,0.5,,9.5,7.08,19.2,9.09,103.5,464
,,1,,8.75,7.13,19.2,9.13,101.6,460
,,1.5,,8.53,7.16,19.1,9.15,101.5,459
,,2,,8.42,7.17,19.1,9.2,101.7,458
,,2.5,,8.39,7.2,19.2,9.19,101.4,459
,,3,,8.35,7.2,19.2,9.2,101.6,459
,,4,,8.32,7.22,19.1,9.24,102,459
,,5,,8.21,7.26,19.1,9.3,102.4,458
,,6,,7.6,7.27,19,9.33,101.2,459
,,7,,7.08,7.28,19.1,9.5,101.7,460
,,8,,6.93,7.28,19,9.51,101.4,460
,,9,,6.74,7.29,18.8,9.55,101.4,460
,,10,,6.36,7.29,18.8,9.59,100.7,461
,,11,,6.1,7.26,19,9.55,99.9,463
,,12,,5.88,7.19,18.7,9.44,98,466
,,13,,5.73,7.14,18.8,9.43,97.4,468
,,14,,5.73,7.1,18.9,9.44,97.5,471
,,15,,5.55,7.07,18.8,9.43,97,474
,,20,,5.16,7.01,18.7,9.38,95.5,477
,,25,,4.54,6.82,18.8,8.87,89,488
,,30,,4.21,6.71,18.8,8.6,85.5,494
,,40,,4.06,6.62,18.9,8.5,84.2,499
,,50,,4.01,6.59,18.8,8.44,83.3,501
,,60,,3.93,6.56,18.8,8.37,82.6,502
,,70,,3.88,6.54,18.7,8.29,81.6,503
,,80,,3.85,6.54,18.9,8.26,81.2,504
,,90,,3.81,6.52,19,8.19,80.5,505
,,,,,,,,,
,7/16/2019,0,7:37,15.4,7.63,19.5,8.07,106.2,477
,,0.5,,15.4,7.58,19.5,8.08,106.2,471
,,1,,15.44,7.54,19.5,8.08,106.6,471
,,1.5,,15.45,7.52,19.5,8.09,106.5,469
,,2,,15.45,7.54,19.5,8.07,106.3,467
,,2.5,,15.45,7.54,19.4,8.07,106.3,467
,,3,,15.46,7.53,19.5,8.09,106.6,464
,,4,,15.46,7.5,19.5,8.09,106.6,466
,,5,,15.44,7.48,19.4,8.11,106.7,463
,,6,,14.72,7.53,19.1,8.44,109.5,462
,,7,,13.39,7.6,19,8.93,112.5,459
,,8,,12.65,7.65,18.4,9.16,113.4,458
,,9,,12,7.66,18,9.22,112.4,457
,,10,,10.03,7.61,18.1,9.6,111.9,459
,,11,,9.56,7.6,18,9.68,111.4,461
,,12,,9.26,7.56,18.2,9.75,111.6,461
,,13,,8.63,7.58,18.5,9.91,111.6,460
,,14,,8.28,7.55,18.7,9.95,110.7,462
,,15,,7.77,7.56,18.7,10.01,110,461
,,20,,6.18,7.47,19.2,10.02,106.1,465
,,25,,5.41,7.32,19.3,9.56,99.2,470
,,30,,4.95,7.13,19.4,9.20,94.5,476
,,40,,4.35,7.00,19.3,8.89,89.5,481
,,50,,4.16,6.90,19.5,8.74,87.8,484
,,60,,4.09,6.85,19.4,8.69,87.0,486
,,70,,3.98,6.80,19.4,8.61,86.1,488
,,80,,3.92,6.75,19.4,8.51,84.8,490
,,90,,3.87,6.77,19.4,8.44,84.1,489
,,97,,3.83,6.74,19.6,8.41,83.9,490
,,,,,,,,,
,,,,,,,,,
,9/10/2019,0,8:46,16.50,7.19,18.7,7.66,103.5,579
,,0.5,,16.51,7.30,18.5,7.67,103.7,570
,,1,,16.51,7.34,18.7,7.68,103.8,560
,,1.5,,16.51,7.36,18.7,7.67,103.8,552
,,2,,16.53,7.37,18.5,7.66,103.5,547
,,2.5,,16.53,7.37,18.7,7.68,103.9,542
,,3,,16.52,7.38,18.7,7.68,103.8,538
,,4,,16.51,7.37,18.7,7.66,103.6,532
