Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Fremont Lake - RPD,,,,,,,,,
,6/10/2019,0,14:38,8.56,7.23,18.5,9.05,100.3,481
,,0.5,,8.53,7.16,18.6,9.08,100.7,482
,,1,,8.49,7.13,18.6,9.06,100.5,482
,,1.5,,8.49,7.11,18.6,9.12,100.8,482
,,2,,8.46,7.1,18.6,9.12,101,482
,,2.5,,8.43,7.11,18.6,9.12,100.9,481
,,3,,8.35,7.11,18.6,9.1,100.7,481
,,4,,8.09,7.09,18.5,9.13,100.1,481
,,5,,7.91,7.09,18.4,9.12,99.7,481
,,6,,7.84,7.09,18.2,9.13,99.3,481
,,7,,7.83,7.08,18.3,9.13,99.5,480
,,8,,7.66,7.08,17.9,9.14,99.1,480
,,9,,7.73,7.07,18.1,9.11,99.1,480
,,10,,7.35,7.05,17.8,9.09,98.3,479
,,11,,7.03,7.03,17.5,9.09,97.5,479
,,12,,7.54,7.03,17.6,9.14,98.6,478
,,13,,7.13,7.03,17.5,9.12,97.7,478
,,14,,7.13,7.01,17.7,9.1,97.1,479
,,15,,7.28,7.01,17.8,9.07,97.6,479
,,20,,6.26,6.97,17.8,9.04,94.9,481
,,25,,5.36,6.88,18,8.96,91.5,485
,,30,,4.46,6.76,18.7,8.54,85.5,491
,,40,,4.26,6.3,19,8.36,83.2,328
,,,,,,,,,
,7/16/2019,0,9:16,15.39,7.52,18.8,8.29,108.7,448
,,0.5,,15.14,7.54,18.7,8.29,108.5,443
,,1,,15.12,7.52,18.7,8.29,108.4,445
,,1.5,,15.07,7.54,19,8.32,108.6,444
,,2,,14.75,7.54,18.3,8.48,110,443
,,2.5,,13.86,7.53,16.8,8.6,109.6,444
,,3,,13.84,7.48,16.5,8.51,108.2,444
,,4,,13.2,7.41,15.5,8.48,106.1,447
,,5,,12.99,7.36,15.4,8.46,105.4,448
,,6,,12.58,7.33,15,8.51,105,449
,,7,,11.66,7.3,14.9,8.67,104.9,451
,,8,,10.5,7.28,15.6,9.03,106.2,451
,,9,,10.05,7.26,16.3,9.22,107.3,453
,,10,,9.09,7.27,16.9,9.39,107,453
,,11,,8.63,7.27,17.4,9.53,107.2,453
,,12,,7.65,7.26,18.2,9.65,106,455
