Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Glendo Reservoir - RPD,,,,,,,,,
,6/12/2017,0.0,1258,19.64,7.92,498,6.95,90.9,416
,,0.5,,19.63,7.97,498,6.93,90.8,412
,,1.0,,19.63,8.01,498,6.94,90.7,409
,,1.5,,19.61,8.03,498,6.93,90.6,406
,,2.0,,19.62,8.06,499,6.92,90.7,404
,,2.5,,19.61,8.08,499,6.9,90.2,402
,,3.0,,19.58,8.09,498,6.91,90.4,400
,,4.0,,19.58,8.1,498,6.9,90.1,398
,,5.0,,19.57,8.11,498,6.9,90.2,396
,,6.0,,19.55,8.12,498,6.89,89.9,395
,,7.0,,19.54,8.13,498,6.88,89.8,393
,,8.0,,18.95,8.11,495,6.73,86.7,393
,,9.0,,18.76,8.1,495,6.66,85.5,391
,,,,,,,,,
,7/18/2017,0.0,1430,26.09,8.48,526,7.62,111.1,290
,,0.5,,26,8.45,527,7.55,110.8,341
,,1.0,,25.14,8.46,526,7.18,104,339
,,1.5,,24.33,8.44,526,6.82,97.3,339
,,2.0,,24.01,8.42,527,6.55,92.3,339
,,2.5,,23.94,8.42,529,6.5,91.5,339
,,3.0,,23.85,8.46,528,6.57,92.4,339
,,4.0,,23.74,8.46,525,6.19,86.7,340
,,5.0,,23.44,8.37,526,5.48,76.4,340
,,5.5,,23.19,8.43,521,5.53,76.7,340
,,,,,,,,,
,9/18/2017,0.0,1633,17.46,8.07,631,7.04,88.3,336
,,0.5,,17.46,7.96,631,7.05,88.1,342
,,,,,,,,,
,6/11/2018,0.0,18:32,22.73,7.9,555.9,7.6,106.1,319
,,0.5,,22.76,7.92,556.4,7.6,106.3,317
,,1.0,,22.77,7.94,556,7.59,105.9,316
,,1.5,,22.76,7.95,555.9,7.59,106.1,316
,,2.0,,22.75,7.95,556,7.57,105.7,315
,,2.5,,22.72,7.96,555.9,7.59,105.7,314
,,3.0,,22.71,7.96,555.9,7.57,105.7,314
,,4.0,,22.62,7.95,555,7.51,104,313
,,5.0,,20.53,7.76,554.4,6.63,88.6,315
,,6.0,,20.27,7.71,553.3,6.15,81.8,316
,,7.0,,19.88,7.64,555.3,6.1,80.4,317
,,8.0,,18.65,7.31,562.5,4.33,55.9,322
,,,,,,,,,
,7/23/2018,0.0,15:35,22.9,8.33,494.1,7.47,102.6,304
,,0.5,,23,8.34,494.3,7.49,103.2,303
,,1.0,,22.88,8.34,494.6,7.45,102.5,301
,,1.5,,22.9,8.35,494.5,7.46,102.5,300
,,2.0,,22.82,8.35,493.6,7.44,102.1,299
,,2.5,,22.79,8.35,493.8,7.44,102.1,298
,,3.0,,22.77,8.34,493.2,7.41,101.6,298
,,4.0,,22.37,8.31,493,7.32,99.4,298
,,5.0,,21.26,8.15,490.1,6.89,92.1,299
,,6.0,,20.32,8.04,487.3,6.53,85.5,299
,,,,,,,,,
,9/5/2018,0.0,11:56,18.34,8.13,658.4,5.97,74.5,308
,,0.5,,18.34,8.14,658.7,5.9,73.9,307
,,1.0,,18.29,8.15,658.9,5.86,73.4,306
,,1.5,,18.31,8.16,658.8,5.85,73.2,306
,,2.0,,18.31,8.15,658.8,5.82,72.6,305
,,2.5,,18.28,8.15,658.9,5.64,70.4,305
,,3.0,,18.16,8.13,660.2,5.49,68.4,305
,,4.0,,18.18,8.13,660.2,5.47,68.3,305
