Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Glendo Reservoir - TPD,,,,,,,,,
,6/12/2017,0.0,1333,18.29,8.41,580,7.81,99.4,352
,,0.5,,18.28,8.46,580,7.81,99.6,352
,,1.0,,18.28,8.49,580,7.79,99.1,351
,,1.5,,18.31,8.52,580,7.81,99.4,352
,,2.0,,18.24,8.54,581,7.79,99.2,352
,,2.5,,18.27,8.55,580,7.8,99.3,352
,,3.0,,18.27,8.56,580,7.77,99.1,352
,,4.0,,18.24,8.57,580,7.76,98.7,353
,,5.0,,18.29,8.57,580,7.79,98.9,353
,,6.0,,18.13,8.57,581,7.78,98.7,354
,,7.0,,18.11,8.57,581,7.75,98.2,354
,,8.0,,18.11,8.58,581,7.77,98.6,355
,,9.0,,18.09,8.58,581,7.78,98.4,355
,,10.0,,18.06,8.58,581,7.72,97.9,356
,,11.0,,17.95,8.57,581,7.69,97.2,357
,,12.0,,15.3,8.37,596,7.29,92.6,357
,,13.0,,14.9,8.34,588,6.87,81.5,360
,,14.0,,14.38,8.33,591,6.82,80.2,361
,,15.0,,14.07,8.31,585,6.77,78.4,363
,,20.0,,13.22,8.24,585,6.19,70.6,366
,,23.0,,12.49,8.02,600,4.5,49.1,368
,,,,,,,,,
,7/18/2017,0.0,1350,25.38,8.46,559,8.12,117.4,349
,,0.5,,24.78,8.55,558,8.25,117.9,348
,,1.0,,24.02,8.58,557,8.41,118.5,347
,,1.5,,23.67,8.59,558,8.41,117.7,347
,,2.0,,23.76,8.63,557,8.43,118.4,347
,,2.5,,23.61,8.63,557,8.21,114.6,348
,,3.0,,23.54,8.63,556,8,111.8,348
,,4.0,,23.47,8.61,556,7.69,107.3,348
,,5.0,,23.09,8.43,550,6.57,91.6,350
,,6.0,,22.8,8.52,559,6.75,93,350
,,7.0,,22.73,8.52,559,6.69,91.9,350
,,8.0,,22.65,8.5,560,6.53,89.8,350
,,9.0,,22.41,8.43,559,6.01,82,351
,,10.0,,22.15,8.33,563,5.42,73.1,352
,,11.0,,21.4,8.19,562,4.63,62.1,353
,,12.0,,20.98,8.11,562,4.13,55,354
,,13.0,,20.76,8.11,563,4.21,55.7,354
,,14.0,,20.56,8.04,557,3.81,50.2,354
,,15.0,,20.1,7.95,555,3.3,43,355
,,20.0,,18.92,7.85,557,2.58,32.7,356
,,21.0,,18.47,7.69,558,0.59,7.3,356
,,,,,,,,,
,9/18/2017,0.0,1600,19.19,8.07,577,7.41,96,404
,,0.5,,19.18,8.08,577,7.37,95.5,401
,,1.0,,19.18,8.1,577,7.39,95.5,399
,,1.5,,19.17,8.12,578,7.39,95.3,398
,,2.0,,19.18,8.13,577,7.37,95.3,397
,,2.5,,19.17,8.13,577,7.32,94.5,397
,,3.0,,19.15,8.13,577,7.24,93.6,396
,,4.0,,19.14,8.13,577,7.18,92.9,395
,,5.0,,19.14,8.14,577,7.21,93.2,395
,,6.0,,19.02,8.09,580,6.94,88.8,394
,,,,,,,,,
,6/11/2018,0.0,19:05,20.6,7.88,616.2,7.87,105.1,320
,,0.5,,20.59,7.89,617.2,7.84,105,318
,,1.0,,20.6,7.91,617.5,7.85,105.1,317
,,1.5,,20.58,7.92,617,7.82,104.7,317
,,2.0,,20.57,7.94,616,7.85,104.8,316
,,2.5,,20.47,7.93,621.8,7.77,103.6,316
,,3.0,,20.45,7.93,622.8,7.74,103,316
,,4.0,,19.26,7.86,627.6,7.18,93.8,317
,,5.0,,19.16,7.84,638.8,7,91.1,317
,,6.0,,19.15,7.85,638.4,7.02,91.1,317
,,7.0,,19.15,7.86,638,7.04,91.6,317
,,8.0,,19.15,7.86,638,7.06,91.9,317
,,9.0,,19.13,7.85,638.5,7.06,91.6,317
,,10.0,,18.47,7.82,643.4,6.78,87.4,317
,,11.0,,18.3,7.75,644.2,6.32,80.8,318
,,12.0,,18.03,7.72,645.2,6.18,78.7,319
,,13.0,,15.36,7.44,663.5,4.77,57.3,322
,,14.0,,15.26,7.4,664,4.58,54.6,322
,,15.0,,13.84,7.3,674.7,4.22,49.1,324
,,20.0,,10.04,6.98,714.2,3.11,33.2,327
,,22.0,,9.79,6.94,716.1,2.8,29.6,327
,,,,,,,,,
,7/23/2018,0.0,15:00,23.41,8.31,553.3,7.74,100.9,294
,,0.5,,23.46,8.26,553.1,7.25,101.1,291
,,1.0,,23.56,8.27,552.5,7.24,100.9,290
,,1.5,,23.57,8.28,552.7,7.27,101.4,288
,,2.0,,23.55,8.28,552.2,7.23,101,286
,,2.5,,23.55,8.29,552.4,7.22,100.5,285
,,3.0,,23.55,8.29,552,7.23,100.6,285
,,4.0,,23.52,8.28,551.4,7.14,99.6,284
,,5.0,,23.54,8.29,551.4,7.2,100.2,283
,,6.0,,23.49,8.28,551.8,7.11,98.9,283
,,7.0,,23.45,8.27,552,7.07,98.3,283
,,8.0,,23.43,8.28,552.4,7.05,98,283
,,9.0,,23.39,8.27,553.6,6.98,97,282
,,10.0,,23.3,8.25,553.6,6.87,95.3,283
,,11.0,,23.13,8.22,558,6.7,92.5,283
,,12.0,,22.94,8.17,562.9,6.35,87.3,284
,,13.0,,22.52,8,563.8,4.97,68.1,286
,,14.0,,22.21,7.89,567.9,4.12,56,287
,,15.0,,22.02,7.79,555.9,3.43,46.4,288
,,19.0,,20.53,7.47,570,0.9,12.5,290
,,,,,,,,,
,9/5/2018,0.0,11:23,19.81,8.25,551.5,6.82,87.9,306
,,0.5,,19.83,8.27,551.1,6.8,87.6,303
,,1.0,,19.82,8.27,551,6.81,88,303
,,1.5,,19.82,8.27,551.5,6.84,88.2,302
,,2.0,,19.82,8.27,551.4,6.79,87.8,302
,,2.5,,19.82,8.27,551.1,6.79,87.6,302
,,3.0,,19.83,8.28,551.3,6.83,88.1,301
,,4.0,,19.83,8.28,551,6.82,87.9,301
,,5.0,,19.83,8.28,551.1,6.82,88,301
,,6.0,,19.82,8.28,551.1,6.77,87.3,301
,,7.0,,19.68,8.22,549.5,6.27,80.6,301
,,8.0,,19.64,8.18,550.6,5.97,76.6,302
,,9.0,,19.64,8.16,550.9,5.84,75,302
,,10.0,,19.63,8.14,551.3,5.73,73.5,301
