Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Graham Reservoir #1 - D,,,,,,,,,,
,6/26/2013,0,852,14.99,9.44,95.94,8.17,109.8,,
,,0.5,854,14.98,9.48,95.93,8.16,110.1,,
,,1,855,14.98,9.5,95.91,8.17,110.1,,
,,1.5,856,14.96,9.5,95.88,8.17,110.1,,
,,2,858,14.96,9.5,95.87,8.18,110,,
,,2.5,859,14.95,9.51,95.86,8.16,109.7,,
,,3,900,14.95,9.53,95.86,8.16,110,,
,,4,902,14.88,9.51,95.72,8.13,109.2,,
,,5,903,14.47,9.55,95.42,8.38,111.5,,
,,5.2,905,14.45,9.55,95.46,8.34,110.5,,
,,,,,,,,,,
,7/31/2013,0,747,15.83,9.73,103.1,8.36,113.6,137,
,,0.5,748,15.84,9.77,103.1,8.34,113.4,133,
,,1,749,15.85,9.75,103.1,8.33,113.5,130,
,,1.5,750,15.83,9.77,103,8.32,112.9,127,
,,2,752,15.78,9.75,102.9,8.27,112.1,123,
,,2.2,753,15.79,9.76,102.8,8.2,111.1,120,
,,,,,,,,,,
,9/11/2013,0,1015,13.25,9.8,140.7,9.75,125.5,100,
,,0.5,1017,13.26,9.91,140.6,9.83,126.9,92,
,,,,,,,,,,
,6/25/2014,0,1021,14.03,8.34,72.21,8.05,106.2,174,
,,0.5,1022,13.8,8.42,72.07,8.06,106.3,172,
,,1,1024,13.73,8.46,72.04,8.08,106.2,172,
,,1.5,1025,13.66,8.5,72.02,8.08,106.3,171,
,,2,1027,13.53,8.52,72.04,8.09,105.5,171,
,,2.5,1028,13.51,8.53,72.07,8.05,105.2,171,
,,3,1030,13.2,8.58,71.92,8.31,107.8,168,
,,4,1032,13.01,8.6,71.87,8.32,107.7,169,
,,5,1033,12.83,8.57,71.81,8.24,105.9,170,
,,,,,,,,,,
,8/5/2014,0,1638,17.75,8.7,79.72,7.11,101.6,211,
,,0.5,1640,17.75,8.71,79.75,7.11,101.6,209,
,,1,1641,17.73,8.71,79.71,7.11,101.4,208,
,,1.5,1642,17.69,8.72,79.75,7.07,101.2,207,
,,2,1643,17.62,8.72,79.72,7.07,100.9,206,
,,2.5,1644,17.01,8.74,79.59,7.08,100,206,
,,3,1645,16.84,8.71,79.51,6.99,98.1,206,
,,3.2,1646,16.81,8.7,79.58,6.96,97.8,206,
,,,,,,,,,,
,,,,,,,,,,
,9/23/2014,0,1349,13.93,9.35,74.95,8.46,111,165,
,,0.5,1351,13.9,9.38,74.87,8.47,110.9,165,
,,1,1353,13.76,9.39,74.8,8.48,110.4,167,
,,1.5,1355,13.36,9.4,74.6,8.44,109,170,
,,2,1357,13.18,9.41,74.53,8.49,109.1,171,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
