Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Greyrocks Reservoir - RTPD,,,,,,,,,
,,,,,,,,,
,6/24/2015,0,12:56:00,21.72,8.04,658.9,6.17,82.8,162
,,0.5,12:58:00,21.72,8.04,658.8,6.17,82.6,159
,,1,12:59:00,21.72,8.05,656.4,6.18,82.8,159
,,1.5,13:01:00,21.71,8.05,658.6,6.17,82.8,152
,,2,13:02:00,21.65,8.05,657.9,6.19,82.8,148
,,2.5,13:03:00,21.7,8.05,658.1,6.2,83,146
,,3,13:04:00,20.86,8.04,658,6.17,82.9,145
,,,,,,,,,
,8/5/2015,0.216,10:35:51,18.97,8.21,758.2,7.17,91,60
,,0.529,10:37:42,18.99,8.22,758.4,7.18,91,58
,,1.078,10:39:54,19.05,8.22,758.6,7.18,91.2,57
,,1.551,10:42:27,18.99,8.23,758.6,7.18,91,56
,,2.038,10:44:23,19.04,8.23,758.6,7.16,91,56
,,2.501,10:45:48,19.05,8.23,758.4,7.15,90.7,55
,,,,,,,,,
,,,,,,,,,
,9/3/2015,0.342,10:59:40,21.72,7.91,809.9,4.92,66.3,123
,,,,,,,,,
,6/21/2018,0,9:30:00,20.00,8.39,648.7,7.54,97.4,322
,,0.5,,19.80,8.39,647.6,7.51,96.6,320
,,1,,19.70,8.41,647.2,7.49,96.2,320
,,1.5,,19.70,8.42,647.2,7.50,96.0,321
,,2,,19.60,8.42,647.7,7.49,95.8,322
,,2.5,,19.60,8.42,647.4,7.42,95.2,324
,,3,,19.60,8.42,647.7,7.38,94.4,325
,,4,,19.55,8.41,647.4,7.25,92.9,327
,,5,,19.50,8.41,648.1,7.17,91.8,327
,,6,,19.50,8.40,647.9,7.15,91.3,328
,,7,,19.25,8.34,647.8,6.29,79.6,329
,,8,,17.70,7.99,652.8,2.26,32.6,331
,,9,,15.90,7.75,656.3,0.25,3.1,332
,,9.8,9:47:00,15.02,7.68,657.0,0.20,2.4,31
,,,,,,,,,
,8/7/2018,0,9:47:00,25.1,8.30,641.8,7.72,110.2,264
,,0.5,,24.1,8.31,638.8,7.83,110.1,264
,,1,,23.1,8.32,636.6,8.02,110.3,265
,,1.5,,23.0,8.32,636.8,8.01,110.1,265
,,2,,22.8,8.32,636.5,8.02,109.6,265
,,2.5,,22.8,8.32,636.1,8.02,109.6,265
,,3,,22.7,8.32,636.0,8.02,109.2,266
,,4,,22.6,8.30,636.6,7.77,105.7,267
,,5,,22.5,8.27,637.8,7.39,100.2,267
,,6,,22.4,8.24,639.8,6.94,94.0,268
,,7,,22.2,8.09,648.6,5.38,72.7,270
,,8,,22.0,7.98,649.8,4.06,54.6,271
,,9,,21.6,7.80,648.2,0.86,10.9,272
,,9.8,bottom,21.1,7.69,648.8,0.08,1.0,10
,,,,,,,,,
,9/5/2018,0,8:45:00,19.8,8.12,658.2,7.04,89.8,292
,,0.5,,19.8,8.15,659.4,7.01,89.4,293
,,1,,19.9,8.18,658.8,7.02,89.6,293
,,1.5,,19.9,8.2,658.8,6.99,89.2,294
,,2,,19.9,8.22,658.7,7,89.5,294
,,2.5,,19.9,8.22,659.5,6.99,89.2,295
,,3,,19.9,8.26,658.6,6.96,88.8,295
,,4,,19.9,8.24,658.6,6.96,88.9,296
,,5,,19.9,8.26,659.3,6.98,89.2,296
,,6,,19.9,8.26,659,6.97,88.9,297
,,7,,19.9,8.26,658.6,6.96,88.8,297
,,8,,19.9,8.26,658.3,6.94,88.8,297
,,9,8:56:00,19.8,8.25,659.1,6.85,87.6,297
