Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Guernsey - RPD,,,,,,,,,
,6/11/2018,0,15:34,14.63,6.9,705.2,7.71,89.8,324
,,0.5,,14.54,6.96,704.7,7.65,89.1,320
,,1,,14.43,7.04,704.1,7.66,89,318
,,1.5,,14.38,7.11,703.4,7.68,88.8,318
,,2,,14.21,7.13,702.8,7.67,88.4,317
,,2.5,,14.16,7.17,701.8,7.68,88.6,317
,,,,,,,,,
,9/5/2018,0,15:08,18.85,8.02,552.9,7.39,92.7,327
,,0.5,,18.82,8,553.1,7.21,90.4,316
,,1,,18.81,8.02,553.2,7.18,90.1,306
,,1.5,,18.8,8.03,553.3,7.17,89.9,300
,,2,,18.8,8.03,553.1,7.23,90.7,301
,,2.5,,18.79,8.04,553.1,7.19,90.2,300
