Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Guernsey - TPD,,,,,,,,,
,6/11/2018,0,15:04,23.96,7.63,710.1,7.12,100.1,316
,,0.5,,22.81,7.65,708,7.16,98.9,314
,,1,,22.14,7.63,704.6,7.02,95.5,313
,,1.5,,21.68,7.65,705.5,7.05,95.2,312
,,2,,21.52,7.66,705.5,7.02,94.1,312
,,2.5,,21.23,7.64,704.5,7.02,93.9,312
,,3,,20.84,7.63,705.2,7.12,94.5,312
,,4,,20.55,7.59,704.7,6.84,90.4,312
,,5,,20.07,7.58,706.2,6.89,89.9,312
,,,,,,,,,
,9/5/2018,0,14:27,19.47,8.13,552.9,8.33,105.9,326
,,0.5,,19.45,8.21,553.6,8.32,105.8,324
,,1,,19.43,8.24,552.9,8.28,105.2,320
,,1.5,,19.39,8.23,553,8.15,103.4,320
,,2,,19.38,8.24,553.3,8.14,103.3,320
,,2.5,,19.37,8.24,553.2,8.11,102.9,319
,,3,,19.37,8.25,553.2,8.13,103.1,319
,,4,,19.35,8.24,553.1,8.09,102.6,319
,,5,,19.34,8.23,553,7.7,97.6,319
,,6,,19.29,8.18,553.8,7.6,96.3,319
,,7,,19.21,8.1,555.2,6.95,87.9,320
