Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Half Moon Lake- RTPD,,,,,,,,,
,6/10/2019,0,18:05,8.36,7.05,19.3,8.76,96.6,441
,,0.5,,8.35,7.03,19.3,8.75,96.6,441
,,1,,8.33,7.06,19.6,8.75,96.9,440
,,1.5,,8.33,7.05,19.3,8.78,97,440
,,2,,8.34,7.04,19.5,8.76,96.7,441
,,2.5,,8.34,7.06,19.5,8.77,96.8,441
,,3,,8.33,7.05,19.6,8.74,96.5,442
,,4,,8.29,7.06,19.5,8.79,96.9,442
,,5,,8.3,7.05,19.2,8.76,96.8,442
,,6,,8.24,7.05,19.4,8.75,96.5,443
,,7,,8.29,7.05,19.1,8.74,96.5,444
,,8,,8.21,7.03,19.1,8.74,96.6,444
,,9,,7.71,7.01,18.5,8.69,94.7,445
,,10,,7.64,6.99,18.8,8.72,94.5,446
,,11,18:20,6.86,6.93,18.8,8.68,92.3,450
,,12,,6.66,6.91,18.9,8.66,91.8,451
,,13,,5.45,6.83,19.7,8.24,85.5,455
,,14,,5.51,6.79,19.7,8.12,84.8,455
,,15,,5.35,6.78,19.9,8.27,84.5,459
,,20,,4.85,6.71,20.1,8.01,81,462
,,25,,4.69,6.67,20.3,8,80.4,464
,,30,,4.63,6.67,20.3,7.96,79.9,465
,,40,,4.46,6.64,20.3,7.87,78.8,467
,,,,,,,,,
,7/15/2019,0,17:57,17.42,7.3,16.8,7.93,109.5,425
,,0.5,,17.34,7.36,16.7,7.95,109.6,421
,,1,,17.31,7.39,16.7,7.98,109.7,419
,,1.5,,17.25,7.41,16.8,7.98,109.5,417
,,2,,17.23,7.43,16.8,8.02,109.9,416
,,2.5,,17.03,7.43,16.7,8.02,109.7,415
,,3,,16.35,7.48,17.2,8.18,110.5,413
,,4,,15.08,7.44,16.7,8.35,109.3,417
,,5,,13.93,7.31,16.7,8.31,106,420
,,6,,12.62,7.21,17.2,8.48,104.9,424
,,7,,11.6,7.09,18.2,8.61,104.7,429
,,8,,10.72,7.05,18.5,8.66,102.1,432
,,9,,9.45,6.95,18.9,8.57,98.8,435
,,10,,8.84,6.9,19.3,8.59,87.5,437
,,11,,8.23,6.79,19.3,8.5,94.5,441
,,12,,7.9,6.77,19.8,8.42,93.4,442
,,13,,7.7,6.72,19.7,8.38,92.4,444
,,14,,7.41,6.67,19.9,8.33,91.3,446
,,15,,7.14,6.64,19.9,8.32,90.4,449
,,20,,5.7,6.56,20.5,8.15,85.3,451
,,25,,5.37,6.51,20.5,8.01,83.3,454
,,30,,5.17,6.49,20.4,7.99,82.7,454
,,40,,5.03,6.45,20.6,7.99,82.4,455
,,,,,,,,,
,9/26/2019,0,10:42,13.79,7.40,18.2,7.67,98.0,374
,,0.5,,13.81,7.40,18.3,7.66,98.0,368
,,1,,13.80,7.40,18.2,7.67,98.0,367
,,1.5,,13.77,7.40,18.3,7.67,98.1,366
,,2,,13.79,7.38,18.3,7.66,98.1,365
,,2.5,,13.73,7.36,18.3,7.68,98.0,366
,,3,,13.73,7.37,18.2,7.66,97.7,365
,,4,,13.71,7.34,18.3,7.69,98.1,366
,,5,,13.70,7.36,18.2,7.67,97.9,366
,,6,,13.70,7.37,18.2,7.68,97.9,368
,,7,,13.69,7.35,18.2,7.68,97.7,368
,,8,,13.68,7.37,18.2,7.65,97.6,368
,,9,,13.63,7.31,18.0,7.61,96.8,370
,,10,,12.95,7.24,18.5,7.65,92.6,377
,,11,10:53,9.47,7.05,19.7,7.64,87.7,386
,,12,,8.34,6.88,19.8,7.55,85.0,392
,,13,,7.59,6.75,20.1,7.37,81.5,399
,,14,,7.44,6.71,20.2,7.28,80.6,401
,,15,,6.82,6.65,20.3,7.33,79.1,405
,,20,,6.06,6.59,20.5,7.34,77.4,410
,,25,,5.60,6.57,20.6,7.35,77.1,411
,,30,,5.40,6.57,20.6,7.32,76.5,412
,,40,,5.30,6.55,20.6,7.32,76.1,415
,,43,,5.25,6.56,20.8,7.29,75.8,415
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
