Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Hanna Water Supply - D,,,,,,,,,
,6/16/2017,0,1725,10.17,8.12,267.5,8.63,101,358
,,0.5,,10.15,8.11,267.9,8.64,101.1,359
,,1,,10.18,8.18,267.6,8.55,100.1,359
,8/2/2017,,,,,,,,
,,0,1508,15,8.23,427,8.32,108.7,317
,,0.5,,14.9,7.83,428.2,8.37,108.7,319
,,1,1511,14.8,8.21,428.4,8.53,110.8,318
,9/18/2017,,,,,,,,
,,0,1636,11.3,8.27,431.4,8.6,103.9,344
,,0.5,,11.2,8.22,431.8,8.52,102.7,344
,,0.9,1639,11.2,8.25,431.4,8.5,102.4,344
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
