Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Hansen Reservoir - D,,,,,,,,,
,6/13/2013,0,836,17.16,8.38,6228,9,122.1,387
,,0.5,838,17.17,8.29,6229,9.13,122.5,383
,,1,839,17.21,8.48,6227,9.23,124.2,380
,,1.5,840,17.16,8.45,6229,9.14,122.8,379
,,2,842,17.17,8.49,6229,9.13,122.6,379
,,2.5,843,17.17,8.49,6229,9.1,122.1,377
,,3,845,17.17,8.5,6229,9.1,122.1,377
,,,,,,,,,
,7/24/2013,0,850,19.9,8.78,7468,7.55,108.4,301
,,0.5,851,19.9,8.85,7470,7.55,108.3,301
,,1,853,19.9,8.93,7470,7.52,107.8,300
,,1.5,854,19.9,8.98,7473,7.65,109.7,299
,,2,855,19.85,9,7476,7.22,103.5,292
,,2.5,856,19.75,9.02,7477,5.79,83.1,238
,,3,857,19.7,9.04,7478,5.97,85.5,205
,,,,,,,,,
,9/17/2013,0,1532,16.1,8.89,8447,7.01,94,290
,,0.5,1577,16.1,8.73,8447,6.97,93.4,292
,,1,1534,16.1,8.9,8447,6.93,93,291
,,1.5,1535,16.1,8.9,8448,6.85,91.9,291
,,2,1536,16.1,8.94,8446,6.82,91.5,291
,,2.5,1538,15.3,8.94,8424,5.65,74.5,291
