Site Name,Hog Park Reservoir-RTPD,,,,Date,6/30/2022,
Date Time,Depth (m),Temp (°C),pH (SU),Spc. Cond. (µS/cm),RDO (mg/L),RDO (%Sat),ORP (mV)
11:05:12 AM,10.119872,7.518127,6.474458,17.41489,7.91641,89.15461,124.505
11:05:14 AM,10.130168,7.511689,6.467246,17.42016,7.916748,89.14392,124.9489
11:05:16 AM,10.18401,7.484195,6.456745,17.52621,7.91193,89.04378,125.919
11:05:18 AM,10.192366,7.479902,6.454315,17.5364,7.911724,89.0332,126.1044
11:05:20 AM,10.142918,7.489538,6.409011,17.63384,7.908218,88.96408,128.5462
11:05:22 AM,9.71649,7.462706,6.398988,17.478,7.900519,88.85094,129.5497
11:05:24 AM,9.676758,7.460599,6.396692,17.46689,7.899733,88.83879,129.7147
11:05:26 AM,9.142809,7.468132,6.39385,17.58652,7.911327,88.98447,130.206
11:05:28 AM,9.081178,7.467879,6.393363,17.59159,7.912101,88.99371,130.2777
11:05:30 AM,8.662135,7.641169,6.359525,17.44375,7.913299,89.39383,130.6177
11:05:32 AM,8.607786,7.656624,6.356484,17.43515,7.913813,89.434,130.6627
11:05:34 AM,8.436082,7.788594,6.330953,17.43331,7.914162,89.73043,131.3718
11:05:36 AM,8.406997,7.805936,6.327586,17.4279,7.914227,89.76968,131.4442
11:05:38 AM,8.101202,8.01088,6.318419,17.44578,7.951248,90.65483,132.2697
11:05:40 AM,8.069645,8.032471,6.316759,17.44719,7.954321,90.73845,132.3629
11:05:42 AM,7.631933,8.142611,6.302751,17.49874,7.989662,91.57687,132.9818
11:05:44 AM,7.184352,8.325017,6.289783,17.6257,8.018325,92.1484,133.4215
11:05:46 AM,7.1312,8.344451,6.288191,17.6387,8.021907,92.22375,133.4787
11:05:48 AM,6.676429,8.920417,6.284563,17.76008,8.088774,94.30584,133.1878
11:05:50 AM,6.622266,8.977242,6.283844,17.77499,8.095561,94.5071,133.1749
11:05:52 AM,6.248508,9.513404,6.289135,17.94659,8.111032,95.92351,132.6168
11:05:54 AM,6.201,9.579893,6.289506,17.96562,8.114597,96.11783,132.5567
11:05:56 AM,6.03434,10.0906,6.266848,18.09482,8.18987,98.20422,132.7784
11:05:58 AM,6.007336,10.15298,6.26507,18.11189,8.196865,98.43233,132.7785
11:06:00 AM,5.710361,10.39438,6.258372,18.05856,8.209888,99.46555,132.6983
11:06:02 AM,5.678856,10.43314,6.257005,18.05851,8.21365,99.62782,132.699
11:06:04 AM,5.42813,10.60758,6.248481,18.02627,8.277723,100.5847,133.1487
11:06:06 AM,5.194006,10.70462,6.243487,18.20572,8.316668,101.207,133.5541
11:06:08 AM,5.165438,10.7189,6.242763,18.22073,8.322208,101.2932,133.6047
11:06:10 AM,4.907272,10.9663,6.23927,18.28827,8.359206,102.3299,133.5936
11:06:12 AM,4.87702,10.9912,6.238811,18.30028,8.363675,102.4409,133.6053
11:06:14 AM,4.716017,11.33225,6.22422,17.85542,8.391818,103.6106,133.8519
11:06:16 AM,4.69327,11.37078,6.222818,17.81812,8.395517,103.7488,133.8726
11:06:18 AM,4.427082,11.62623,6.219425,17.86827,8.423477,104.7205,133.5277
11:06:20 AM,4.101579,11.74697,6.20533,17.90398,8.518552,106.5807,133.8219
11:06:22 AM,4.06332,11.76547,6.20395,17.90995,8.528195,106.7814,133.8378
11:06:24 AM,3.71614,12.42866,6.195024,18.57757,8.715904,110.4272,133.6989
11:06:26 AM,3.673744,12.49342,6.193735,18.64083,8.736459,110.8253,133.6969
11:06:28 AM,3.266158,14.08357,6.184256,18.49121,8.645874,113.6664,132.9587
11:06:30 AM,3.21734,14.25204,6.183104,18.50135,8.644107,114.0516,132.8858
11:06:32 AM,3.001356,15.04781,6.17486,18.28687,8.415554,113.0085,132.8013
11:06:34 AM,2.967412,15.17636,6.173785,18.26208,8.391893,113.0187,132.7668
11:06:36 AM,2.512249,15.29149,6.163907,18.13338,8.251932,111.5915,133.7041
11:06:38 AM,2.055024,15.47466,6.165622,18.07965,8.174691,110.841,132.6586
11:06:40 AM,1.998007,15.49561,6.165475,18.0707,8.163281,110.7294,132.59
11:06:42 AM,1.578361,15.6097,6.15122,18.48337,8.099403,110.1217,132.7712
11:06:44 AM,1.5251928,15.62606,6.150026,18.5188,8.091232,110.0432,132.7477
11:06:46 AM,1.2890936,15.83545,6.13562,18.49207,8.076013,110.3396,133.3579
11:06:48 AM,1.2535261,15.85806,6.133832,18.50419,8.07245,110.3451,133.4194
11:06:50 AM,0.835445882,15.97853,6.130614,18.66977,8.007476,109.9419,133.5921
11:06:52 AM,0.3949051,16.14957,6.117136,18.30014,7.982999,109.8026,134.1246
11:06:54 AM,0.3409336,16.16898,6.115799,18.27148,7.978652,109.776,134.1786
11:06:56 AM,0.1323679,16.36568,6.115571,18.40862,7.940088,109.7265,133.7932
11:06:58 AM,0.099147,16.38913,6.115092,18.40777,7.935894,109.7181,133.7762
,,,,,,,
,,,,,,,
Site Name,Hog Park Reservoir,,,,Date,7/20/2022,
Date Time,Depth (m),Temp (°C),pH (SU),Spc. Cond. (µS/cm),RDO (mg/L),RDO (%Sat),ORP (mV)
11:02:59 AM,18.74669,6.351773,6.334378,20.5608,5.8797,64.23781,166.1602
11:03:01 AM,18.74665,6.362804,6.334724,20.58481,5.869835,64.14884,166.0998
11:03:03 AM,18.7466,6.373834,6.335071,20.60881,5.859971,64.05988,166.0395
11:03:05 AM,18.74655,6.384865,6.335417,20.63281,5.850106,63.97091,165.9792
11:03:07 AM,18.19658,6.583546,6.363477,20.4523,5.684268,62.46329,165.0557
11:03:09 AM,18.17411,6.595746,6.364796,20.45397,5.67421,62.37276,164.9987
11:03:11 AM,18.15164,6.607946,6.366115,20.45565,5.664152,62.28222,164.9416
11:03:13 AM,18.12917,6.620146,6.367434,20.45733,5.654093,62.19168,164.8846
11:03:15 AM,17.2447,6.166799,6.323821,20.33593,5.750125,62.52659,165.9036
11:03:17 AM,17.19891,6.151608,6.322504,20.32811,5.751157,62.51379,165.9292
11:03:19 AM,17.15311,6.136418,6.321186,20.32029,5.752189,62.501,165.9549
11:03:21 AM,17.10731,6.121227,6.319869,20.31248,5.753221,62.4882,165.9805
11:03:23 AM,16.18888,6.158057,6.316799,20.00257,5.818733,63.2566,166.1941
11:03:25 AM,16.13549,6.151861,6.315928,19.98772,5.823024,63.29351,166.2201
11:03:27 AM,16.08211,6.145666,6.315058,19.97288,5.827316,63.33041,166.246
11:03:29 AM,16.02872,6.139471,6.314188,19.95803,5.831608,63.36732,166.272
11:03:31 AM,15.0548,6.168544,6.291177,19.87254,5.913209,64.30298,167.7997
11:03:33 AM,14.99784,6.170278,6.290154,19.86352,5.917752,64.35518,167.8672
11:03:35 AM,14.94087,6.172011,6.289132,19.85449,5.922296,64.40739,167.9348
11:03:37 AM,14.88391,6.173745,6.288109,19.84547,5.926839,64.45959,168.0024
11:03:39 AM,14.04662,6.178182,6.261818,19.85451,6.031646,65.60474,169.3516
11:03:41 AM,13.99411,6.178801,6.260313,19.8532,6.037477,65.66909,169.4348
11:03:43 AM,13.9416,6.17942,6.258807,19.85188,6.043307,65.73345,169.5179
11:03:45 AM,13.88908,6.18004,6.257301,19.85057,6.049138,65.79781,169.6011
11:03:47 AM,13.04219,6.260366,6.241764,19.75496,6.11162,66.6116,170.3285
11:03:49 AM,12.99188,6.263758,6.240649,19.75107,6.116096,66.6659,170.3832
11:03:51 AM,12.94157,6.26715,6.239533,19.74718,6.120572,66.72021,170.4378
11:03:53 AM,12.89126,6.270542,6.238418,19.74328,6.125048,66.77451,170.4924
11:03:55 AM,12.06884,6.36642,6.235268,19.92767,6.135278,67.05508,171.1505
11:03:57 AM,12.01943,6.371771,6.234844,19.93358,6.136877,67.08179,171.1915
11:03:59 AM,11.97001,6.377122,6.23442,19.9395,6.138476,67.1085,171.2326
11:04:01 AM,11.9206,6.382473,6.233997,19.94542,6.140076,67.13521,171.2737
11:04:03 AM,11.13868,6.462665,6.231518,19.93929,6.183453,67.74369,170.5397
11:04:05 AM,11.09131,6.467697,6.231343,19.94223,6.185484,67.77447,170.522
11:04:07 AM,11.04394,6.472729,6.231169,19.94517,6.187516,67.80524,170.5043
11:04:09 AM,10.99657,6.47776,6.230994,19.9481,6.189548,67.83602,170.4866
11:04:11 AM,10.15725,6.76812,6.185709,19.97447,6.235478,68.84659,172.819
11:04:13 AM,10.10814,6.781543,6.183799,19.97556,6.238154,68.89924,172.9025
11:04:15 AM,10.05904,6.794965,6.18189,19.97665,6.24083,68.95188,172.986
11:04:17 AM,10.00994,6.808388,6.179982,19.97774,6.243506,69.00453,173.0695
11:04:19 AM,9.261855,7.156408,6.189691,20.14898,6.23735,69.54031,173.088
11:04:21 AM,9.215397,7.175911,6.189286,20.15652,6.23795,69.58075,173.1296
11:04:23 AM,9.168938,7.195415,6.188881,20.16407,6.23855,69.6212,173.1711
11:04:25 AM,9.122478,7.214918,6.188476,20.17161,6.23915,69.66164,173.2127
11:04:27 AM,8.385676,7.481142,6.172555,19.9653,6.298263,70.79118,173.8096
11:04:29 AM,8.341172,7.498514,6.172034,19.95994,6.300629,70.84805,173.8363
11:04:31 AM,8.296668,7.515885,6.171512,19.95457,6.302995,70.90492,173.8629
11:04:33 AM,7.551631,7.864963,6.161144,20.05088,6.45042,73.20037,174.4027
11:04:35 AM,7.506937,7.884533,6.160422,20.05158,6.457705,73.31766,174.4366
11:04:37 AM,7.462243,7.904103,6.159699,20.05229,6.464991,73.43494,174.4705
11:04:39 AM,7.417549,7.923673,6.158977,20.053,6.472277,73.55224,174.5043
11:04:41 AM,6.624792,8.613421,6.148465,20.24209,6.630157,76.64938,173.3956
11:04:43 AM,6.578024,8.648768,6.147838,20.25178,6.639432,76.82085,173.3583
11:04:45 AM,6.531256,8.684115,6.147211,20.26148,6.648706,76.99231,173.3211
11:04:47 AM,6.484488,8.719462,6.146585,20.27117,6.65798,77.16377,173.2838
11:04:49 AM,5.626522,9.75113,6.120781,20.60297,6.815701,81.00004,168.9454
11:04:51 AM,5.576176,9.806845,6.119504,20.62027,6.825161,81.21677,168.7432
11:04:53 AM,5.525829,9.862559,6.118227,20.63757,6.83462,81.4335,168.541
11:04:55 AM,5.475482,9.918274,6.11695,20.65487,6.844079,81.65024,168.3388
11:04:57 AM,4.737013,11.35789,6.099934,20.48048,7.336971,90.59998,167.9398
11:04:59 AM,4.690886,11.43606,6.098767,20.47919,7.36026,91.04006,167.8463
11:05:01 AM,4.644758,11.51424,6.0976,20.4779,7.383549,91.48014,167.7527
11:05:03 AM,4.59863,11.59241,6.096434,20.4766,7.406838,91.92022,167.6592
11:05:05 AM,3.94745,13.76174,6.068675,20.96705,7.624757,99.47948,165.8378
11:05:07 AM,3.907157,13.87743,6.067214,20.98466,7.6424,99.95042,165.7533
11:05:09 AM,3.866863,13.99312,6.065753,21.00226,7.660043,100.4214,165.6688
11:05:11 AM,3.82657,14.10881,6.064292,21.01986,7.677686,100.8923,165.5843
11:05:13 AM,3.26248,17.9634,6.069897,21.79675,7.310504,104.3737,163.336
11:05:15 AM,3.227347,18.16207,6.069638,21.83766,7.299149,104.6528,163.2098
11:05:17 AM,3.192214,18.36073,6.069379,21.87857,7.287793,104.9318,163.0835
11:05:19 AM,3.157081,18.5594,6.069119,21.91948,7.276437,105.2108,162.9573
11:05:21 AM,2.616056,19.32954,6.051223,22.1176,6.973494,102.4318,164.4072
11:05:23 AM,2.583632,19.42953,6.050574,22.13946,6.954785,102.3825,164.4268
11:05:25 AM,2.551207,19.52952,6.049925,22.16131,6.936076,102.3333,164.4463
11:05:27 AM,2.518782,19.62952,6.049276,22.18316,6.917367,102.284,164.4659
11:05:29 AM,1.86282,19.87556,5.99991,21.83864,6.786026,100.8334,168.4787
11:05:31 AM,1.826073,19.90068,5.997554,21.8281,6.775335,100.7286,168.6686
11:05:33 AM,1.789326,19.92579,5.995199,21.81757,6.764645,100.6239,168.8585
11:05:35 AM,1.752578,19.95091,5.992844,21.80703,6.753954,100.5192,169.0484
11:05:37 AM,1.063618,20.10885,5.935285,21.81554,6.689453,99.87679,173.2626
11:05:39 AM,1.023477,20.1206,5.932041,21.81011,6.68437,99.8252,173.5066
11:05:41 AM,0.9833367,20.13234,5.928798,21.80467,6.679287,99.7736,173.7507
11:05:43 AM,0.9431961,20.14409,5.925555,21.79924,6.674204,99.72201,173.9947
11:05:45 AM,0.3063427,20.32555,5.841365,22.00918,6.609881,99.12009,179.5593
11:05:47 AM,0.2676,20.33606,5.836848,22.01797,6.60599,99.08296,179.8652
11:05:49 AM,0.2288572,20.34658,5.832331,22.02675,6.6021,99.04585,180.1712
11:05:51 AM,0.1901145,20.35709,5.827814,22.03554,6.598209,99.00873,180.4772
,,,,,,,
Site Name,Hog Park Reservoir,,,,Date,7/20/2022 (DUP),
Date Time,Depth (m),Temp (°C),pH (SU),Spc. Cond. (µS/cm),RDO (mg/L),RDO (%Sat),ORP (mV)
11:08:13 AM,18.86544,6.67915,6.210679,19.64941,6.22897,68.61406,179.913
11:08:15 AM,18.777,6.749122,6.206268,19.5994,6.169187,68.205,179.9012
11:08:17 AM,18.76919,6.756339,6.205842,19.59753,6.162918,68.15974,179.8946
11:08:19 AM,18.62283,6.480407,6.190162,19.79626,6.21482,68.00038,179.6916
11:08:21 AM,18.60708,6.459078,6.188653,19.81159,6.217189,67.97224,179.6738
11:08:23 AM,18.13888,6.391208,6.187598,19.73936,6.208155,67.88241,178.1405
11:08:25 AM,17.79497,6.388082,6.182469,19.6157,6.192851,67.71185,178.1425
11:08:27 AM,17.74907,6.386129,6.181993,19.60183,6.191053,67.69351,178.0941
11:08:29 AM,17.55006,6.310225,6.194465,19.67659,6.192926,67.586,176.578
11:08:31 AM,17.52143,6.303495,6.195423,19.67922,6.192579,67.57076,176.4445
11:08:33 AM,17.13781,6.281103,6.190565,19.68415,6.204091,67.6403,176.3838
11:08:35 AM,17.09679,6.276431,6.19057,19.6874,6.20522,67.64309,176.3253
11:08:37 AM,16.75438,6.256913,6.184689,19.73066,6.207664,67.65592,176.2262
11:08:39 AM,16.3949,6.254951,6.186515,19.72571,6.209834,67.67593,176.1055
11:08:41 AM,16.3512,6.254163,6.186521,19.72661,6.210094,67.67802,176.0904
11:08:43 AM,16.13992,6.205731,6.197701,19.71652,6.226285,67.77071,175.3208
11:08:45 AM,16.10897,6.20126,6.198816,19.71528,6.227844,67.7799,175.2458
11:08:47 AM,15.75354,6.214992,6.191232,19.73538,6.231945,67.86181,175.5224
11:08:49 AM,15.71481,6.214475,6.190956,19.73681,6.232891,67.87244,175.5196
11:08:51 AM,15.34385,6.207716,6.191851,19.74782,6.269262,68.25247,175.2528
11:08:53 AM,15.29854,6.207616,6.191659,19.7495,6.272609,68.28884,175.2392
11:08:55 AM,14.91833,6.232296,6.200619,19.75613,6.266395,68.25682,174.7998
11:08:57 AM,14.7453,6.274948,6.196533,19.71865,6.260249,68.26518,174.9598
11:08:59 AM,14.71737,6.279712,6.196433,19.71538,6.259435,68.2645,174.9612
11:09:01 AM,14.28284,6.337915,6.207488,19.68904,6.262381,68.39706,174.3441
11:09:03 AM,14.23789,6.344693,6.208334,19.68529,6.262433,68.40941,174.2945
11:09:05 AM,13.83183,6.389515,6.212421,19.68948,6.277289,68.67608,174.2049
11:09:07 AM,13.77999,6.395594,6.21319,19.68892,6.278722,68.70461,174.1744
11:09:09 AM,13.4287,6.428803,6.198535,19.80649,6.292186,68.88286,174.2195
11:09:11 AM,13.19712,6.444449,6.206873,19.84681,6.294541,68.93397,174.5908
11:09:13 AM,13.16448,6.446953,6.207189,19.85431,6.295174,68.94418,174.6266
11:09:15 AM,12.84049,6.491659,6.20193,19.80983,6.273619,68.78353,174.6493
11:09:17 AM,12.80347,6.496211,6.201779,19.807,6.271712,68.77033,174.6647
11:09:19 AM,12.46613,6.491004,6.1788,19.77631,6.271549,68.79146,176.4256
11:09:21 AM,12.42502,6.492169,6.176598,19.77199,6.27075,68.78745,176.5798
11:09:23 AM,12.08579,6.543276,6.192691,19.77841,6.255826,68.74783,175.4607
11:09:25 AM,12.04446,6.54753,6.193275,19.77788,6.254522,68.74509,175.426
11:09:27 AM,11.73061,6.586382,6.182715,19.81646,6.252646,68.72641,175.3283
11:09:29 AM,11.69194,6.591463,6.182396,19.81984,6.251942,68.72335,175.2814
11:09:31 AM,11.41625,6.654202,6.188308,19.83479,6.254114,68.85725,175.6422
11:09:33 AM,11.0609,6.776387,6.180514,19.80474,6.245779,68.97758,175.9113
11:09:35 AM,11.02133,6.789069,6.180029,19.80249,6.245096,68.99222,175.945
11:09:37 AM,10.84842,6.886542,6.169467,19.81654,6.261471,69.34177,176.2018
11:09:39 AM,10.82222,6.898983,6.168271,19.81672,6.262624,69.37608,176.2325
11:09:41 AM,10.52282,7.071775,6.1518,19.98671,6.253217,69.5718,177.0055
11:09:43 AM,10.49211,7.089575,6.150052,20.00172,6.252985,69.60009,177.0795
11:09:45 AM,10.18058,7.142732,6.147713,20.00675,6.241432,69.65302,177.6251
11:09:47 AM,10.14392,7.152881,6.146984,20.0127,6.240104,69.66363,177.6974
11:09:49 AM,9.825932,7.256917,6.150002,19.95705,6.207883,69.48307,177.5102
11:09:51 AM,9.78856,7.267365,6.150187,19.95239,6.204785,69.46965,177.513
11:09:53 AM,9.433741,7.362458,6.163648,19.78473,6.196437,69.45387,176.0123
11:09:55 AM,9.392638,7.374106,6.164888,19.76864,6.194637,69.44653,175.8789
11:09:57 AM,9.049714,7.461922,6.181153,19.81482,6.217175,69.84859,175.9558
11:09:59 AM,8.788056,7.611044,6.149398,19.90612,6.230563,70.26061,176.9138
11:10:01 AM,8.754298,7.626923,6.14711,19.91572,6.23244,70.30946,177.0017
11:10:03 AM,8.611468,7.747275,6.165312,19.88279,6.274714,70.99777,176.1315
11:10:05 AM,8.590892,7.762631,6.165838,19.88286,6.278844,71.07133,176.0867
11:10:07 AM,8.316773,7.827857,6.177136,19.80951,6.316193,71.72826,175.2833
11:10:09 AM,8.288439,7.837404,6.178798,19.80185,6.320869,71.80833,175.1819
11:10:11 AM,7.883666,8.009049,6.168099,19.79537,6.386909,72.93817,175.2759
11:10:13 AM,7.839543,8.02596,6.167562,19.79229,6.393839,73.0574,175.2567
11:10:15 AM,7.417812,8.294198,6.158374,19.97499,6.401219,73.4329,176.3658
11:10:17 AM,7.061933,8.589353,6.141328,19.99549,6.481339,74.88367,176.5453
11:10:19 AM,7.017165,8.624216,6.139517,20.00295,6.488764,75.02569,176.5951
11:10:21 AM,6.832937,8.936508,6.119373,20.19342,6.557362,76.39512,176.8987
11:10:23 AM,6.805617,8.973783,6.117014,20.21073,6.566198,76.5659,176.929
11:10:25 AM,6.453432,9.347949,6.107429,20.3089,6.630938,78.02723,177.4503
11:10:27 AM,6.416355,9.3915,6.105917,20.32414,6.638919,78.20193,177.5068
11:10:29 AM,6.019922,9.737751,6.089358,20.32996,6.667347,79.6161,177.2171
11:10:31 AM,5.972826,9.781093,6.087585,20.33376,6.672073,79.79066,177.2099
11:10:33 AM,5.620006,10.18305,6.088226,20.31296,6.714523,80.64192,176.9371
11:10:35 AM,5.225864,10.52769,6.089646,20.34253,6.814071,82.49835,177.0725
11:10:37 AM,5.178985,10.57163,6.089822,20.34466,6.824575,82.69463,177.0774
11:10:39 AM,4.967501,11.17984,6.088109,20.57719,6.996736,86.00206,176.4939
11:10:41 AM,4.935592,11.24632,6.088006,20.59959,7.015836,86.36665,176.4458
