Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Hogan Reservoir - D,,,,,,,,,
,,,,,,,,,
,6/2/2015,0,824,15.7,8.35,486,8.68,105,200
,,0.5,,15.7,8.37,487,8.72,106,200
,,1,,15.7,8.39,486,8.67,105,201
,,1.5,,15.7,8.39,487,8.69,105,201
,,2,,15.7,8.4,487,8.69,105,201
,,2.5,,15.6,8.4,486,8.69,105,201
,,3,,15.6,8.4,486,8.71,105,201
,,,,,,,,,
,7/14/2015,0,1234,19.7,8.28,431,8.29,108.2,412
,,0.5,,19.2,8.4,426,8.88,114.4,411
,,1,,18.5,8.51,426,9.28,118.4,410
,,1.5,,18.5,8.53,425,9.41,120,410
,,2,,18.3,8.54,427,9.38,119,410
,,2.5,,18.2,8.51,429,8.79,111,412
,,,,,,,,,
,9/21/2015,0,1055,12.5,8,440,8.59,96.8,565
,,0.5,,12.5,8.14,440,8.58,96.5,565
,,1,,12.36,8.35,441,8.6,96.4,564
,,1.5,,12.2,8.4,440,8.81,98.6,564
,,2,,12.2,8.48,439,9.16,102.5,563
,,2.5,,12.16,8.47,441,8.7,96.6,563
