Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Keyhole Reservoir - LPD,,,,,,,,,
,6/5/2017,0,821,19.11,8.56,2052,8.16,103.5,327
,,0.5,,19.12,8.6,2051,8.17,103.8,326
,,1,,19.11,8.64,2049,8.19,104,325
,,1.5,,19.13,8.67,2051,8.16,103.7,325
,,2,,19.11,8.69,2053,8.18,103.8,324
,,2.5,,18.98,8.71,2051,8.19,104,324
,,3,,18.55,8.72,2045,8.3,104.3,324
,,4,,17.9,8.73,2040,8.29,102.9,324
,,5,,17.12,8.72,2038,8.19,99.8,324
,,6,,16.67,8.71,2036,8.08,97.4,324
,,7,,16.51,8.72,2033,8.02,96.2,325
,,8,,16.29,8.73,2033,7.95,95.2,325
,,9,,15.37,8.69,2026,7.63,89.3,326
,,10,,14.66,8.64,2021,6.97,80.7,326
,,11,,13.96,8.58,2021,6.32,71.1,327
,,12,,13.43,8.51,2022,5.24,58.6,328
,,13,,13.37,8.48,2021,4.91,55.1,329
,,14,,12.79,8.39,2021,3.85,42.3,330
,,15,,12.5,8.35,2019,3.55,39.1,330
,,18,,10.32,8.13,2019,0.2,1.9,330
,,,,,,,,,
,7/12/2017,0,816,22.98,8.4,2070,7.46,101.6,348
,,0.5,,23,8.4,2070,7.47,101.8,345
,,1,,23.01,8.39,2069,7.46,101.7,344
,,1.5,,23,8.39,2069,7.47,101.8,342
,,2,,23,8.39,2068,7.45,101.5,341
,,2.5,,22.97,8.38,2069,7.44,101.3,340
,,3,,22.6,8.35,2068,7.26,97.8,339
,,4,,22.01,8.3,2065,6.73,89.9,338
,,5,,21.58,8.28,2062,6.5,86.3,337
,,6,,21.25,8.27,2060,6.21,81.8,336
,,7,,20.7,8.23,2062,5.84,76.1,336
,,8,,20.51,8.23,2059,5.68,73.5,335
,,9,,20.07,8.2,2063,5.35,68.8,335
,,10,,19.57,8.21,2057,5.3,67.5,335
,,11,,18.57,8.12,2056,4.32,53.9,335
,,12,,18.29,8.09,2051,3.91,48.4,335
,,13,,16.56,7.89,2040,1.8,21.5,337
,,14,,16.04,7.85,2030,1.26,14.9,337
,,15,,14.69,7.79,2026,0.31,3.3,337
,,20,,12.46,7.87,2016,0,0,293
,,,,,,,,,
,9/11/2017,0,827,19.84,8.49,2078,7.89,100.6,279
,,0.5,,19.89,8.53,2077,7.84,100,277
,,1,,19.88,8.53,2075,7.85,100.1,275
,,1.5,,19.88,8.53,2071,7.85,100.2,274
,,2,,19.87,8.53,2072,7.82,99.9,272
,,2.5,,19.87,8.53,2072,7.82,100,271
,,3,,19.87,8.53,2078,7.84,100.1,270
,,4,,19.74,8.48,2080,7,89.2,269
,,5,,19.51,8.42,2077,5.99,76.1,269
,,6,,19.37,8.39,2077,5.43,68.5,268
,,7,,19.32,8.39,2078,5.3,66.8,267
,,8,,19.23,8.39,2079,5.25,66.3,266
,,9,,19.16,8.41,2086,5.32,67.1,265
,,10,,19.09,8.39,2084,5.07,63.8,265
,,11,,18.97,8.35,2076,4.45,55.9,264
,,12,,18.86,8.34,2076,4.15,51.9,263
,,13,,18.7,8.33,2088,3.91,48.7,261
,,14,,18.69,8.32,2080,3.81,47.4,260
,,15,,18.42,8.25,2084,2.87,35.6,260
