Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Keyhole Reservoir - RPD,,,,,,,,,
,6/5/2017,0,927,18.59,8.67,2050,8.09,101.5,317
,,0.5,,18.55,8.72,2048,8.1,101.6,317
,,1,,18.52,8.74,2047,8.06,101.2,317
,,1.5,,18.48,8.75,2047,8.02,100.2,317
,,2,,18.47,8.77,2048,8.04,100.8,318
,,2.5,,18.46,8.78,2047,8,100.3,318
,,3,,18.44,8.79,2049,8.04,100.9,319
,,4,,18.42,8.8,2048,8.08,101.4,319
,,5,,18.37,8.8,2045,8.01,100.4,319
,,6,,18.3,8.79,2047,7.94,99.3,320
,,7,,18.12,8.78,2045,7.83,97.6,320
,,,,,,,,,
,7/12/2017,0,910,22.54,8.48,2083,6.75,91.1,317
,,0.5,,22.55,8.47,2084,6.76,91.4,316
,,1,,22.56,8.46,2081,6.74,91.1,316
,,1.5,,22.55,8.45,2083,6.75,91.1,315
,,2,,22.55,8.44,2081,6.73,91,315
,,2.5,,22.55,8.43,2081,6.7,90.6,314
,,3,,22.54,8.43,2081,6.68,90.3,314
,,4,,22.51,8.43,2082,6.65,89.9,313
,,5,,22.43,8.42,2081,6.63,89.4,313
,,6,,22.34,8.41,2082,6.44,86.6,313
,,,,,,,,,
,9/11/2017,0,935,20.01,8.62,2082,7.79,99.8,237
,,0.5,,20.01,8.63,2081,7.79,99.7,237
,,1,,19.94,8.63,2081,7.74,98.9,238
,,1.5,,19.93,8.62,2083,7.69,98.4,239
,,2,,19.91,8.62,2079,7.66,98,240
,,2.5,,19.91,8.61,2081,7.61,97.5,240
,,3,,19.89,8.61,2079,7.57,96.8,241
,,4,,19.88,8.6,2081,7.51,95.9,243
,,5,,19.78,8.57,2082,6.85,87.4,244
,,6,,19.52,8.51,2083,5.82,74.1,244
,,,,,,,,,
,5/30/2018,0,10:28,19.64,8.35,1758,7.25,93.2,323
,,0.5,,18.62,8.36,1760,7.31,92,322
,,1,,18.21,8.37,1756,7.29,91.1,321
,,1.5,,17.96,8.37,1755,7.18,89.3,321
,,2,,17.9,8.36,1754,7.06,87.6,321
,,2.5,,17.67,8.35,1752,6.95,85.7,321
,,3,,17.59,8.35,1748,6.92,85.3,321
,,4,,17.48,8.35,1751,6.91,85,321
,,5,,17.47,8.36,1752,6.9,85.1,321
,,6,,17.11,8.33,1750,6.58,80.4,321
,,7,,16.49,8.31,1749,6.23,75.1,322
,,8,,15.58,8.25,1753,5.69,66.9,322
,,9,,13.91,8.14,1750,4.82,54.8,324
,,,,,,,,,
,7/16/2018,0,10:11,25.55,8.62,1777,8.73,124.3,309
,,0.5,,23.92,8.6,1772,8.87,122.5,310
,,1,,23.57,8.54,1769,8.09,111.2,311
,,1.5,,23.5,8.52,1770,7.65,104.8,311
,,2,,23.48,8.52,1766,7.54,103.2,311
,,2.5,,23.44,8.52,1768,7.36,100.7,311
,,3,,23.43,8.51,1769,7.17,98.2,312
,,4,,23.39,8.5,1770,7.12,97.4,312
,,5,,23.29,8.51,1776,7.21,98.4,313
,,6,,23.21,8.51,1769,7.03,95.8,313
,,7,,23.19,8.51,1776,6.9,94.1,313
,,8,,22.92,8.44,1771,6.18,83.8,314
,,9,,21.04,8.04,1765,3.1,42,316
,,10,,19.78,7.83,1756,1.88,24,317
,,,,,,,,,
,9/10/2018,0,10:18,19.66,8.41,1791,6.98,89.3,255
,,0.5,,19.53,8.42,1791,6.92,88.5,255
,,1,,19.28,8.42,1793,7.23,91.5,256
,,1.5,,19.19,8.41,1792,7.18,91,257
,,2,,19.18,8.4,1783,7.08,89.9,258
,,2.5,,19.15,8.37,1788,6.84,86.8,258
,,3,,19.14,8.37,1789,6.83,86.5,259
,,4,,19.13,8.36,1787,6.77,85.6,260
,,5,,19.12,8.34,1791,6.62,83.8,261
,,6,,19.1,8.3,1790,6.47,81.8,262
,,7,,19.02,8.27,1793,5.96,75.5,263
,,8,,18.96,8.24,1791,5.79,73,263
,,9,,18.94,8.25,1795,5.66,71.4,264
