Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Keyhole Reservoir-TPD,,,,,,,,,
,6/5/2017,0,857,18.71,8.56,2048,8.24,103.7,313
,,0.5,,18.7,8.65,2047,8.23,103.7,312
,,1,,18.68,8.68,2049,8.24,103.9,312
,,1.5,,18.67,8.7,2047,8.21,103.6,312
,,2,,18.64,8.72,2047,8.23,103.6,313
,,2.5,,18.64,8.75,2047,8.24,103.7,313
,,3,,18.36,8.76,2045,8.25,103.5,314
,,4,,17.83,8.75,2041,8.29,102.7,315
,,5,,17.44,8.74,2037,8.2,100.5,315
,,6,,16.64,8.75,2033,8.01,96.6,317
,,7,,16.29,8.76,2037,7.92,94.9,317
,,8,,15.94,8.75,2031,7.77,92.4,318
,,9,,15.23,8.71,2025,7.38,86.4,319
,,10,,14.84,8.71,2023,7.21,83.3,320
,,11,,14.57,8.68,2023,6.87,78.7,321
,,12,,14.2,8.66,2022,6.42,73.5,322
,,13,,14.04,8.62,2021,6.2,70.7,322
,,14,,13.47,8.52,2021,5.24,58.2,323
,,15,,12.59,8.38,2019,3.54,38.9,325
,,16,,11.76,8.2,2023,0.92,9.6,326
,,,,,,,,,
,7/12/2017,0,844,23.21,8.52,2074,7.48,102.3,320
,,0.5,,23.23,8.5,2073,7.49,102.5,319
,,1,,23.22,8.48,2075,7.48,102.4,319
,,1.5,,23.22,8.47,2075,7.46,102,318
,,2,,23.19,8.46,2074,7.46,102.1,318
,,2.5,,23.06,8.45,2076,7.4,100.8,317
,,3,,22.66,8.42,2069,7.13,96.6,317
,,4,,22.46,8.4,2070,7,94.4,317
,,5,,21.89,8.36,2067,6.61,88.1,317
,,6,,21.69,8.36,2067,6.45,85.6,317
,,7,,21.1,8.32,2061,6,78.9,317
,,8,,20.53,8.28,2061,5.66,73.5,317
,,9,,19.98,8.26,2060,5.41,69.2,317
,,10,,19.25,8.23,2058,5.08,64.2,318
,,11,,18.86,8.21,2059,4.73,59.4,318
,,12,,18.02,8.11,2051,3.66,45.1,319
,,13,,16.78,7.98,2043,2.08,25.1,320
,,14,,15.33,7.86,2034,0.62,7.2,321
,,15,,14.9,7.86,2029,0.36,4,321
,,16,,14.55,7.86,2028,0.18,2.1,318
,,,,,,,,,
,9/11/2017,0,905,20,8.66,2082,8.04,102.9,213
,,0.5,,19.97,8.65,2080,8.06,103,215
,,1,,19.95,8.65,2080,8.04,103.2,218
,,1.5,,19.92,8.64,2079,8.04,102.9,220
,,2,,19.9,8.64,2081,8.02,102.5,222
,,2.5,,19.88,8.62,2081,7.89,101.1,224
,,3,,19.85,8.6,2077,7.49,95.6,225
,,4,,19.6,8.52,2082,6.32,80,227
,,5,,19.49,8.51,2080,5.92,74.8,228
,,6,,19.42,8.49,2077,5.74,72.8,229
,,7,,19.32,8.49,2083,5.62,70.9,230
,,8,,19.27,8.47,2084,5.33,67.3,231
,,9,,19.22,8.47,2078,5.26,66.2,231
,,10,,19.07,8.44,2081,4.79,60.3,232
,,11,,18.95,8.43,2082,4.61,58,232
,,12,,18.87,8.42,2086,4.43,55.3,233
,,13,,18.77,8.46,2088,4.83,60.5,233
