Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Lake Cameahwait - LPD,,,,,,,,,
,6/12/2013,0,9:20,19.1,8.45,866.3,8.61,111,340
,,0.5,9:20,19.11,8.45,865,8.59,110.7,340
,,1,9:20,19.04,8.45,865.5,8.64,111.2,340
,,1.5,9:20,18.99,8.45,865.7,8.63,111.2,340
,,2,9:20,18.95,8.45,865.1,8.62,110.7,340
,,2.5,9:20,18.92,8.45,865.2,8.64,110.8,340
,,3,9:20,18.91,8.44,864.9,8.61,110.6,340
,,4,9:20,18.86,8.43,864.8,8.58,110,340
,,5,9:20,18.76,8.42,865.2,8.52,109.1,340
,,6,9:20,18.56,8.36,865.6,8.31,105.4,341
,,7,9:20,18.04,8.21,865.6,7.34,92.4,342
,,8,9:20,17.46,8.13,868,6.93,86.2,343
,,9,9:20,16.62,7.98,868.4,6.13,74.7,345
,,10,9:20,16.4,7.89,870.2,5.44,66.3,346
,,10.8,9:33,16.31,7.85,869.7,5.21,63.4,346
,,,,,,,,,
,7/16/2013,0,10:42,23.75,8.36,837.9,8.66,122.6,408
,,0.5,10:43,23.73,8.51,837.9,8.67,122.4,399
,,1,10:43,23.73,8.67,837.6,8.73,123.5,392
,,1.5,10:44,23.7,8.65,836.9,8.71,123.3,386
,,2,10:45,23.71,8.63,836.2,8.73,123.2,383
,,2.5,10:46,23.71,8.63,837.7,8.73,123.2,379
,,3,10:46,23.71,8.66,836.6,8.74,123.5,377
,,4,10:47,23.7,8.63,835.5,8.75,123.7,376
,,5,10:47,23.56,8.58,835.5,8.37,118.5,374
,,6,10:48,21.83,7.34,865.6,0.25,2.7,-52
,,7,10:49,21.01,7.31,871.8,0.05,0.6,-110
,,8,10:50,20.24,7.26,873.2,0.03,0.4,-113
,,9,10:51,19.79,7.27,872.6,0.02,0.3,-117
,,10,10:52,19.59,7.26,871,0.02,0.2,-117
,,,,,,,,,
,9/17/2013,0,16:53,20.4,8.41,729.3,7.52,100.9,375
,,0.5,16:53,20.41,8.44,729.9,7.53,101,377
,,1,16:54,20.38,8.57,730.7,7.53,100.9,377
,,1.5,16:54,20.4,8.6,730,7.54,101.2,376
,,2,16:55,20.39,8.61,730.4,7.53,101.1,376
,,2.5,16:55,20.39,8.62,728.9,7.54,101.4,376
,,3,16:56,20.38,8.62,730.6,7.48,100.3,375
,,4,16:56,20.35,8.59,729.9,7.4,99.2,371
,,5,16:57,20.34,8.6,729.8,7.38,99,363
,,6,16:58,20.29,8.6,731.7,7.32,98.1,360
,,7,16:58,20.25,8.6,730.3,7.24,96.8,359
,,8,16:59,20.12,8.58,730.3,7.14,95.3,360
,,9,16:59,20.07,8.58,729.4,7.06,94.1,360
,,10,17:00,19.87,8.52,727.8,6.51,86.5,360
,,10.5,17:01,19.78,8.49,727.5,6.15,81.4,340
,,,,,,,,,
,6/20/2016,0.0,11:23,22.83,8.94,829.5,8.48,116.8,355
,,0.5,,22.71,8.96,829.6,8.58,117.9,354
,,1.0,,22.28,8.99,829.5,8.68,118.1,352
,,1.5,,22.12,9.00,829.0,8.70,117.9,351
,,2.0,,22.04,9.02,828.7,8.71,117.9,351
,,2.5,,21.94,9.03,828.7,8.73,118.1,350
,,3.0,,21.87,9.04,828.7,8.72,118.1,350
,,4.0,,21.81,9.05,828.2,8.75,118.1,350
,,5.0,,21.54,9.04,826.3,8.98,120.8,349
,,6.0,,21.01,8.86,828.5,8.02,105.1,354
,,7.0,,20.32,8.48,836.7,5.53,71.2,363
,,8.0,,19.02,8.06,851.0,2.30,29.0,366
,,9.0,,18.48,7.91,856.4,1.01,12.3,365
,,10.0,,17.43,7.82,861.2,0.24,2.8,361
,,10.5,,16.98,7.80,863.1,0.00,0.0,348
,,,,,,,,,
,7/18/2016,0.0,9:55,21.63,9.01,800.9,8.48,115.9,334
,,0.5,,22.03,9.08,801.4,8.72,119.3,324
,,1.0,,21.94,9.10,799.9,8.84,120.3,321
,,1.5,,21.91,9.12,799.0,8.98,122.0,319
,,2.0,,21.88,9.12,799.4,8.95,121.6,317
,,2.5,,21.86,9.14,799.0,9.01,122.2,315
,,3.0,,21.86,9.15,798.7,9.04,122.9,313
,,4.0,,21.83,9.16,798.3,9.07,123.1,312
,,5.0,,21.29,8.88,803.4,6.99,93.7,318
,,6.0,,20.95,8.67,806.3,5.63,74.7,321
,,7.0,,20.55,8.32,808.6,3.56,47.3,328
,,8.0,,20.20,8.25,813.4,0.25,3.2,190
,,9.0,,20.10,8.13,812.9,0.40,5.3,203
,,10.0,,19.87,8.82,823.0,0.00,0.0,-65.00
,,,,,,,,,
,,,,,,,,,
,9/6/2016,0.0,11:28,19.91,8.85,748.3,7.57,99.1,
,,0.5,,19.59,8.86,746.8,7.64,99.4,
,,1.0,,19.54,8.86,746.8,7.63,99.1,
