Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Lake DeSmet - LPD,,,,,,,,,
,6/7/2017,0,823,15.74,8.6,620,8.2,97.8,337
,,0.5,,15.66,8.63,620,8.19,97.8,336
,,1,,15.53,8.66,620,8.18,97.5,336
,,1.5,,15.47,8.68,620,8.18,97.1,336
,,2,,15.4,8.7,620,8.19,97.2,336
,,2.5,,15.15,8.71,619,8.26,97.6,336
,,3,,15.07,8.72,619,8.34,98.1,337
,,4,,14.85,8.73,619,8.35,98,337
,,5,,14.61,8.73,619,8.35,97.3,337
,,6,,14.5,8.74,618,8.39,97.6,338
,,7,,14.39,8.75,618,8.41,97.4,339
,,8,,13.65,8.74,616,8.52,97.2,339
,,9,,13.14,8.73,615,8.53,96.3,340
,,10,,12.6,8.72,614,8.61,96.1,341
,,11,,12.52,8.76,614,8.63,96.1,343
,,12,,12.33,8.77,614,8.68,96.3,344
,,13,,12.1,8.78,614,8.62,95,346
,,14,,11.91,8.78,614,8.66,95.1,347
,,15,,11.79,8.79,614,8.61,94.3,348
,,20,,10.86,8.72,614,8.35,89.5,350
,,25,,10.53,8.7,615,8.14,86.3,353
,,30,,10.46,8.71,615,8.05,85.4,353
,,32,,10.45,8.7,614,8.05,85.3,363
,,,,,,,,,
,7/12/2017,0,1430,22.26,8.07,631,7.65,104.2,337
,,0.5,,21.45,8.11,628,7.7,103.3,337
,,1,,21.13,8.15,628,7.68,102.7,336
,,1.5,,21.04,8.18,628,7.7,102.6,335
,,2,,20.99,8.21,628,7.72,102.5,334
,,2.5,,20.92,8.23,628,7.7,102.2,334
,,3,,20.9,8.24,628,7.73,102.6,334
,,4,,20.75,8.25,627,7.73,102.2,333
,,5,,20.68,8.26,627,7.73,102.1,333
,,6,,20.51,8.26,627,7.76,102.2,333
,,7,,18.9,8.23,623,8.21,104.7,333
,,8,,17.74,8.22,621,8.37,104,334
,,9,,17.42,8.21,621,8.34,103.2,334
,,10,,16.58,8.19,620,8.4,102.1,334
,,11,,16.33,8.2,620,8.37,101.1,335
,,12,,15.64,8.18,619,8.36,99.4,335
,,13,,15.11,8.15,619,8.22,96.8,336
,,14,,14.94,8.16,618,8.15,95.7,337
,,15,,14.62,8.13,619,8.06,94.1,337
,,20,,13.12,7.99,621,7.45,83.8,340
,,25,,12.72,7.94,622,7.17,80.1,341
,,30,,12.57,7.92,622,7.05,78.4,341
,,32,,12.49,7.91,622,6.81,75.6,342
,,,,,,,,,
,9/11/2017,0,1440,22.15,7.83,641,7.38,101.5,379
,,0.5,,20.33,7.93,641,7.65,99.6,375
,,1,,20.14,8,640,7.62,99.4,373
,,1.5,,20,8.03,640,7.65,99.5,372
,,2,,19.86,8.06,640,7.62,98.8,371
,,2.5,,19.86,8.09,640,7.61,98.8,369
,,3,,19.84,8.1,639,7.62,98.7,368
,,4,,19.82,8.11,639,7.59,98.2,367
,,5,,19.79,8.12,638,7.58,98.3,366
,,6,,19.71,8.13,638,7.6,98.2,364
,,7,,19.68,8.15,639,7.6,97.9,362
,,8,,19.55,8.14,638,7.56,97.4,362
,,9,,19.27,8.13,638,7.47,95.6,360
,,10,,19.21,8.13,638,7.45,95.3,359
,,11,,19.12,8.12,638,7.42,94.6,358
,,12,,19.02,8.11,637,7.35,93.6,358
,,13,,18.86,8.09,637,7.13,90.7,358
,,14,,18.52,8.02,638,6.89,86.8,357
,,15,,18.26,7.99,637,6.65,83.4,357
,,20,,14.82,7.57,641,5.22,60.7,360
,,25,,14,7.48,645,4.59,52.5,361
,,30,,13.65,7.35,659,3.12,35.4,362
,,32,,13.5,7.28,698,1.95,22,363
,,,,,,,,,
,5/30/2018,0,14:00,15.76,7.44,616,8.56,103.6,338
,,0.5,,15.22,7.57,615,8.57,102.4,334
,,1,,14.57,7.6,614,8.6,101.6,333
,,1.5,,13.57,7.58,610,8.75,100.9,332
,,2,,13.34,7.58,611,8.81,100.6,332
,,2.5,,12.87,7.59,610,8.85,100.6,331
,,3,,12.78,7.6,610,8.87,100.3,331
,,4,,12.69,7.6,609,8.85,100,330
,,5,,12.35,7.59,609,8.93,100.1,331
,,6,,12.01,7.6,608,8.97,99.7,331
,,7,,11.61,7.59,605,9.03,99.6,331
,,8,,11.4,7.59,605,9.05,99.4,331
,,9,,10.96,7.59,603,9.08,98.7,332
,,10,,10.91,7.59,604,9.12,98.9,332
,,11,,10.85,7.59,604,9.12,98.5,332
,,12,,10.65,7.58,604,9.14,98.5,333
,,13,,10.44,7.58,606,9.13,98,333
,,14,,10.19,7.56,608,9.16,97.6,334
