Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Lake Hattie - LPD ,,,,,,,,,
,6/20/2019,0.0,1100,14.50,8.61,859.8,8.19,105.50,356
,,0.5,,14.40,8.65,859.8,8.06,103.90,350
,,1.0,,14.40,8.69,859.0,8.00,103.10,349
,,1.5,,14.40,8.69,858.4,8.01,103.20,350
,,2.0,,14.40,8.69,858.2,8.02,103.20,351
,,2.5,,14.40,8.69,857.4,8.02,103.20,352
,,3.0,,14.30,8.69,858.1,7.97,102.40,351
,,4.0,,14.30,8.69,857.8,8.00,102.90,351
,,5.0,,14.30,8.69,856.9,7.94,101.90,351
,,6.0,,14.20,8.69,855.1,7.90,101.30,351
,,7.0,,14.20,8.69,853.6,7.74,99.00,350
,,8.0,,14.10,8.69,854.1,7.63,97.60,348
,,,,,,,,,
,,,,,,,,,
,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
,8/7/2019,0.0,1120,22.1,8.36,534.3,6.85,102.8,340
,,0.5,,21.3,8.55,532.7,6.90,101.2,346
,,1.0,,21.1,8.56,533.0,6.90,101.4,347
,,1.5,,21.0,8.57,532.6,6.91,101.5,348
,,2.0,,20.8,8.57,532.1,6.89,100.7,349
,,2.5,,19.8,8.60,529.9,6.93,99.2,355
,,3.0,,19.5,8.55,528.4,6.80,96.9,356
,,4.0,,19.4,8.52,524.0,6.56,93.1,358
,,5.0,,19.3,8.46,524.6,6.49,91.9,372
,,6.0,,19.1,8.46,528.8,6.33,89.3,373
,,7.0,,18.2,8.27,534.6,5.21,72.2,378
,,8.0,,17.7,8.23,548.5,4.92,67.4,379
,,9.0,,17.4,8.19,563.6,4.59,62.5,380
,,10.0,,16.8,8.14,584.0,4.17,55.8,381
,,11.0,,15.1,7.97,662.7,2.49,32.2,385
,,11.2,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
,9/10/2019,0.0,1015,17.7,8.38,567.7,6.74,92.7,267.00
,,0.5,,17.7,8.43,568.3,6.75,92.7,267.00
,,1.0,,17.6,8.45,568.3,6.77,92.7,268.00
,,1.5,,17.6,8.46,568.1,6.73,92.4,268.00
,,2.0,,17.5,8.46,568.7,6.76,92.4,269.00
,,2.5,,17.5,8.46,568.8,6.72,92.1,269.00
,,3.0,,17.5,8.47,567.8,6.71,91.8,270.00
,,4.0,,17.5,8.47,567.8,6.71,91.6,270.00
,,5.0,,17.5,8.47,568.2,6.69,91.5,270.00
,,6.0,,17.5,8.47,568.5,6.71,91.8,270.00
