Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Lake Hattie - RTPD ,,,,,,,,,
,6/20/2019,0.0,0940,13.80,8.53,684.3,7.44,94.40,342
,,0.5,,13.80,8.52,389.8,7.41,94.30,341
,,1.0,,13.80,8.53,690.6,7.43,94.40,341
,,1.5,,13.80,8.56,693.4,7.42,94.20,341
,,2.0,,13.80,8.58,709.4,7.41,94.10,340
,,2.5,,13.90,8.60,720.7,7.42,94.40,340
,,3.0,,13.90,8.59,731.2,7.40,94.10,340
,,4.0,,13.90,8.58,731.1,7.38,94.10,339
,,5.0,,13.90,8.58,735.5,7.38,93.90,339
,,6.0,,13.80,8.59,741.1,7.37,93.70,339
,,7.0,,13.80,8.59,744.7,7.32,93.10,339
,,8.0,,13.80,8.59,759.9,7.30,92.80,339
,,9.0,,13.80,8.47,770.1,4.18,46.20,339
,,,,,,,,,
,,,,,,,,,
,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
,8/7/2019,0.0,0950,20.2,8.46,520.7,6.84,98.8,385
,,0.5,,20.2,8.48,520.4,6.85,98.7,382
,,1.0,,20.0,8.46,519.2,6.84,98.2,381
,,1.5,,19.6,8.45,518.3,6.83,97.7,380
,,2.0,,19.6,8.46,518.2,6.81,97.2,379
,,2.5,,19.6,8.46,518.3,6.80,96.8,379
,,3.0,,19.5,8.46,519.0,6.79,96.8,378
,,4.0,,19.1,8.35,518.7,6.10,86.1,379
,,5.0,,19.0,8.35,518.4,6.02,84.8,379
,,6.0,,19.0,8.36,517.6,6.03,84.9,378
,,7.0,,18.8,8.32,522.9,5.74,79.7,379
,,8.0,,18.2,8.21,530.5,5.04,69.8,380
,,9.0,,17.3,8.14,556.9,4.49,61.1,382
,,10.0,,15.8,7.98,621.9,3.05,40.2,383
,,11.0,,15.4,7.99,365.1,2.84,37.1,357
,,11.2,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
,9/10/2019,0.0,0915,17.3,8.24,564.8,6.03,89.9,329
,,0.5,,17.3,8.27,564.4,6.60,90,325
,,1.0,,17.3,8.28,563.6,6.56,89.4,322
,,1.5,,17.3,8.29,563.2,6.54,89.1,320
,,2.0,,17.3,8.3,565.2,6.54,89.2,315
,,2.5,,17.3,8.31,564.6,6.52,89,313
,,3.0,,17.3,8.32,563.5,6.54,89.2,311
,,4.0,,17.3,8.33,563.8,6.56,89.4,309
,,5.0,,17.3,8.33,564.3,6.52,88.8,307
,,6.0,,17.3,8.35,564.2,6.54,89.8,305
,,7.0,,17.3,8.35,563.8,6.53,89.1,303
,,8.0,,17.3,8.36,564.0,6.52,88.8,301
,,9.0,,17.3,8.36,564.5,6.52,88.8,301
,,10.0,,17.3,8.36,564.5,6.47,88.1,300
,,11.0,,17.3,8.36,565.7,6.47,88.1,299
,,11.8,,17.1,8.38,565.1,6.50,88.1,297
,,,,,,,,,
,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
,6/17/2020,0.0,910,14.6,8.59,636.2,7.67,99,196.4
,,0.5,,14.6,8.57,616.7,7.65,99,196.9
,,1.0,,14.7,8.5,615.5,7.60,98.8,200.5
,,1.5,,14.7,8.29,615.7,7.63,98.9,211
,,2.0,,14.7,8.24,615.5,7.63,98.8,214.3
,,2.5,,14.7,8.22,615.5,7.62,98.8,215.2
,,3.0,,14.7,8.2,615.4,7.62,98.7,214.8
,,4.0,,14.7,8.31,615.6,7.60,98.5,207.5
,,5.0,,14.7,8.58,615.6,7.60,98.5,193.2
,,6.0,,14.7,8.66,615.7,7.60,98.6,188.6
,,7.0,,14.7,8.72,615.8,7.59,98.1,184.6
,,8.0,,14.7,8.78,615.9,7.59,98.2,181.4
,,9.0,,14.6,8.83,616.0,7.57,98.1,178.4
,,10.0,,14.6,8.88,616.1,7.55,97.4,175
,,11.0,,14.5,8.95,616.3,7.55,97.4,170.9
,,11.3,935,14.5,8.86,617.8,7.51,96.6,171.7
,,,,,,,,,
,Date Time,Depth (m) (732915),Temperature (Â°C) (733852),pH (pH) (723014),Specific Conductivity (ÂµS/cm) (729955),RDO Concentration (mg/L) (729398),RDO Saturation (%Sat) (729398),ORP (mV) (723014),
,8/5/2020,8.923542,18.63025,8.604543,605.8295,6.23594,87.0544,9.81059,
,8/5/2020,8.923427,18.63298,8.605227,605.8253,6.233922,87.03244,9.773391,
,8/5/2020,8.92331,18.6357,8.605913,605.8211,6.231904,87.01049,9.736193,
,8/5/2020,8.923194,18.63843,8.606598,605.8169,6.229886,86.98853,9.698994,
,8/5/2020,8.662701,18.49394,8.62202,606.7773,6.2231,86.85149,8.978883,
,8/5/2020,8.652246,18.48882,8.622916,606.8148,6.222189,86.83888,8.934721,
,8/5/2020,8.64179,18.48371,8.623812,606.8521,6.221278,86.82628,8.890559,
,8/5/2020,8.631335,18.47859,8.624708,606.8895,6.220367,86.81368,8.846397,
,8/5/2020,8.122912,18.35884,8.633133,607.5689,6.232852,86.51591,7.841574,
,8/5/2020,8.098111,18.35181,8.633755,607.6121,6.233123,86.50045,7.787925,
,8/5/2020,8.073311,18.34477,8.634376,607.6552,6.233394,86.48499,7.734276,
,8/5/2020,8.048512,18.33774,8.634996,607.6984,6.233665,86.46952,7.680627,
,8/5/2020,7.612638,18.33841,8.641434,607.4731,6.219741,86.28653,7.519113,
,8/5/2020,7.586748,18.3364,8.64184,607.4758,6.219387,86.27412,7.495381,
,8/5/2020,7.560858,18.33439,8.642246,607.4785,6.219032,86.26173,7.471649,
