Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Lake Owen - D,,,,,,,,,
,,,,,,,,,
,6/19/2018,0,15:40:00,14.1,7.66,32,7.3,100.4,342
,,0.5,,14.1,7.63,32,7.29,100.5,342
,,1,,14.06,7.65,32.1,7.32,100.9,341
,,1.5,,14.07,7.68,32,7.35,101,340
,,2,,14.07,7.85,32.1,7.39,101.5,337
,,2.5,15:43:00,13.87,8.43,32.2,8.41,115,335
,,,,,,,,,
,8/8/2018,0,18:00:00,16.8,7.77,28.6,7.54,109.5,346
,,0.5,,16.8,7.59,28.6,7.5,109.0,352
,,1,,16.8,7.72,28.5,7.5,108.9,352
,,1.5,,15.5,8.20,27.9,8.75,123.9,352
,,2,bottom,13.9,8.83,29.3,10.9,149.4,349
,,,,,,,,,
,9/5/2018,0,16:50:00,12.94,8.12,35.4,7.8,85.9,318
,,0.5,,12.9,7.66,35.3,7.79,85.7,327
,,1,,12.9,7.60,35.3,7.79,85.7,327
,,1.5,,12.9,7.57,35.1,7.81,85.6,326
,,2,,12.9,7.56,35.1,7.93,87.2,324
,,2.5,,12.7,7.51,35.7,6.93,76.7,273
