Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Lower New Fork Lake- LPD,,,,,,,,,
,6/11/2019,0,11:10,9.87,7.43,42.5,8.83,102.8,441
,,0.5,,9.82,7.61,42.8,8.82,102.4,437
,,1,,9.79,7.62,42.5,8.81,102.4,437
,,1.5,,9.75,7.64,42.5,8.81,102.1,436
,,2,,9.57,7.65,42.5,8.8,101.7,436
,,2.5,,9.31,7.67,42.4,8.82,101.4,436
,,3,,9.03,7.67,42.4,8.9,101.5,436
,,4,,8.83,7.68,42.5,8.91,101,437
,,5,,8.75,7.67,42.7,8.91,100.8,437
,,6,,8.62,7.67,42.5,8.89,100.5,438
,,7,,8.53,7.67,42.5,8.92,100.5,438
,,8,,8.3,7.66,42.5,8.94,100.1,439
,,9,,7.67,7.6,41.9,8.97,98.1,442
,,10,,6.29,7.55,41.7,8.95,95.3,445
,,11,,6.18,7.51,41.6,8.9,95,447
,,12,,6.05,7.49,41.7,8.9,94.3,448
,,13,,5.98,7.47,41.7,8.91,94.2,449
,,14,,5.94,7.47,41.7,8.95,94.6,449
,,15,,5.78,7.46,41.6,8.92,93.9,450
,,20,,4.73,7.43,41.5,8.77,90,453
,,25,,4.36,7.37,41.1,8.64,87.4,455
,,30,,4.18,7.3,41.8,8.29,83.4,458
,,40,,3.99,7.14,42.3,6.97,69.9,465
,,42,,3.98,7.09,42.3,6.94,69.5,466
,,,,,,,,,
,7/15/2019,0,12:51,17.35,7.11,39.2,7.67,106.2,399
,,0.5,,16.59,7.29,39.3,7.7,104.6,392
,,1,,16.08,7.38,39.3,7.77,104.5,388
,,1.5,,15.64,7.36,39.1,7.86,104.6,388
,,2,,15.49,7.38,39.2,7.85,104.3,389
,,2.5,,15.46,7.43,39.1,7.88,104.7,387
,,3,,15.42,7.41,39.1,7.85,104.4,387
,,4,,15.04,7.42,39.2,7.87,104.2,388
,,5,,14.45,7.38,38.5,8.12,105.6,388
,,6,,12.87,7.33,38,8.51,106.8,392
,,7,,10.68,7.26,39.1,8.81,105.1,395
,,8,,9.57,7.15,39.3,8.88,103.2,399
,,9,,8.64,7.08,39.6,8.81,100.3,401
,,10,,8.1,7.02,39.9,8.73,97.7,404
,,11,,7.46,6.94,39.9,8.63,95.3,407
,,12,,7.17,6.89,40,8.57,94.3,408
,,13,,6.8,6.85,40.2,8.6,92.7,409
,,14,,6.41,6.82,40.1,8.57,91.9,411
,,15,,6.14,6.79,39.9,8.45,90.3,412
,,20,,4.98,6.7,39.8,8.28,85.6,416
,,25,,4.45,6.66,39.8,8.35,85.2,417
,,30,,4.22,6.62,39.8,8.03,81,419
,,40,,4.03,6.34,39.9,5.73,57.9,428
,,41,,4.12,6.14,39.9,5.54,56.1,275
,,,,,,,,,
,9/9/2019,0,13:05,16.44,6.61,39.4,7.05,96.4,463
,,0.5,,16.4,7.37,39.1,7.06,96.6,436
,,1,,16.4,7.66,39.5,7.05,96.1,426
,,1.5,,16.38,7.76,39.4,7.05,96.2,420
,,2,,16.3,7.81,39.3,7.07,96.4,416
,,2.5,,16.27,7.85,39.3,7.07,96.4,414
,,3,,16.27,7.86,39.1,7.04,96.0,413
,,4,,16.22,7.88,39.1,7.05,95.9,411
,,5,,16.2,7.89,39.3,7.09,96.3,410
,,6,,16.18,7.88,39.5,7.08,96.2,409
,,7,,16.15,7.91,39.2,7.07,96.2,408
,,8,,16.08,7.90,39.2,7.09,96.2,408
,,9,,14.92,7.86,39.5,7.9,104.2,410
,,10,,12.82,7.74,39.6,8.39,105.3,415
