Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Lower New Fork Lake- RTPD,,,,,,,,,
,6/11/2019,0,11:45,9.87,7.66,42.7,8.83,102.8,431
,,0.5,,9.87,7.67,42.9,8.81,102.5,430
,,1,,9.79,7.69,42.6,8.83,102.4,430
,,1.5,,9.63,7.69,42.9,8.84,102.2,430
,,2,,9.56,7.69,42.7,8.84,102.1,431
,,2.5,,9.5,7.7,42.8,8.84,101.9,431
,,3,,9.1,7.7,42.6,8.86,101.2,432
,,4,,9.04,7.68,42.8,8.89,101.4,433
,,5,,8.93,7.67,42.5,8.9,101.3,433
,,6,,8.7,7.64,42.6,8.89,100.6,436
,,7,,8.39,7.64,42.4,8.91,100.1,436
,,8,,8.18,7.65,42.4,8.9,99.4,437
,,9,,8.13,7.65,42.4,8.94,99.7,438
,,10,,8.01,7.64,42.5,8.93,99.4,439
,,11,,8.03,7.62,42.5,8.92,99.3,439
,,12,,7.88,7.61,42.4,8.93,98.9,441
,,13,,7.71,7.61,42.4,8.92,98.6,441
,,14,,6.7,7.54,41.9,8.96,96.3,444
,,15,,6.34,7.54,41.7,8.99,96,445
,,20,,4.68,7.47,41.3,8.82,90.2,449
,,25,,4.23,7.34,41.6,8.23,83.1,454
,,,,,,,,,
,7/15/2019,0,13:25,17.03,7.43,39.7,7.7,105.3,396
,,0.5,,16.57,7.48,39.8,7.75,104.7,387
,,1,,16.01,7.52,39.5,7.73,104.5,384
,,1.5,,15.43,7.52,39.2,7.87,104.2,384
,,2,,15.13,7.52,38.6,7.97,104.7,383
,,2.5,,14.91,7.51,39,7.87,104,384
,,3,,14.96,7.5,39,7.95,104.4,384
,,4,,14.76,7.48,37.6,8.05,105,384
,,5,,13.28,7.46,37.9,8.29,106,386
,,6,,11.2,7.35,38.4,8.72,104.9,390
,,7,,9.24,7.26,39.6,8.88,102.5,390
,,8,,9,7.16,39.7,8.88,101.7,398
,,9,,8.64,7.15,39.9,8.83,100.3,399
,,10,,7.19,7.03,39.7,8.66,96.5,402
,,11,,7.26,6.98,40,8.62,94.5,405
,,12,,6.96,6.94,40,8.6,93.6,406
,,13,,6.47,6.88,40,8.46,90.9,409
,,14,,5.98,6.82,40,8.39,89.2,412
,,15,,5.46,6.79,40,8.36,87.7,414
,,20,,4.52,6.72,39.9,8.26,84.5,416
,,25,,4.27,6.65,40,7.79,79,419
,,30,,4.12,6.51,40.4,6.81,68.9,423
,,32,,4.11,6.47,40.3,6.74,68.2,366
