Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Lower North Crow Reservoir -D,,,,,,,,,
,6/16/2020,0,1270,17.6,8.46,181.6,8.12,110.3,115.6
,,0.5,,17.3,8.46,181.3,8.14,109.9,120.1
,,1,,16.9,8.42,181.1,8.15,109,127.2
,,1.5,,16.7,8.36,180.7,8.15,108.3,133
,,2,,16.5,8.12,180.8,8.15,107.9,148.6
,,2.5,,15.7,7.88,180.3,8.54,110,161.4
,,3,,14.5,7.78,180.4,8.45,107.3,169.3
,,4,,13.7,7.63,178.9,7.9,98.7,172.6
,,5,,12.8,7.74,178.6,7.21,88.2,163.1
,,6,,11.9,7.87,179.4,5.48,66.2,147.4
,,7,,10.9,7.82,176.3,3.22,39.1,142.8
,,8,,9.6,7.88,175.8,1.56,18.7,136.8
,,9,,9.1,8,179.9,0.41,5.6,129.6
,,10,,8.9,8.15,184.7,0.05,0.6,112.5
,,,,,,,,,
,Date Time,Depth (m) (732915),Temperature (Â°C) (733852),pH (pH) (723014),Specific Conductivity (ÂµS/cm) (729955),RDO Concentration (mg/L) (729398),RDO Saturation (%Sat) (729398),ORP (mV) (723014),
,8/4/2020 15:25,0.1288114,22.75822,8.845129,186.8924,9.959198,148.6709,-28.50631,
,8/4/2020 15:25,0.2732955,22.40953,8.865699,183.9051,9.798629,145.2716,-27.40853,
,8/4/2020 15:25,0.2969535,22.37041,8.867619,183.56,9.78047,144.8876,-27.28657,
,8/4/2020 15:25,0.53187,21.59972,8.883172,183.2944,9.877833,144.1253,-26.68451,
,8/4/2020 15:25,0.639227,21.32428,8.89787,183.4615,10.08463,145.4684,-25.90089,
,8/4/2020 15:25,0.81376,20.87556,8.91617,183.8175,10.19316,146.5032,-25.17639,
,8/4/2020 15:25,0.8370079,20.81643,8.918777,183.8655,10.21311,146.6759,-25.06545,
,8/4/2020 15:25,0.9094929,20.63523,8.928829,183.6553,10.3515,147.6817,-24.39181,
,8/4/2020 15:25,0.9818619,20.37186,8.924552,184.0271,10.40246,148.0439,-22.91583,
,8/4/2020 15:25,0.9923752,20.33628,8.924407,184.0601,10.41335,148.1213,-22.72458,
,8/4/2020 15:25,1.127711,20.26257,8.931985,184.0105,10.47909,148.8685,-21.95256,
,8/4/2020 15:25,1.230484,20.11666,8.946297,183.8701,10.54591,149.3779,-21.27511,
,8/4/2020 15:25,1.246872,20.09808,8.948186,183.8518,10.5558,149.4625,-21.17337,
,8/4/2020 15:25,1.406226,19.96383,8.952279,183.9914,10.62389,150.0227,-20.79184,
,8/4/2020 15:25,1.491182,19.8935,8.952264,184.0899,10.68305,150.3642,-20.18427,
,8/4/2020 15:25,1.592507,19.7478,8.948555,184.1449,10.69737,150.3605,-19.84239,
,8/4/2020 15:25,1.60666,19.72898,8.948111,184.1544,10.70095,150.3704,-19.78177,
,8/4/2020 15:25,1.641847,19.68696,8.946313,184.1746,10.71682,150.3514,-19.37186,
,8/4/2020 15:25,1.712249,19.61999,8.928514,184.3281,10.72287,150.3586,-18.43639,
,8/4/2020 15:25,1.721287,19.61126,8.92643,184.3462,10.72415,150.3589,-18.31499,
,8/4/2020 15:25,1.912448,19.52916,8.920501,184.1787,10.71051,148.7854,-17.63039,
,8/4/2020 15:25,2.012722,19.32211,8.853607,182.927,10.66081,148.4716,-16.71501,
,8/4/2020 15:25,2.030993,19.29601,8.845951,182.7804,10.65474,148.3772,-16.5889,
,8/4/2020 15:25,2.197794,19.16873,8.805361,182.3327,10.58773,147.1034,-16.06817,
,8/4/2020 15:25,2.277823,19.007,8.740633,182.4318,10.49796,145.3818,-14.55086,
,8/4/2020 15:25,2.292764,18.98497,8.732194,182.4278,10.48577,145.1464,-14.36779,
,8/4/2020 15:25,2.48031,18.94102,8.712276,182.3709,10.39815,143.8122,-13.89449,
,8/4/2020 15:25,2.596339,18.72116,8.649283,182.4273,10.24192,141.009,-12.42141,
,8/4/2020 15:26,2.61616,18.69571,8.641746,182.4308,10.22164,140.6543,-12.24516,
,8/4/2020 15:26,2.837753,18.56334,8.596745,182.5748,10.10956,138.723,-11.51889,
,8/4/2020 15:26,2.947007,18.55011,8.569684,182.2788,9.856865,135.0123,-9.8236,
,8/4/2020 15:26,3.140273,18.35085,8.504818,182.193,9.76582,133.382,-9.057252,
,8/4/2020 15:26,3.165503,18.32802,8.496581,182.1721,9.74674,133.0693,-8.911281,
,8/4/2020 15:26,3.280559,18.25015,8.486481,182.2423,9.536035,129.761,-8.598122,
,8/4/2020 15:26,3.432382,18.03082,8.442153,182.2772,9.390037,127.3998,-7.685388,
,8/4/2020 15:26,3.453314,18.00377,8.436979,182.2841,9.365661,127.0101,-7.572367,
,8/4/2020 15:26,3.734371,17.72299,8.409179,182.3301,9.268997,124.9748,-6.428818,
