Site Name,Lower Sunshine - RTPD,,,,,,
Date Time,Depth (m),Temp (°C),pH (SU),Spc. Cond. (µS/cm),RDO (mg/L),RDO (%Sat),ORP (mV)
PROBE MALFUNCTION . NO PROFILE DATA COLLECTED,,,,,,,
,,,,,,,
7/20/2021 11:54,7.9,16.3,8.39,334.0,8.68,110.8,35.9
7/20/2021 11:54,7.9,16.3,8.39,334.0,8.68,110.8,35.9
7/20/2021 11:54,7.9,16.3,8.39,334.0,8.68,110.8,35.8
7/20/2021 11:54,7.9,16.2,8.40,334.3,8.70,110.8,35.5
7/20/2021 11:54,7.9,16.2,8.40,334.3,8.70,110.8,35.5
7/20/2021 11:54,7.9,16.2,8.40,334.3,8.70,110.8,35.5
7/20/2021 11:54,7.5,16.2,8.41,334.7,8.70,110.9,35.2
7/20/2021 11:54,7.5,16.2,8.41,334.7,8.71,110.9,35.2
7/20/2021 11:54,7.5,16.2,8.41,334.7,8.71,110.9,35.2
7/20/2021 11:54,7.4,16.2,8.41,334.8,8.71,110.9,35.2
7/20/2021 11:54,7.0,16.2,8.39,336.4,8.74,111.4,36.1
7/20/2021 11:54,7.0,16.2,8.39,336.5,8.74,111.4,36.1
7/20/2021 11:54,6.9,16.2,8.39,336.6,8.74,111.5,36.1
7/20/2021 11:54,6.5,16.5,8.38,338.6,8.76,112.3,36.5
7/20/2021 11:54,6.5,16.5,8.37,338.7,8.76,112.4,36.6
7/20/2021 11:54,6.4,16.5,8.37,338.9,8.76,112.4,36.6
7/20/2021 11:54,6.4,16.5,8.37,339.0,8.77,112.5,36.6
7/20/2021 11:54,6.2,16.8,8.36,340.1,8.84,113.8,37.1
7/20/2021 11:54,6.2,16.8,8.36,340.2,8.84,113.9,37.1
7/20/2021 11:54,6.2,16.8,8.36,340.3,8.84,113.9,37.1
7/20/2021 11:54,5.7,17.4,8.35,342.5,8.79,114.8,38.1
7/20/2021 11:54,5.7,17.4,8.35,342.6,8.79,114.9,38.1
7/20/2021 11:54,5.6,17.5,8.35,342.7,8.79,115.0,38.2
