Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
,,,,,,,,
6/18/2019,0,0:00,9.83,7.13,17.6,8.32,100,342
,0.5,,9.82,7.93,17.3,8.3,99.7,339
,1,,9.81,7.9,17.3,8.32,99.9,339
,1.5,,9.69,7.92,17.3,8.32,99.6,338
,2,,9.62,7.77,17.3,8.32,99.4,340
,2.5,,9.61,7.68,17.2,8.31,99.2,340
,3,,9.58,7.76,17.3,8.31,99.1,340
,4,,9.53,7.75,17.3,8.28,98.6,341
,5,,9.41,7.51,17.2,8.25,98.1,343
,6,,8.92,7.45,16.8,8.01,94.3,344
,,,,,,,,
7/23/2019,0,12:10,19.42,7.37,18,6.15,90.5,449
,0.5,,19.17,7.38,18,6.14,90,442
,1,,18.63,7.39,17.7,6.14,89,437
,1.5,,18.46,7.39,17.9,6.12,88.2,433
,2,,18.1,7.38,18.1,6.09,87.4,428
,2.5,,16.29,7.22,18,5.92,81.6,426
,3,,16.11,7.16,18,5.83,80,423
,4,,15.7,7.11,18,5.72,77.9,428
,,,,,,,,
9/11/2019,0,905,14.38,7.68,23.6,6.71,89.8,292
,0.5,,14.4,7.7,23.4,6.65,89,291
,1,,14.42,7.72,23.2,6.64,89.1,292
,1.5,,14.41,7.75,23.4,6.65,89.4,294
,2,,14.42,7.74,23.3,6.65,89.3,296
,2.5,,14.42,7.75,23.4,6.66,89.1,297
,3,,14.41,7.75,23.4,6.64,89.2,298
,4,,14.41,7.76,23.4,6.65,89.3,303
