Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Meeboer Lake - D,,,,,,,,,,
,6/3/2014,0,1407,17.3,8.59,5704,6.9,98.4,222,
,,0.5,1409,17.3,8.6,5702,6.91,98.6,217,
,,1,1411,17.3,8.51,5703,6.89,98.3,214,
,,1.5,1413,17.3,8.41,5700,6.88,98.2,213,
,,2,1414,17.3,8.57,5701,6.89,98.3,207,
,,2.2,1416,17.3,8.58,5699,6.88,98.2,114,
,,,,,,,,,,
,7/28/2014,0,1545,22.4,8.99,5307,8.99,136,236,
,,0.5,,22.6,8.97,5309,8.83,133.6,239,
,,1,,22.4,8.98,5305,8.89,134.5,240,
,,1.5,,22.4,9,5307,8.98,135.6,242,
,,2,,21.2,9.04,5278,10.71,157.1,208,
,,2.5,,20.7,9.04,5286,10.04,146.6,215,
,,3,1558,20.5,9.05,5286,10.42,151.2,109,
,,,,,,,,,,
,9/17/2014,0,1326,17,9.06,5441,9.57,135,211,
,,0.5,,15,9.17,5445,9.98,134.4,213,
,,1,,14.8,9.26,5420,10.03,134.2,213,
,,1.5,,14.2,9.26,5418,10.38,137.3,213,
,,2,,14.1,9.28,5407,10.66,140.3,186,
,,2.5,,14.1,9.23,5409,10.41,137.1,192,
,,3,1333,14,9.3,5411,10.52,138.5,190,
