Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Morrison Reservoir - D,,,,,,,,,
,6/19/2019,0.0,1445,17.60,8.50,313.8,8.71,116.50,401
,,0.5,,17.60,8.58,313.4,8.73,116.50,387
,,1.0,,17.60,8.58,313.4,8.66,115.80,380
,,1.5,,17.60,8.58,313.6,8.70,116.50,379
,,2.0,,17.70,8.58,313.5,8.73,116.90,378
,,2.5,,17.60,8.59,313.5,8.70,116.10,377
,,3.0,,17.60,8.59,313.3,8.70,116.10,376
,,4.0,,17.50,8.59,313.2,8.62,115.00,375
,,5.0,,17.10,8.51,322.2,8.00,105.00,375
,,6.0,,15.20,8.26,346.7,5.03,63.40,379
,,6.5,,15.00,8.22,347.4,4.73,59.60,379.00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
,8/6/2019,0.0,1220,21.7,9.80,250.3,7.22,102.5,312
,,0.5,,21.7,9.14,248.9,7.09,107.0,310
,,1.0,,21.4,9.17,248.4,6.89,91.3,309
,,1.5,,21.2,9.17,252.8,6.77,95.3,308
,,2.0,,21.0,9.18,247.8,6.71,93.7,307
,,2.5,,20.7,9.16,252.9,6.46,89.6,306
,,3.0,,20.1,8.45,282.6,1.77,24.2,311
,,4.0,,19.0,7.86,367.3,0.25,3.4,323
,,4.7,,,,,,,
,,,,,,,,,
,,,,,,,,,
,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
,9/9/2019,0.0,1115,17.6,8.96,264.6,6.17,81.7,280
,,0.5,,17.6,9.00,264.9,6.18,81.8,279
,,1.0,,17.6,9.02,264.5,6.21,82.1,278
,,1.5,,17.6,9.03,264.1,6.22,82.4,277
,,2.0,,17.6,9.05,264,6.25,82.7,276
,,2.5,,17.6,9.04,263.8,6.24,82.6,275
,,3.0,,17.6,9.08,263.8,6.25,82.8,273
,,4.0,,17.6,9.09,263.8,6.3,83.1,272
,,4.5,,17.6,9.10,263.8,6.29,83.2,271
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
