Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Mortenson Lake - D,,,,,,,,,,
,6/12/2014,0,1440,16.3,7.9,823,7.99,106.8,336,
,,0.5,1441,16.3,7.94,830,7.98,106.5,330,
,,1,1442,16.3,7.97,828,7.92,105.8,324,
,,1.5,1444,15.9,8.05,823,8.36,110.5,313,
,,2,1445,15.4,8.09,825,8.96,117.4,289,
,,2.2,1446,15.4,8.1,825,8.95,117.4,282,
,,,,,,,,,,
,7/28/2014,0,1454,21.37,9.23,784,8.5,124.1,197,
,,0.5,1455,21.29,9.29,783.2,8.67,126.5,197,
,,1,1456,21.18,9.33,782.8,9.22,134,197,
,,1.5,1457,20.18,9.39,777.1,11.11,158.6,197,
,,2,1459,19.98,9.4,778,11.32,160.7,171,
,,2.3,1500,19.99,9.42,777.3,11.5,163.2,79,
,,,,,,,,,,
,9/17/2014,0,1441,15.5,9.69,794.4,10.67,142.7,184,
,,0.5,,15.5,9.76,794.5,10.73,142.4,183,
,,1,,15.5,9.79,793.5,10.73,143.4,182,
,,1.5,,15.4,9.79,793.5,10.81,144.2,178,
,,2,,15,9.8,792.9,11.73,155,158,
,,2.3,1446,14.8,9.83,793.2,12.13,159.6,140,
