Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Osterman Lake - D,,,,,,,,,,
,6/3/2014,0,1545,13.9,8.93,149,7.66,99.7,210,
,,0.5,1546,13.9,8.66,148.8,7.65,99.5,207,
,,1,1547,13.9,8.5,149.5,7.63,99.3,207,
,,1.5,1549,13.9,8.53,150.9,7.48,97.1,171,
,,,,,,,,,,
,7/29/2014,0,1049,19.7,9.14,228.4,7.1,103.3,216,
,,0.5,1050,19.5,8.88,227.3,7.42,107.9,218,
,,1,1051,18.8,8.85,227,7.74,110.6,220,
,,1.5,1053,17.7,8.71,223.3,7.83,109,227,
,,,,,,,,,,
,9/16/2014,0,1358,14.9,9.76,194,11.43,146.4,170,
,,0.5,,14.7,8.57,193,13.79,174.8,187,
,,1,,12.5,9.78,200,12.32,148.6,184,
,,1.4,1402,12.1,9.28,210,9.01,107.7,190,
