Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L),D.O. (%),ORP
Pathfinder Reservior - LPD,,,,,,,,,
,7/20/2011,0.0,846,18.93,8.09,340.3,7.32,98.4,390
,,0.5,,19.22,8.1,339.9,7.32,98.5,391
,,1.0,,19.22,8.1,340.2,7.31,98.5,391
,,1.5,,19.22,8.1,340.0,7.31,98.4,391
,,2.0,,19.22,8.11,340.0,7.31,98.5,391
,,2.5,,19.22,8.12,340.0,7.32,98.5,391
,,3.0,,19.21,8.12,340.0,7.30,98.2,391
,,4.0,,19.21,8.11,340.4,7.30,98.2,391
,,5.0,,19.22,8.12,340.3,7.30,98.2,391
,,6.0,,19.21,8.13,340.8,7.29,98.2,391
,,7.0,,19.21,8.13,340.3,7.31,98.3,391
,,8.0,,19.21,8.14,340.4,7.30,98.3,391
,,9.0,,19.21,8.13,341.1,7.28,98.2,391
,,10.0,,19.21,8.14,340.8,7.29,98.2,390
,,11.0,,19.21,8.15,341.4,7.29,98.1,390
,,12.0,,19.22,8.16,341.2,7.29,98.2,390
,,13.0,,19.21,8.16,341.2,7.30,98.3,389
,,14.0,,19.21,8.16,341.2,7.29,98.1,389
,,15.0,,19.22,8.16,341.8,7.29,98.2,389
,,20.0,,16.46,7.91,368.4,6.5,82.5,393
,,25.0,,13.70,7.79,409.5,5.9,69.9,394
,,30.0,,12.55,7.71,421.3,5.34,62.1,395
,,40.0,,12.10,7.65,427.3,4.64,53.2,394
,,,,,,,,,
,7/17/2012,0.0,1105,20.70,8.38,348.2,7.52,102.3,315
,,0.5,,20.63,8.39,348.2,7.50,101.9,308
,,1.0,,20.67,8.46,348.0,7.47,101.6,305
,,1.5,,20.62,8.44,348.4,7.46,101.6,302
,,2.0,,20.61,8.47,348.6,7.45,101.3,300
,,2.5,,20.46,8.46,348.7,7.44,100.8,299
,,3.0,,20.48,8.42,348.5,7.41,100.4,297
,,4.0,,20.40,8.51,348.3,7.37,99.5,295
,,5.0,,20.37,8.46,348.4,7.29,98.5,295
,,6.0,,20.35,8.44,348.3,7.25,98,294
,,7.0,,20.34,8.44,348.5,7.23,97.6,293
,,8.0,,20.34,8.46,348.4,7.21,97.5,292
,,9.0,,20.33,8.46,348.4,7.20,97.3,291
,,10.0,,20.32,8.45,348.8,7.19,97,290
,,11.0,,20.32,8.47,348.4,7.18,96.9,289
,,12.0,,20.29,8.47,348.5,7.16,96.6,289
,,13.0,,20.27,8.47,348.5,7.12,95.9,289
,,14.0,,20.43,8.45,348.3,7.03,94.6,288
,,15.0,,20.10,8.41,348.6,6.86,92.2,289
,,20.0,,16.50,8.01,346.2,5.53,68.1,301
,,25.0,,15.53,7.82,346.7,4.62,56.6,305
,,30.0,,15.20,7.73,346.5,4.1,48.8,307
,,36.0,,14.95,7.6,405.9,1.55,18.5,90
,,,,,,,,,
,7/9/2013,0.0,727,20.44,8.12,429.9,7.75,106.5,396
,,0.5,,20.46,8.24,429.9,7.73,106.5,394
,,1.0,,20.46,8.26,429.9,7.74,106.6,393
,,1.5,,20.45,8.26,430.1,7.76,106.7,392
,,2.0,,20.46,8.25,429.8,7.75,106.8,391
,,2.5,,20.45,8.25,429.8,7.73,106.5,390
,,3.0,,20.46,8.25,429.8,7.72,106.2,390
,,4.0,,20.38,8.24,429.8,7.72,106.1,388
,,5.0,,20.26,8.25,429.7,7.71,105.9,387
,,6.0,,20.07,8.24,429.2,7.72,105.3,385
,,7.0,,19.76,8.22,428.6,7.74,104.9,385
,,8.0,,19.27,8.2,428.3,7.76,104,385
,,9.0,,18.56,8.14,427.4,7.41,98.2,385
,,10.0,,17.77,8.09,427.1,7.19,93.5,385
,,11.0,,17.42,8.06,426.3,7.04,90.9,385
,,12.0,,16.96,8.03,426.6,6.90,88.2,385
,,13.0,,16.50,8,426.2,6.83,86.3,385
,,14.0,,15.84,7.97,424.8,6.82,85.1,385
,,15.0,,15.58,7.94,425.1,6.77,84.1,385
,,20.0,,14.83,7.79,425.3,6.04,73.2,386
,,25.0,,14.31,7.61,426.7,4.91,59.1,388
,,30.0,,14.06,7.52,427.9,3.91,46.9,388
,,,,,,,,,
,6/13/2016,0.0,800,18.08,8.3,420.0,7.48,98.3,439
,,0.5,,18.04,8.31,421.0,7.49,98.4,440
,,1.0,,18.03,8.32,421.0,7.48,98.1,441
,,1.5,,18.03,8.33,421.0,7.47,98,442
,,2.0,,18.02,8.34,421.0,7.46,97.9,443
,,2.5,,18.02,8.35,421.0,7.48,98.1,444
,,3.0,,18.00,8.35,421.0,7.47,97.9,445
,,4.0,,17.34,8.33,420.0,7.63,98.5,447
,,5.0,,15.81,8.31,416.0,7.67,96,450
,,6.0,,13.81,8.29,414.0,7.62,91.9,453
,,7.0,,13.36,8.29,415.0,7.74,91.5,455
,,8.0,,12.74,8.3,414.0,7.76,90.7,458
,,9.0,,12.21,8.29,414.0,7.71,89,459
,,10.0,,11.83,8.29,414.0,7.67,88,461
,,11.0,,11.51,8.29,414.0,7.7,87.5,462
,,12.0,,11.38,8.29,413.0,7.66,86.8,463
,,13.0,,11.12,8.29,413.0,7.69,86.7,465
,,14.0,,10.97,8.29,413.0,7.68,86.2,467
,,15.0,,10.76,8.29,413.0,7.64,85.4,469
,,20.0,,10.25,8.25,412.0,7.43,82,472
,,25.0,,9.98,8.23,411.0,7.26,79.6,475
,,30.0,,9.88,8.21,411.0,7.15,78.2,477
,,39.0,,9.74,8.2,412.0,7.05,76.7,481
,,,,,,,,,
,7/18/2016,0.0,800,19.39,8.33,425.0,7.02,94.3,478
,,0.5,,19.39,8.34,425.0,7.03,94.5,478
,,1.0,,19.38,8.34,425.0,7,94.2,479
,,1.5,,19.38,8.35,425.0,7.03,94.4,479
,,2.0,,19.38,8.35,425.0,7.01,94.3,480
,,2.5,,19.37,8.35,425.0,7.01,94.2,480
,,3.0,,19.36,8.35,425.0,7,94.2,481
,,4.0,,19.26,8.35,424.0,6.97,93.2,482
,,5.0,,19.15,8.34,424.0,6.91,92.5,482
,,6.0,,19.10,8.33,424.0,6.89,92.1,483
,,7.0,,19.03,8.33,424.0,6.87,91.8,484
,,8.0,,18.99,8.34,424.0,6.9,92,485
,,9.0,,18.92,8.33,424.0,6.85,91.4,486
,,10.0,,18.59,8.28,422.0,6.64,87.7,487
,,11.0,,18.31,8.25,422.0,6.53,85.8,488
,,12.0,,18.13,8.23,422.0,6.43,84.3,489
,,13.0,,17.82,8.21,422.0,6.36,82.7,490
,,14.0,,17.56,8.19,422.0,6.32,81.9,491
,,15.0,,17.29,8.17,421.0,6.28,80.9,492
,,20.0,,15.35,8.04,419.0,5.84,72.3,495
,,25.0,,13.23,7.92,417.0,5.32,62.6,497
,,30.0,,12.69,7.88,416.0,4.97,57.8,499
,,38.0,,12.49,7.86,416.0,4.69,54.4,502
,,,,,,,,,
,9/12/2016,0.0,830,17.41,8.33,427.0,6.71,87.1,311
,,0.5,,17.44,8.33,428.0,6.74,87.5,310
,,1.0,,17.45,8.33,428.0,6.75,87.7,310
,,1.5,,17.46,8.32,428.0,6.74,87.6,310
,,2.0,,17.46,8.32,428.0,6.73,87.4,310
,,2.5,,17.45,8.32,428.0,6.75,87.5,310
,,3.0,,17.43,8.32,428.0,6.75,87.6,310
,,4.0,,17.47,8.32,429.0,6.7,87.1,310
,,5.0,,17.47,8.32,428.0,6.72,87.4,310
,,6.0,,17.46,8.32,428.0,6.73,87.4,311
,,7.0,,17.46,8.32,428.0,6.73,87.4,311
,,8.0,,17.46,8.33,428.0,6.73,87.4,311
,,9.0,,17.46,8.32,428.0,6.72,87.4,312
,,10.0,,17.46,8.32,428.0,6.71,87.1,312
,,11.0,,17.46,8.32,428.0,6.71,87.1,312
,,12.0,,17.46,8.32,428.0,6.71,87.1,313
,,13.0,,17.46,8.32,428.0,6.72,87.4,313
,,14.0,,17.47,8.32,428.0,6.73,87.3,314
,,15.0,,17.45,8.32,428.0,6.69,86.7,314
,,20.0,,17.41,8.3,428.0,6.59,85.6,315
,,25.0,,17.35,8.25,428.0,6.2,80.7,315
,,30.0,,16.83,7.91,428.0,4.02,50.3,317
,,40.0,,16.03,7.51,426.0,0.19,2.4,318
,,,,,,,,,
,6/12/2017,0,7:25:00,15.48,8.21,415,7.63,95.5,358
,,0.5,,15.47,8.24,415,7.62,95.5,357
,,1,,15.44,8.25,415,7.62,95.4,357
,,1.5,,15.37,8.27,415,7.62,95.2,357
,,2,,15.28,8.28,415,7.61,95.0,357
,,2.5,,15.20,8.29,415,7.60,94.7,357
