Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Pathfinder Reservoir - RPD,,,,,,,,,
,7/20/2011,0.0,1358,18.28,7.7,246.1,7.17,94.7,379
,,0.5,,18.20,7.68,246.7,7.12,94,380
,,1.0,,18.09,7.67,255.0,7.12,93.5,381
,,1.5,,17.83,7.71,265.7,7.02,91.7,381
,,2.0,,17.88,7.72,249.9,7.01,92.5,381
,,2.5,,17.83,7.71,267.9,7.03,91.7,381
,,3.0,,17.84,7.79,261.2,7.04,91.9,380
,,4.0,,17.61,7.76,281.1,6.96,90.2,381
,,5.0,,17.64,7.77,272.1,6.92,90.2,380
,,6.0,,17.31,7.76,287.7,6.84,88.5,380
,,7.0,,17.45,7.75,293.8,6.89,88.9,380
,,8.0,,16.94,7.76,300.0,6.63,85.7,380
,,9.0,,16.93,7.76,308.4,6.63,85,381
,,10.0,,16.32,7.76,335.6,6.41,81.4,381
,,11.0,,16.04,7.76,345.3,6.29,79.4,381
,,12.0,,16.02,7.79,351.4,6.26,78.8,381
,,13.0,,15.75,7.79,362.9,6.25,78.2,381
,,14.0,,15.48,7.79,369.7,6.18,76.9,382
,,15.0,,15.29,7.79,373.1,6.16,76.3,382
,,20.0,,13.31,7.58,403.3,4.33,51.4,385
,,,,,,,,,
,7/17/2012,0.0,1450,19.10,8.23,352.8,7.24,95.2,244
,,0.5,,19.08,8.24,352.1,7.21,94.9,242
,,1.0,,18.97,8.24,351.8,7.18,94.4,241
,,1.5,,18.94,8.24,351.8,7.18,94.2,240
,,2.0,,18.73,8.23,352.0,7.14,93.5,239
,,2.5,,18.65,8.26,351.8,7.11,93.8,238
,,3.0,,18.51,8.22,351.8,7.07,92,238
,,4.0,,18.40,8.23,351.9,7.04,91.4,238
,,5.0,,18.24,8.21,352.2,6.25,89.9,238
,,6.0,,18.21,8.19,351.9,6.92,89.5,239
,,7.0,,18.18,8.21,351.6,6.85,88.4,238
