Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Phillips Lake - D,,,,,,,,,
,6/16/2013,0,847,16.07,8.71,498,7.15,93.1,384
,,0.5,848,16.01,8.71,498.4,7.07,91.9,382
,,1,849,15.96,8.53,497.8,6.96,90.4,384
,,1.5,850,15.84,8.44,498.2,6.94,90,352
,,1.8,851,15.7,8.39,498,7.06,91.2,339
,,,,,,,,,
,7/29/2013,0,808,18.52,9.19,379,7.25,99.8,227
,,0.5,809,18.53,9.12,379,7.25,99.9,229
,,1,811,18.55,9.1,379,7.27,100,229
,,1.3,812,18.56,9.08,378.6,7.39,101.7,187
,,,,,,,,,
,9/16/2013,0,926,14.7,9.45,351,8.29,104.7,206
,,0.5,927,14.7,9.43,351,8.27,104.5,205
,,1,928,14.5,9.41,351,8.31,104.8,191
,,1.5,929,14.5,9.41,351,8.47,106.7,176
,,1.7,930,14.5,9.4,351,8.48,106.8,172
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
