Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Pilot Butte Reservoir - LPD,,,,,,,,,
,6/11/2013,0,16:13,16.96,7.76,190,8.54,114.6,372
,,0.5,16:13,16.93,7.91,190.1,8.66,115.9,363
,,1,16:13,16.91,7.9,189.2,8.77,117.7,356
,,1.5,16:13,16.91,7.93,190.5,8.79,117.9,348
,,2,16:13,16.89,7.95,190.3,8.84,118.3,345
,,2.5,16:13,16.81,7.98,188.8,8.83,118.4,344
,,3,16:13,16.83,8.02,189.2,8.85,118.5,342
,,4,16:13,16.89,8.1,191.7,8.9,119.1,339
,,5,16:13,16.91,8.06,191.5,8.9,119.2,339
,,6,16:13,16.9,8.02,191.2,8.91,119.5,338
,,7,16:13,16.94,8.01,192.4,8.93,119.6,338
,,8,16:13,16.81,8.01,193.2,8.99,120.1,337
,,9,16:13,16.81,8.02,193.6,8.98,119.9,336
,,10,16:13,16.21,7.95,199.1,8.91,117.1,337
,,11,16:13,13.51,7.82,213.2,8.81,109,340
,,12,16:13,12.96,7.79,216.5,8.62,105.4,340
,,13,16:13,12.81,7.77,217,8.42,102.7,340
,,14,16:13,12.76,7.77,217.8,8.3,101.4,339
,,15,16:13,12.58,7.77,218.9,8.19,99.6,339
,,18,16:13,12.24,7.73,221.4,7.72,93,340
,,,,,,,,,
,7/15/2013,0,18:23,22.27,8.36,166.7,8.12,114.6,435
,,0.5,18:23,22.09,8.33,166.5,8.08,113.9,435
,,1,18:24,20.81,8.37,165.1,8.16,111.8,433
,,1.5,18:25,20.39,8.31,165.9,8.01,108.9,433
,,2,18:26,20.24,8.26,165.5,7.96,107.5,424
,,2.5,18:26,20.08,8.23,165.5,7.85,106.1,434
,,3,18:27,20.06,8.21,166,7.84,105.8,434
,,4,18:27,19.61,8.06,166.2,7.59,100.5,435
,,5,18:28,19.25,7.92,166.8,7.08,94.1,436
,,6,18:29,18.81,7.87,167.4,6.94,91.5,436
,,7,19:31,18.59,7.91,168.5,7.02,92.1,435
,,8,18:32,18.3,7.84,169.1,6.86,88.9,436
,,9,18:32,18.04,7.81,170.6,6.69,86.5,437
,,10,18:33,17.86,7.79,170.7,6.61,85.1,436
