Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Rob Roy Reservoir - LPD,,,,,,,,,
,,,,,,,,,
,6/19/2018,0,12:24:00,11.4,6.61,26.1,6.93,89.8,329
,,0.5,,11.4,6.91,26.1,6.93,89.6,330
,,1,,11.3,6.76,26.2,6.91,89.4,336
,,1.5,,11.3,6.83,26.0,6.93,89.6,337
,,2,,11.2,6.87,26.2,6.90,89.1,339
,,2.5,,11.2,6.88,26.2,6.89,88.7,340
,,3,,11.2,6.90,26.1,6.88,88.5,338
,,4,,11.0,6.89,26.1,6.83,87.5,342
,,5,,11.0,7.00,26.2,6.79,87.3,337
,,6,,10.9,6.86,26.1,6.81,87.0,342
,,7,,10.0,6.75,26.2,6.66,84.1,344
,,8,,9.3,6.67,26.5,6.68,82.2,348
,,9,,8.8,6.50,26.6,6.65,80.9,351
,,10,,8.6,6.52,26.3,6.64,80.5,353
,,11,,7.8,6.48,26.3,6.64,78.8,355
,,12,,7.4,6.44,26.2,6.64,77.8,356
,,13,,7.0,6.37,26.5,6.58,76.8,358
,,14,,6.5,6.34,26.4,6.53,75.2,360
,,15,,6.4,6.32,26.5,6.52,74.9,361
,,19.5,12:44:00,5.5,6.21,26.3,6.35,71.2,363
,,,,,,,,,
,8/8/2018,0,15:50:00,17.20,7.50,26.6,6.67,97.6,318
,,0.5,,17.10,7.43,26.6,6.67,97.6,318
,,1,,17.00,7.39,26.7,6.63,97.0,317
,,1.5,,16.80,7.37,26.3,6.63,96.4,318
,,2,,16.60,7.32,26.3,6.62,95.7,318
,,2.5,,16.40,7.29,26.4,6.62,95.2,318
,,3,,16.40,7.28,26.3,6.61,95.1,316
,,4,,16.20,7.22,26.4,6.54,93.9,318
,,5,,15.90,7.19,26.3,6.47,92.3,318
,,6,,15.80,7.22,26.3,6.45,91.6,316
,,7,,15.30,7.10,26.3,6.15,86.7,316
,,8,,14.60,6.95,26.5,5.75,78.2,322
,,9,,12.10,6.71,26.3,4.28,55.6,326
,,10,,10.50,6.58,26.2,4.21,53.0,328
,,11,,9.76,6.49,26.3,4.25,52.8,330
,,12,,8.82,6.43,26.4,4.42,53.5,332
,,13,,8.44,6.39,26.1,4.64,55.7,333
,,14,,8.23,6.37,26.0,4.88,58.2,334
,,15,,7.92,6.37,26.0,5.01,59.3,335
,,18.5,bottom,6.81,6.30,26.1,4.98,57.3,337
,,,,,,,,,
,9/5/2018,0,13:50:00,14.16,8.10,30.2,7.09,80.0,247
,,0.5,,14.02,7.85,30.1,7.05,79.6,256
,,1,,13.90,7.77,29.9,7.03,78.7,257
,,1.5,,13.31,7.69,29.9,6.95,77.3,259
,,2,,13.20,7.64,30.0,6.95,76.9,260
,,2.5,,13.18,7.60,29.8,6.92,76.6,261
,,3,,13.16,7.55,29.8,6.92,76.6,262
,,4,,13.12,7.52,29.9,6.92,76.5,263
,,5,,13.06,7.49,29.9,6.91,76.3,264
,,6,,12.92,7.45,29.8,6.84,75.2,265
,,7,,12.91,7.41,29.9,6.82,75.0,265
,,8,,12.89,7.36,29.7,6.79,74.8,267
,,9,,12.85,7.32,29.9,6.71,73.7,269
,,10,,12.82,7.28,29.9,6.70,73.6,270
,,11,,12.46,7.22,29.9,6.34,68.6,272
,,12,,11.96,7.09,29.9,5.31,57.2,275
,,13,,9.56,6.93,29.6,3.93,39.9,281
,,14,,8.34,6.79,29.4,3.92,38.8,286
,,15,,8.06,6.74,29.2,4.12,40.4,288
,,20,14:08:00,6.86,6.60,29.0,4.13,39.3,294
