Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Rob Roy Reservoir - RTPD,,,,,,,,,
,,,,,,,,,
,6/19/2018,0,13:19:00,11.6,7.21,26.4,6.93,90.1,341
,,0.5,,11.59,7.17,26.2,6.93,90.3,342
,,1,,11.59,7.12,26.2,6.92,90,343
,,1.5,,11.59,7.12,26.4,6.9,89.8,343
,,2,,11.59,7.13,26.4,6.9,89.8,343
,,2.5,,11.59,7.07,26.2,6.91,89.7,344
,,3,,11.59,7.08,26.2,6.92,89.8,344
,,4,,11.58,7.07,26.4,6.9,89.8,345
,,5,,11.59,7.04,26.2,6.89,89.6,345
,,6,,11.53,7.05,26.2,6.91,89.8,348
,,7,,11.52,7.01,26,6.87,89.4,347
,,8,,10.4,6.93,26.1,6.76,85,352
,,9,,9.62,6.85,26.3,6.68,83,353
,,10,,9.02,6.78,26.3,6.56,80.4,355
,,11,,8.79,6.74,26.4,6.59,80.1,356
,,12,,8.54,6.7,26.2,6.58,79.5,356
,,13,,8.37,6.68,26.1,6.56,79.1,356
,,14,,8.18,6.65,26.3,6.56,78.7,357
,,15,13:43:00,7.97,6.62,26.3,6.53,77.8,358
,,,,,,,,,
,8/8/2018,0,16:35:00,16.7,7.53,27.1,6.63,96.4,338
,,0.5,,16.7,7.42,27.1,6.61,95.9,341
,,1,,16.7,7.39,27.1,6.61,95.7,341
,,1.5,,16.6,7.38,27.1,6.60,95.4,339
,,2,,16.4,7.35,27.0,6.58,94.8,339
,,2.5,,16.2,7.33,26.9,6.52,93.4,338
,,3,,15.9,7.29,27.1,6.44,91.9,339
,,4,,15.7,7.20,27.0,6.35,90.2,340
,,5,,15.3,7.06,27.0,5.80,81.6,341
,,6,,15.0,6.94,27.1,5.54,77.6,343
,,7,,14.9,6.87,27.2,5.55,77.4,344
,,8,,14.2,6.76,26.9,4.89,67.0,345
,,9,,13.2,6.62,27.0,4.30,57.7,347
,,10,,12.0,6.52,26.8,4.03,52.7,349
,,11,,10.8,6.45,26.9,3.95,50.2,351
,,12,,9.1,6.38,27.0,3.95,48.0,353
,,13,,8.6,6.32,26.7,4.05,48.8,354
,,14,,8.4,6.28,26.7,4.20,50.3,356
,,14.5,bottom,,,,,,
,,,,,,,,,
,9/5/2018,0,15:15:00,13.6,7.64,30.4,6.89,77.0,318
,,0.5,,13.6,7.30,30.4,6.87,76.9,332
,,1,,13.5,7.27,30.2,6.90,76.9,334
,,1.5,,13.5,7.27,30.4,6.86,76.3,333
,,2,,13.2,7.25,30.4,6.78,74.9,333
,,2.5,,12.9,7.22,30.3,6.74,74.0,334
,,3,,12.9,7.18,30.4,6.66,73.2,333
,,4,,12.8,7.17,30.2,6.64,72.7,334
,,5,,12.8,7.14,30.2,6.58,72.1,333
,,6,,12.7,7.12,30.4,6.49,71.0,331
,,7,,12.7,7.09,30.3,6.57,71.9,330
,,8,,12.6,7.06,30.2,6.58,72.0,331
,,9,,12.6,7.04,30.3,6.62,72.4,332
,,10,,12.6,7.03,30.2,6.64,72.5,333
,,11,,12.5,7.01,30.4,6.59,71.6,333
,,12,,12.4,6.98,30.4,6.47,70.2,334
,,13,,8.5,6.62,30.7,3.05,30.2,342
,,14,,8.0,6.55,30.3,3.15,31.0,343
,,15,15:33:00,7.6,6.51,30.5,3.17,30.7,345
