Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Rock Lake - D,,,,,,,,,
,,,,,,,,,
,6/24/2015,0,16:14:00,23.64,8.41,1141,7.59,107.5,43
,,0.5,16:16:00,23.62,8.41,1141,7.58,107.7,42
,,1,16:18:00,23.63,8.41,1141,7.61,108.1,42
,,1.5,16:19:00,23.61,8.41,1141,7.64,108.6,50
,,2,16:21:00,23.42,8.41,1141,7.78,109.8,44
,,2.5,16:24:00,23,8.38,1141,7.22,101.2,43
,,3,16:26:00,22.83,8.35,1141,6.91,96.9,41
,,3.3,16:28:00,22.77,8.34,1141,6.78,94,40
,,,,,,,,,
,8/5/2015,0.192,13:43:53,22.94,8.19,1149,6.1,85.7,84
,,0.521,13:45:58,22.19,8.21,1148,5.88,81.4,82
,,0.983,13:47:15,21.59,8.22,1145,5.97,81.8,80
,,1.537,13:49:21,21.37,8.22,1145,5.89,80.3,79
,,2.038,13:50:53,21.24,8.2,1145,5.53,75.1,78
,,2.509,13:52:05,21,8.14,1146,4.67,63.2,78
,,3.05,13:53:56,20.87,8.15,1142,4.9,66.2,76
,,3.516,13:55:03,20.87,8.15,1142,4.99,67.3,75
,,,,,,,,,
,9/3/2015,0.252,13:57:21,22.04,8.37,1138,7.97,110.6,135
,,0.501,13:59:23,21.39,8.34,1138,7.51,102.8,135
,,1.006,14:02:43,20.61,8.34,1136,7.34,98.9,134
,,1.53,14:04:52,20.46,8.35,1139,7.34,98.7,133
,,2.031,14:07:07,20.38,8.35,1139,7.33,98.3,133
,,2.202,14:10:08,20.37,8.35,1139,7.33,98.3,132
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
