Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Seminoe Reservoir - LPD,,,,,,,,,
,6/11/2013,0,6:50,13.87,7.79,418.7,8.56,107.1,230
,,0.5,6:50,13.89,7.86,418.6,8.56,107.5,241
,,1,6:50,13.9,7.93,418.8,8.54,107.3,244
,,1.5,6:50,13.88,7.99,419.4,8.56,107.2,247
,,2,6:50,13.85,8.02,420.2,8.56,107.5,249
,,2.5,6:50,13.82,8.04,421.9,8.56,107.1,251
,,3,6:50,13.65,8.09,424.5,8.58,106.9,254
,,4,6:50,13.29,8.08,423.3,8.6,106.5,257
,,5,6:50,13.25,8.08,423.7,8.61,106.6,259
,,6,6:50,13.03,8.09,426.1,8.64,105.9,261
,,7,6:50,12.56,8.07,428.7,8.63,104.8,263
,,8,6:50,12.17,8.07,430.4,8.59,103.7,266
,,9,6:50,12.11,8.07,428.9,8.57,103.4,267
,,10,6:50,12.08,8.07,427.7,8.55,102.9,269
,,11,6:50,11.6,8.04,424.5,8.49,101,270
,,12,6:50,11.2,8.03,422.2,8.49,100,272
,,13,6:50,11.04,8.03,426.3,8.51,99.9,273
,,14,6:50,11.01,8.03,427,8.52,100,274
,,15,6:50,10.98,8.03,427.9,8.54,100.1,275
,,20,6:50,10.62,8.04,431.1,8.61,100.1,276
,,25,6:50,10.22,8.04,433.5,8.66,99.9,277
,,30,6:50,9.72,8.03,434.8,8.71,99.2,278
,,40,6:50,8.21,7.96,435.9,8.7,95.2,280
,,44,6:50,8.01,7.93,435.8,8.51,92.8,281
,,,,,,,,,
,7/8/2013,0,16:07,20.4,8.33,392,7.68,107.7,394
,,0.5,16:07,20.39,8.26,392.8,7.67,107.8,394
,,1,16:08,20.39,8.28,391.7,7.65,107.1,394
,,1.5,16:09,20.39,8.33,392.1,7.66,107.5,392
,,2,16:09,20.4,8.33,391.9,7.63,106.8,392
,,2.5,16:10,20.39,8.34,391.8,7.66,107.6,391
,,3,16:11,20.39,8.34,392.1,7.67,107.6,391
,,4,16:11,20.35,8.32,391.4,7.63,107.2,390
,,5,16:12,18.96,8.21,392.1,7.43,100.5,392
,,6,16:13,18.04,8.11,394.2,7.1,94.6,393
,,7,16:13,16.56,7.94,387.5,6.99,88.2,395
,,8,16:14,16.26,7.94,388,6.69,86.1,395
,,9,16:14,16.14,7.95,388,6.76,86.8,395
,,10,16:15,16.04,7.96,388.5,6.82,87.4,394
,,11,16:15,15.88,7.98,388.2,7,89.5,394
,,12,16:16,15.81,7.99,384,7.05,90,394
,,13,16:17,15.75,7.99,384.1,7.13,90.6,394
,,14,16:18,15.62,7.99,376.6,7.15,90.8,394
,,15,16:18,15.54,7.98,374.6,7.14,90.5,394
,,20,16:19,14.97,7.93,367.8,7.07,88.4,394
,,25,16:20,14.48,7.89,365.4,6.95,86.2,395
,,30,16:21,13.79,7.82,364.2,6.73,81.9,396
,,33,16:22,13.56,7.81,365.6,6.6,80.1,396
,,,,,,,,,
,9/16/2013,0,18:08,19.04,8.02,386.9,6.75,91.6,362
,,0.5,18:08,19.02,8,387.2,6.65,90.5,387
,,1,18:08,19.01,8,387.2,6.52,88.8,387
,,1.5,18:08,19.02,8.18,386.8,6.57,89.5,385
,,2,18:08,19.01,8.18,386.7,6.59,89.9,384
,,2.5,18:08,19.01,8.17,387.1,6.58,89.8,384
,,3,18:08,19.01,8.16,387,6.6,89.7,384
,,4,18:08,18.95,8.15,386.6,6.56,89.2,383
,,5,18:08,18.93,8.14,386.5,6.55,89.3,383
,,6,18:08,18.9,8.14,386.8,6.54,89,383
,,7,18:08,18.89,8.14,386.7,6.58,89.7,383
,,8,18:08,18.88,8.12,386.5,6.63,90,383
,,9,18:08,18.86,8.15,386.8,6.54,88.8,383
,,10,18:08,18.82,8.14,387,6.48,87.9,383
,,11,18:08,18.66,8.11,387.2,6.49,87.1,383
,,12,18:08,18.65,8.11,386.3,6.3,85.2,383
,,13,18:08,18.64,8.11,385.9,6.25,84.6,383
,,14,18:08,18.63,8.1,386.6,6.2,83.9,383
,,15,18:08,18.62,8.1,386.6,6.19,83.8,383
,,20,18:08,18.54,8.07,386,6.03,81.4,386
,,25,18:08,18.38,7.91,385.5,5.36,72.1,388
,,30,18:08,17.65,7.63,380.1,3.5,45.5,391
,,36,18:08,15.99,7.32,378.1,0.86,11.2,352
,,,,,,,,,
,6/11/2014,0,630,14.9,7.47,259,7.5,94.2,365
,,0.5,,14.9,7.45,259,7.47,94,367
,,1,,14.9,7.42,258,7.45,93.7,369
,,1.5,,14.9,7.42,258,7.43,93.4,370
,,2,,14.9,7.42,258,7.41,93.2,370
,,2.5,,14.9,7.43,258,7.43,93.6,370
,,3,,14.9,7.44,259,7.41,93.3,370
,,4,,14.9,7.44,258,7.43,93.6,370
,,5,,14.9,7.45,258,7.43,93.5,370
,,6,,14.7,7.45,259,7.42,92.8,371
,,7,,14.6,7.45,260,7.39,92.3,371
,,8,,14.5,7.45,260,7.37,91.9,371
,,9,,14.4,7.45,259,7.33,91.2,371
,,10,,14.2,7.44,260,7.31,90.5,371
,,11,,14.2,7.44,259,7.25,89.9,371
,,12,,14.1,7.44,259,7.26,89.6,371
,,13,,14,7.43,261,7.4,89.3,371
,,14,,13.8,7.43,263,7.25,89,371
,,15,,13.6,7.42,259,7.2,87.8,372
,,20,,13.1,7.39,270,7.15,86.1,372
,,25,,11.3,7.42,307,7.47,87.2,374
,,30,,10.4,7.46,323,7.66,87.2,374
,,35,,9.7,7.49,332,7.69,86.1,375
,,40,,8.56,7.52,365,7.74,84.3,375
,,45,,8.24,7.54,373,7.58,81.7,376
,,,,,,,,,
,7/14/2014,0,1747,19.4,7.99,244.8,6.86,93.6,463
,,0.5,,19.43,7.96,244.9,6.86,93.7,487
,,1,,19.41,7.97,245,6.84,93.4,477
,,1.5,,19.31,7.75,245.3,6.83,93.3,467
,,2,,19.31,7.75,244.8,6.82,93,466
,,2.5,,19.14,8.01,244.4,6.76,91.6,461
,,3,,18.66,8.03,244.4,6.68,89.4,457
,,4,,18.12,7.86,244.4,6.53,86.8,456
,,5,,17.83,7.8,245.1,6.49,85.6,455
,,6,,17.82,7.77,244.3,6.49,85.9,454
,,7,,17.13,7.71,244.9,6.31,82,455
,,8,,16.34,7.64,241.4,6.22,79.6,455
,,9,,16.23,7.64,240.3,6.19,79,454
,,10,,15.84,7.62,239.3,6.19,78.3,454
,,11,,15.65,7.61,240,6.15,77.6,454
,,12,,15.54,7.61,241.5,6.16,77.4,453
,,13,,15.41,7.6,239.7,6.17,77.4,453
,,14,,15.37,7.59,240.5,6.16,77.5,453
,,15,,15.34,7.58,239.5,6.21,77.6,452
,,20,,15.04,7.58,240.6,6.09,75.7,452
,,25,,14.76,7.53,240.1,5.97,73.7,452
,,30,,14.49,7.51,241.1,5.82,71.5,452
,,35,,14.17,7.47,242.6,5.61,68.2,453
,,40,,13.95,7.45,245.1,5.39,65.5,454
,,42,,13.89,7.44,244.8,5.32,64.5,454
,,,,,,,,,
,9/9/2014,0,743,17.3,7.79,267,5.8,76.8,378
,,0.5,,17.4,7.77,267,5.8,77,380
,,1,,17.4,7.75,267,5.8,77,382
,,1.5,,17.4,7.75,267,5.79,76.8,382
,,2,,17.4,7.75,267,5.79,76.8,383
,,2.5,,17.4,7.75,267,5.78,76.5,383
,,3,,17.4,7.75,267,5.76,76.4,384
,,4,,17.4,7.75,267,5.76,76.5,384
,,5,,17.4,7.74,268,5.78,76.7,384
,,6,,17.4,7.74,267,5.77,76.6,385
,,7,,17.4,7.75,268,5.75,76.4,384
,,8,,17.4,7.73,268,5.63,74.9,385
,,9,,17.3,7.71,266,5.3,70.2,385
,,10,,17.3,7.68,267,5.17,68.4,386
,,11,,17.3,7.67,267,5.2,68.8,386
,,12,,17.2,7.67,273,5.23,69.1,386
,,13,,17.2,7.67,270,5.23,69.1,387
,,14,,17.2,7.66,272,5.15,68.1,387
,,15,,17.2,7.65,273,5.15,68,387
,,20,,17.1,7.63,272,5.04,66.4,388
,,25,,17,7.54,279,4.56,60,390
,,30,,16.7,7.4,276,3.54,46.3,393
,,36,,15.8,7.17,273,1.79,22.8,396
,,,,,,,,,
,6/15/2015,0,1512,16.9,8.11,360,7.47,97.2,371
,,0.5,,16.9,8.12,360,7.45,97.2,369
,,1,,16.8,8.18,360,7.47,96.8,367
,,1.5,,16.7,8.16,360,7.47,96.9,367
,,2,,16.8,8.2,360,7.46,97,367
,,2.5,,16.6,8.2,360,7.48,96.6,367
,,3,,16.6,8.2,360,7.49,96.7,367
,,4,,15.4,8.17,358,7.41,93.4,370
,,5,,15.2,8.15,356,7.39,92.8,371
,,6,,15,8.14,356,7.42,92.8,372
,,7,,14.4,8.13,356,7.42,91.6,374
,,8,,14.2,8.13,357,7.45,91.5,374
,,9,,13.9,8.12,358,7.48,91.1,375
,,10,,13.5,8.13,358,7.56,91.2,376
,,11,,13.4,8.13,358,7.6,91.4,377
,,12,,13.2,8.13,358,7.63,91.6,377
,,13,,12.7,8.13,358,7.68,91.2,378
,,14,,12.6,8.13,358,7.69,91.1,378
,,15,,12.5,8.13,358,7.71,91.3,379
,,20,,11.6,8.11,357,7.78,90,381
,,25,,10.6,8.07,357,7.85,88.8,384
,,30,,10,8.04,363,7.8,87,386
,,40,,9.3,8,365,7.71,84.6,389
,,,,,,,,,
,7/21/2015,0,1250,19.44,8.1,369,6.96,96,584
,,0.5,,19.45,8.11,368,6.94,95.7,584
,,1,,19.44,8.13,369,6.95,96,585
,,1.5,,19.42,8.14,369,6.93,95.6,586
,,2,,19.41,8.16,369,6.94,95.8,586
,,2.5,,19.41,8.14,369,6.92,95.5,587
,,3,,19.37,8.14,369,6.92,95.5,587
,,4,,19.27,8.13,369,6.83,94,588
,,5,,19.07,8.1,369,6.73,92.3,589
,,6,,19.03,8.1,368,6.71,91.9,590
,,7,,18.99,8.1,369,6.68,91.6,591
,,8,,18.99,8.1,368,6.7,91.6,591
,,9,,18.94,8.09,368,6.62,90.4,592
,,10,,18.9,8.09,369,6.63,90.5,592
,,11,,18.87,8.09,369,6.59,89.9,592
,,12,,18.86,8.09,369,6.56,89.5,593
,,13,,18.78,8.07,369,6.5,88.4,593
,,14,,18.38,8.03,369,6.28,84.8,594
,,15,,17.99,8,369,6.18,82.8,594
,,20,,13.7,7.89,371,6.41,78.3,599
,,25,,12.66,7.93,374,6.66,79.3,602
,,30,,12.06,7.89,387,6.4,75.2,604
,,40,,11.5,7.81,405,5.88,68.3,604
,,42,,11.44,7.81,406,5.85,67.8,606
,,,,,,,,,
,9/23/2015,0,950,16.78,7.97,381,6.45,84,538
,,0.5,,16.78,8,382,6.44,83.8,539
,,1,,16.75,8.02,382,6.46,84.1,540
,,1.5,,16.75,8.08,381,6.47,84.2,541
,,2,,16.72,8.1,381,6.45,83.9,542
,,2.5,,16.8,8.13,381,6.46,83.8,545
,,3,,16.73,8.13,381,6.4,83.3,546
,,4,,16.7,8.14,381,6.38,83,548
,,5,,16.69,8.14,381,6.37,83,550
,,6,,16.67,8.14,381,6.35,82.5,551
,,7,,16.66,8.13,381,6.22,80.6,553
,,8,,16.62,8.12,380,6.06,78.4,555
,,9,,16.58,8.11,379,5.97,77.3,556
,,10,,16.53,8.09,378,5.87,76,558
,,11,,16.5,8.1,379,5.86,75.7,560
,,12,,16.49,8.11,379,5.91,76.5,561
,,13,,16.49,8.13,379,5.97,77.3,563
,,14,,16.49,8.14,379,5.97,77.2,564
,,15,,16.49,8.16,379,6.06,78.4,567
,,20,,16.44,8.16,380,6.08,78.5,570
,,25,,16.38,8.18,380,6.06,78.1,578
,,30,,16.34,8.16,381,5.96,76.8,582
,,40,,14.21,7.65,400,2.79,34.4,590
,,,,,,,,,
,6/13/2016,0,1431,18.18,8.06,357,7.34,98.7,491
,,0.5,,18.17,8.07,357,7.31,98.4,490
,,1,,18.16,8.09,357,7.3,98.1,490
,,1.5,,18.14,8.1,358,7.28,97.9,490
,,2,,18.11,8.11,358,7.28,97.8,490
,,2.5,,18.11,8.12,359,7.26,97.5,490
,,3,,18.09,8.13,359,7.26,97.4,491
,,4,,18.07,8.13,359,7.28,97.5,492
,,5,,18.05,8.13,361,7.25,97.4,493
,,6,,17.99,8.14,360,7.26,97.5,493
,,7,,17.82,8.13,365,7.25,96.8,495
,,8,,16.97,8.1,369,7.25,95.4,497
,,9,,16.23,8.08,372,7.27,93.8,498
,,10,,15.52,8.05,373,7.3,92.6,500
,,11,,14.58,8.04,379,7.31,91.1,502
,,12,,13.7,8.06,391,7.43,90.9,504
,,13,,12.93,8.06,396,7.53,90.2,505
,,14,,12.72,8.06,395,7.53,89.8,506
,,15,,12.37,8.08,397,7.58,89.9,507
,,20,,11.12,8.1,410,7.73,89.1,509
,,25,,10.37,8.11,417,7.79,88.2,511
,,30,,9.76,8.1,424,7.81,87.1,513
,,40,,9.14,8.11,429,7.73,85.1,516
