Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP
Seminoe Reservoir - TPD,,,,,,,,,
,6/11/2013,0,7:36,14.45,8.22,413.6,8.5,107.8,255
,,0.5,7:36,14.34,8.23,414.7,8.51,107.4,257
,,1,7:36,14.11,8.23,416.4,8.51,107.2,258
,,1.5,7:36,14.09,8.22,416.4,8.51,107.3,258
,,2,7:36,14.08,8.23,416.4,8.51,107.2,259
,,2.5,7:36,13.97,8.22,416.4,8.5,106.8,260
,,3,7:36,13.9,8.21,415.7,8.49,106.4,260
,,4,7:36,13.62,8.22,417.5,8.54,106.4,261
,,5,7:36,13.11,8.21,418.7,8.54,105.4,262
,,6,7:36,13.06,8.2,418.6,8.54,105.2,263
,,7,7:36,13.04,8.2,418.3,8.53,105,263
,,8,7:36,12.32,8.17,414.4,8.51,102.9,264
,,9,7:36,11.75,8.14,413.1,8.48,101.1,266
,,10,7:36,11.55,8.14,417.9,8.47,100.9,266
,,11,7:36,11.07,8.1,409.9,8.41,98.8,267
,,12,7:36,10.91,8.1,410.8,8.4,98.3,268
,,13,7:36,10.83,8.09,412.6,8.43,98.4,268
,,14,7:36,10.79,8.09,413.1,8.44,98.4,269
,,15,7:36,10.72,8.1,417.5,8.46,98.5,269
,,20,7:36,10.45,8.12,428.5,8.59,99.7,270
,,23,7:36,10.11,8.1,429.9,8.59,98.7,271
,,,,,,,,,
,7/8/2013,0,12:07,21.17,8.06,385,7.59,108.2,403
,,0.5,12:08,21.05,8.08,384,7.76,110.5,402
,,1,12:09,1:55,8.09,383.7,7.79,110.7,401
,,1.5,12:09,21.04,8.08,384.1,7.83,111.4,401
,,2,12:10,20.98,8.1,382.8,7.85,111.3,401
,,2.5,12:10,20.96,8.11,383.6,7.87,111.3,400
,,3,12:11,20.92,8.11,382.9,7.85,111.3,400
,,4,12:12,20.37,8.06,381.6,7.84,109.2,401
,,5,12:12,19.12,7.95,375,7.59,103.2,403
,,6,12:13,17.63,7.8,371.1,7.29,96.1,404
,,7,12:14,16.86,7.75,369.8,7.13,92.2,405
,,8,12:14,16.3,7.76,371.3,6.99,90.2,405
,,9,12:15,16.16,7.78,375.2,6.97,89.4,405
,,10,12:15,16.05,7.8,374.2,6.98,89.6,404
,,11,12:17,15.86,7.06,371.1,7.06,89.9,403
,,12,12:18,15.68,7.08,364.8,7.08,90.1,403
,,13,12:19,15.63,7.03,361.4,7.03,89.3,403
,,14,12:20,15.57,7.04,363.9,7.04,89,403
,,15,12:20,15.45,7,363.7,7,88.6,403
,,20,12:21,14.83,6.88,358.2,6.88,88.5,404
,,22,12:21,14.75,6.75,357.5,6.75,84,339
,,,,,,,,,
,9/17/2013,0,7:30,18.32,8.08,389.9,6.36,85.7,367
,,0.5,7:30,18.47,8.06,388.3,6.28,84.9,369
,,1,7:30,18.47,8.06,388.7,6.24,84.3,370
,,1.5,7:30,18.5,8.06,388.3,6.27,84.7,371
,,2,7:30,18.47,8.07,388.6,6.27,84.7,371
,,2.5,7:30,18.46,8.07,388.8,6.27,84.8,372
,,3,7:30,18.49,8.06,389.2,6.27,84.8,372
,,4,7:30,18.51,8.06,388.5,6.27,84.8,373
,,5,7:30,18.51,8.05,388.9,6.28,84.9,374
,,6,7:30,18.51,8.05,389.1,6.24,84.4,374
,,7,7:30,18.51,8.05,388.3,6.26,84.7,374
,,8,7:30,18.5,8.05,388.7,6.27,84.7,375
,,9,7:30,18.52,8.05,388.3,6.27,84.8,375
,,10,7:30,18.51,8.04,388.5,6.25,84.4,375
,,11,7:30,18.51,8.04,388.4,6.27,84.7,376
,,12,7:30,18.52,8.04,388.3,6.24,84.4,376
,,13,7:30,18.51,8.04,388.3,6.25,84.6,376
,,14,7:30,18.52,8.03,388.5,6.24,84.4,377
,,15,7:30,18.49,8.02,388.7,6.19,83.8,377
,,16,7:30,18.41,7.99,388.7,6.03,81.2,378
,,,,,,,,,
,6/11/2014,0,704,15,7.61,247,7.25,91.5,363
,,0.5,,15,7.56,247,7.23,91.2,366
,,1,,15,7.51,248,7.23,91.3,368
,,1.5,,14.9,7.53,248,7.23,91.2,367
,,2,,14.9,7.51,247,7.26,91.2,369
,,2.5,,14.8,7.48,248,7.24,90.9,370
,,3,,14.8,7.47,248,7.21,90.5,371
,,4,,14.7,7.46,248,7.2,90.3,371
,,5,,14.7,7.45,248,7.23,90.7,372
,,6,,14.7,7.45,248,7.32,90.4,371
,,7,,14.6,7.45,248,7.18,89.9,372
,,8,,14.6,7.45,250,7.19,90.1,372
,,9,,14.6,7.46,252,7.25,90.5,372
,,10,,14.5,7.46,253,7.26,90.5,372
,,11,,14.5,7.46,252,7.23,90.1,372
,,12,,14.4,7.46,252,7.21,89.8,372
,,13,,14.3,7.45,252,7.17,89,372
,,14,,14.2,7.45,252,7.14,88.5,372
,,15,,14.1,7.45,252,7.1,87.8,372
,,20,,12.6,7.41,267,7.1,84.8,374
,,23,,12,7.4,277,7.14,84.1,374
,,26,,10.6,7.42,300,7.3,83.6,375
,,,,,,,,,
,7/15/2014,0,627,19.6,8.02,247.4,7.37,101.4,441
,,0.5,,19.65,7.98,247.7,7.35,101.1,441
,,1,,19.64,7.97,247.6,7.36,101.5,445
,,1.5,,19.63,7.95,247.6,7.38,101.6,445
,,2,,19.63,7.94,247.4,7.35,101.2,444
,,2.5,,19.64,7.95,247.4,7.36,101.4,441
,,3,,19.64,7.95,247.7,7.37,101.5,440
,,4,,19.51,7.91,248,7.33,100.4,441
,,5,,18.75,7.85,254.7,7.03,94.9,441
,,6,,18.14,7.79,253.3,6.85,91.4,442
,,7,,17.71,7.75,249.2,6.76,89.3,442
,,8,,16.67,7.65,245,6.54,84.8,442
,,9,,16.34,7.62,242,6.54,83.9,442
,,10,,16,7.6,243.8,6.5,82.9,442
,,11,,15.69,7.58,242,6.54,82.9,442
,,12,,15.61,7.58,241.3,6.54,82.7,442
,,13,,15.48,7.57,242.3,6.49,81.9,442
,,14,,15.39,7.57,241.2,6.55,82.5,441
,,15,,15.36,7.57,241.6,6.51,81.8,441
,,20,,15.01,7.54,241.3,6.45,80.5,441
,,25,,14.78,7.52,241.3,6.34,78.8,441
,,27,,14.68,7.51,242.3,6.27,77.6,441
,,,,,,,,,
,9/9/2014,0,815,17.4,7.88,274,6.24,82.6,375
,,0.5,,17.4,7.88,274,6.21,82.4,376
,,1,,17.4,7.86,274,6.16,81.7,377
,,1.5,,17.4,7.87,274,6.16,81.8,378
,,2,,17.4,7.86,274,6.19,82.2,379
,,2.5,,17.4,7.85,274,6.19,82,379
,,3,,17.4,7.86,274,6.15,81.7,380
,,4,,17.4,7.84,274,6.17,81.8,381
,,5,,17.4,7.83,274,6.19,82,381
,,6,,17.4,7.83,274,6.17,81.8,381
,,7,,17.4,7.82,275,6.18,82,382
,,8,,17.4,7.82,274,6.17,81.8,382
,,9,,17.4,7.82,275,6.17,81.9,382
,,10,,17.4,7.82,275,6.19,82.1,382
,,11,,17.4,7.81,275,6.16,81.8,382
,,12,,17.4,7.81,275,6.15,81.6,382
,,13,,17.4,7.8,274,6.09,80.8,382
,,14,,17.4,7.79,276,6.02,79.8,382
,,15,,17.3,7.78,278,5.89,78,383
,,20,,17.1,7.71,278,5.45,72,384
,,25,,16.8,7.53,289,4.21,55.2,387
,,30,,16.6,7.48,295,3.99,52.4,388
,,38,,16,7.28,284,1.77,22.7,392
,,,,,,,,,
,6/15/2015,0,1645,17.4,8.31,360,7.49,98.6,383
,,0.5,,17.4,8.28,360,7.47,98.2,382
,,1,,17.3,8.28,360,7.48,98.4,382
,,1.5,,17.3,8.3,360,7.48,98.2,382
,,2,,17.3,8.3,360,7.48,98.3,382
,,2.5,,17.3,8.31,360,7.44,97.8,382
,,3,,17.3,8.31,360,7.48,98.3,382
,,4,,17.3,8.31,360,7.46,98.1,382
,,5,,17.3,8.32,360,7.46,97.9,382
,,6,,16.5,8.29,359,7.43,95.8,384
,,7,,15.5,8.24,355,7.32,92.3,387
,,8,,14.7,8.2,355,7.3,90.6,389
,,9,,14.3,8.18,355,7.31,90,391
,,10,,14,8.18,356,7.38,90.2,391
,,11,,13.6,8.18,356,7.46,90.4,392
,,12,,13,8.18,357,7.57,90.5,393
,,13,,12.6,8.17,357,7.64,90.4,394
,,14,,12.5,8.17,357,7.65,90.4,394
,,15,,12.2,8.16,358,7.7,90.5,395
,,20,,11.3,8.14,358,7.75,89.1,397
,,25,,10.3,8.08,372,7.67,86.2,400
,,30,,10,8.05,383,7.55,84.1,402
,,,,,,,,,
,7/21/2015,0,1333,19.51,8.09,367,7.03,97.1,578
,,0.5,,19.46,8.11,367,7.03,97,579
,,1,,19.47,8.14,368,7.01,96.9,579
,,1.5,,19.4,8.15,368,6.99,96.6,580
,,2,,19.42,8.15,368,7.02,96.7,580
,,2.5,,19.33,8.15,367,6.98,96,581
,,3,,19.29,8.16,367,6.96,96,582
,,4,,19.25,8.15,367,6.95,95.5,582
,,5,,19.19,8.15,367,6.91,95,582
,,6,,19.14,8.14,366,6.87,94.2,583
,,7,,19.09,8.14,366,6.86,94,583
,,8,,19.08,8.13,366,6.8,93.4,584
,,9,,19.05,8.12,366,6.76,92.6,584
,,10,,18.92,8.11,367,6.66,91.1,584
,,11,,18.88,8.11,368,6.64,90.7,585
,,12,,18.82,8.1,368,6.63,90.4,585
,,13,,18.27,8.05,368,6.35,85.9,586
,,14,,18.22,8.04,368,6.37,85.6,586
,,15,,17.34,7.97,369,6.07,81.9,587
,,20,,13.4,7.86,380,6.24,75.8,591
,,25,,12.56,7.83,392,6.07,72.3,593
,,28,,11.92,7.81,402,5.9,69.1,594
,,,,,,,,,
,9/23/2015,0,1036,17.08,8.27,384,6.44,84.1,571
,,0.5,,17.4,8.27,384,6.43,83.9,571
,,1,,16.81,8.27,384,6.43,83.7,572
,,1.5,,16.73,8.27,384,6.4,83.2,573
,,2,,16.69,8.26,384,6.34,82.6,573
,,2.5,,16.64,8.24,383,6.3,81.8,574
,,3,,16.59,8.25,384,6.23,80.8,575
,,4,,16.55,8.24,384,6.19,80.1,576
,,5,,16.52,8.23,383,6.15,79.7,577
,,6,,16.5,8.24,383,6.15,79.6,578
,,7,,16.47,8.23,383,6.16,79.5,580
,,8,,16.46,8.24,383,6.18,79.9,581
,,9,,16.46,8.23,383,6.14,79.3,582
,,10,,16.45,8.24,383,6.15,79.5,583
,,11,,16.46,8.24,383,6.16,79.5,584
,,12,,16.45,8.24,382,6.17,79.8,585
,,13,,16.44,8.24,382,6.16,79.5,586
,,14,,16.45,8.24,382,6.16,79.5,587
,,15,,16.44,8.24,382,6.16,79.5,588
,,20,,16.41,8.23,383,6.11,78.8,589
,,25,,16.33,8.21,382,6.02,77.6,591
,,30,,16.26,8.19,383,5.91,76,593
,,33,,16.07,8.1,387,5.37,68.9,595
,,,,,,,,,
,6/13/2016,0,1522,18.08,8.18,331,7.25,97.2,513
,,0.5,,18.08,8.12,331,7.22,97,513
,,1,,18.04,8.11,331,7.22,96.9,512
,,1.5,,18.08,8.13,331,7.22,96.8,512
,,2,,18.02,8.11,331,7.19,96.5,512
,,2.5,,18.02,8.12,331,7.21,96.7,512
,,3,,18.01,8.12,331,7.18,96.3,512
,,4,,18,8.12,331,7.18,96.3,513
,,5,,17.98,8.12,331,7.18,96.3,513
,,6,,17.97,8.12,331,7.18,96.3,514
,,7,,17.93,8.11,333,7.17,95.9,514
,,8,,15.98,8.02,339,7.13,91.3,516
,,9,,14.73,8.02,357,7.23,90,518
,,10,,14.2,8.05,378,7.33,90.4,520
,,11,,13.53,8.05,381,7.36,89.7,521
,,12,,12.74,8.06,390,7.38,88.6,521
,,13,,12.57,8.07,391,7.49,89.1,523
,,14,,12.2,8.08,395,7.53,88.9,523
,,15,,11.99,8.09,396,7.52,88.8,524
,,20,,10.92,8.11,408,7.65,87.7,526
,,25,,10.05,8.11,425,7.69,86.2,528
,,29,,9.67,8.1,432,7.66,85.3,529
,,,,,,,,,
,7/18/2016,0,1710,18.62,8.37,316,7.04,94.7,519
,,0.5,,18.62,8.33,315,7.03,94.6,519
,,1,,18.62,8.37,315,7.03,94.6,519
,,1.5,,18.61,8.33,315,7.04,94.5,520
,,2,,18.62,8.34,315,7.04,94.6,520
,,2.5,,18.62,8.36,316,7.04,94.6,520
,,3,,18.61,8.35,315,7.01,94.3,521
,,4,,18.62,8.34,315,7.01,94.6,521
,,5,,18.62,8.34,315,7.02,94.6,521
,,6,,18.61,8.34,316,7,94.2,522
,,7,,18.61,8.34,315,7,94.3,522
,,8,,18.6,8.34,316,7,94.1,522
,,9,,18.58,8.32,316,6.94,93.3,522
,,10,,18.55,8.31,316,6.93,92.7,523
,,11,,18.54,8.32,316,6.91,93,523
,,12,,18.53,8.32,316,6.88,92.4,524
,,13,,18.48,8.3,316,6.86,91.9,524
,,14,,18.43,8.26,320,6.31,80.8,528
,,15,,18.46,8.3,316,6.78,91,525
,,20,,16.08,7.8,347,5.68,70.2,532
,,25,,13.13,7.73,384,5.43,64.5,534
,,26,,12.49,7.75,394,5.4,63.7,535
,,,,,,,,,
,9/12/2016,0,1500,17.05,8.09,333,6.32,82.9,399
,,0.5,,17.07,8.08,333,6.31,82.9,398
,,1,,17.07,8.08,333,6.32,82.9,398
,,1.5,,17.06,8.09,333,6.32,82.8,398
,,2,,17.06,8.08,333,6.31,82.8,398
,,2.5,,17.06,8.08,333,6.31,82.8,398
,,3,,17.07,8.08,333,6.32,83.1,398
,,4,,17.06,8.08,333,6.32,83,398
,,5,,17.06,8.08,333,6.32,83,398
,,6,,17.06,8.08,333,6.31,82.7,398
,,7,,17.06,8.08,333,6.32,83,397
,,8,,17.06,8.08,333,6.31,82.8,397
,,9,,17.05,8.08,333,6.31,82.9,397
,,10,,17.05,8.08,333,6.28,82.3,397
,,11,,17.05,8.08,333,6.3,82.7,397
,,12,,17.05,8.08,333,6.31,82.8,397
,,13,,17.05,8.08,333,6.3,83,397
,,14,,17.04,8.07,333,6.3,82.8,397
,,15,,17.04,8.07,333,6.3,82.7,397
,,20,,17.04,8.08,333,6.29,82.7,397
,,25,,17.01,8.08,332,6.32,82.8,396
,,26,,16.96,8.08,333,6.35,83.2,397
