Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Sodergren Lake - D,,,,,,,,,,
,6/17/2013,0,1337,15.69,8.89,84.6,7.55,97.3,263,
,,0.5,1338,15.53,8.82,85.6,7.53,97,271,
,,1,1339,14.83,8.71,85.3,7.48,94.6,276,
,,1.5,1340,14.33,8.61,85.4,7.31,91.6,277,
,,2,1341,14.25,8.57,84.6,7.29,91.2,278,
,,2.5,1342,14.26,8.52,84.8,7.31,91.4,278,
,,3,1345,14.16,8.43,85.9,7.25,90.4,278,
,,4,1346,14.06,8.37,87.8,7.25,90.2,281,
,,5,1347,13.91,8.32,88,7.04,87.3,284,
,,6,1348,13.78,8.25,89.3,6.99,88.6,286,
,,7,1349,13.51,8.21,91.3,6.94,88.4,287,
,,7.5,1351,13.3,8.18,93.8,7.07,86.6,288,
,,,,,,,,,,
,7/29/2013,0,1318,18.03,8.78,222.8,6.74,91.7,222,
,,0.5,1319,18.03,8.67,222.4,6.73,91.6,225,
,,1,1320,18.01,8.64,223.2,6.72,91.3,226,
,,1.5,1321,17.93,8.59,223.4,6.66,90.5,228,
,,2,1322,17.91,8.55,223.2,6.65,90.3,229,
,,2.5,1323,17.9,8.52,223.1,6.62,89.9,231,
,,3,1324,17.9,8.5,223,6.64,90.1,232,
,,4,1325,17.85,8.45,223.5,6.48,87.7,234,
,,5,1327,17.16,8.19,223.5,4.16,55.1,242,
,,,,,,,,,,
,9/16/2013,0,1322,15.6,8.35,183.6,6.81,87.7,262,
,,0.5,1323,15.5,8.32,184,6.8,87.5,261,
,,1,1325,15.5,8.31,184,6.8,87.6,259,
,,1.5,1326,15.5,8.3,184,6.79,87.3,259,
,,2,1329,15.5,8.29,184,6.79,87.4,257,
,,2.5,1330,15.4,8.26,184,6.78,87,257,
,,3,1332,15.4,8.22,184,6.75,86.8,258,
,,4,1335,14.9,8.16,184,6.5,82.9,259,
,,5,1337,14.4,8.08,178,6.09,76.6,262,
,,6,1338,13.8,8.07,175,6.42,79.5,262,
,,7,1340,13.3,8.04,171,6.67,81.3,260,
