Station,Date,Depth (m),Time,Temp (°C),pH,Cond (µS/cm),D.O. (mg/L,D.O. (%),ORP,
Sulphur Creek Reservoir - D,,,,,,,,,,
,6/26/2013,0,1654,16.7,8.5,478.7,7.44,99.5,,
,,0.5,1655,16.69,8.51,478.9,7.45,99.4,,
,,1,1656,16.67,8.52,478.7,7.47,99.8,,
,,1.5,1658,16.59,8.53,478.4,7.46,99.4,,
,,2,1659,16.31,8.53,477.7,7.43,98.5,,
,,2.5,1701,15.95,8.52,478.1,7.33,96.3,,
,,3,1702,15.89,8.52,477.9,7.29,95.7,,
,,4,1703,15.34,8.51,477.9,7.03,91,,
,,5,1704,15.18,8.5,477.6,6.92,89.3,,
,,6,1705,15.12,8.5,477.6,6.87,88.5,,
,,7,1706,15.11,8.49,477.4,6.86,88.5,,
,,8,1707,15.09,8.5,477.3,6.81,88,,
,,9,1708,14.95,8.49,477.2,6.72,86.2,,
,,10,1709,14.93,8.48,477,6.67,85.6,,
,,11,1710,14.89,8.48,477,6.65,84.9,,
,,12,1711,14.85,8.48,477,6.59,84.2,,
,,13,1713,14.83,8.48,476.9,6.54,83.6,,
,,14,1714,14.78,8.47,476.9,6.51,83,,
,,15,1715,14.77,8.47,476.9,6.5,82.9,,
,,17,1717,14.4,8.4,477.9,5.62,71.5,,
,,,,,,,,,,
,8/1/2013,0,904,19.34,8.44,486.9,6.48,91.3,188,
,,0.5,907,19.34,8.47,487.3,6.47,91.3,184,
,,1,908,19.33,8.47,487.4,6.46,91.2,183,
,,1.5,910,19.34,8.48,487.5,6.47,91,181,
,,2,911,19.34,8.47,487.5,6.45,90.9,181,
,,2.5,912,19.34,8.47,487.7,6.42,90.6,181,
,,3,914,19.33,8.47,487.6,6.4,90.4,180,
,,4,916,19.31,8.47,487.6,6.43,90.3,180,
,,5,917,19.3,8.48,487.5,6.42,90.4,179,
,,6,918,19.26,8.48,487.3,6.48,91.1,179,
,,7,920,18.97,8.43,487.8,5.58,78.3,181,
,,8,925,18.36,8.23,490,2.9,39.3,187,
,,9,928,17.05,8.07,488.8,2.02,27.1,195,
,,10,929,16.48,8.03,488.7,1.66,22.1,196,
,,11,931,16.31,8.02,488.7,1.57,20.7,198,
,,12,932,15.78,7.99,488.5,1.25,16.3,199,
,,13,934,15.64,7.98,488.4,1.12,14.5,200,
,,14,935,15.42,7.95,488.9,0.68,8.9,201,
,,15,937,14.35,7.85,494.4,0,0,13,
,,15.2,939,14.2,7.85,496.4,0,0,-164,
,,,,,,,,,,
,9/12/2013,0,1636,17.2,8.3,489.5,6.77,91.2,141,
,,0.5,,17.21,8.32,489.3,6.75,90.9,138,
,,1,,17.2,8.34,489.6,6.73,90.7,136,
,,1.5,,17.15,8.34,490.1,6.74,90.7,136,
,,2,,17.13,8.34,490.3,6.71,90.4,135,
,,2.5,,17.1,8.35,490.4,6.69,89.7,134,
,,3,,17.07,8.34,490.4,6.66,89.3,134,
,,4,,17.03,8.35,490.5,6.63,89.1,134,
,,5,,17,8.35,490.7,6.58,88.3,133,
,,6,,16.98,8.35,490.7,6.58,88.4,133,
,,7,,16.99,8.35,490.8,6.56,88,133,
,,8,,16.98,8.35,490.9,6.55,87.8,133,
,,9,,16.97,8.36,490.8,6.54,87.8,132,
,,10,,16.94,8.36,490.8,6.56,87.9,132,
,,11,,16.92,8.36,490.8,6.51,87.2,132,
,,12,,16.9,8.36,490.8,6.47,86.6,132,
,,13,,16.9,8.35,490.8,6.41,85.8,132,
,,13.7,1705,16.89,8.36,491,6.42,85.6,131,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
